time,open,high,low,close,bid,ask
2017-01-02,116.78,117.651,116.634,117.478,116.78,117.08
2017-01-03,117.461,118.602,117.21,117.731,117.508,117.545
2017-01-04,117.72,118.182,117.047,117.214,117.726,117.786
2017-01-05,117.215,117.425,115.213,115.339,117.227,117.282
2017-01-06,115.328,117.175,115.065,116.942,115.319,115.388
2017-01-09,116.993,117.528,115.949,116.005,116.994,117.031
2017-01-10,115.999,116.34,115.192,115.759,115.919,115.944
2017-01-11,115.743,116.87,114.239,115.399,115.751,115.783
2017-01-12,115.401,115.502,113.75,114.703,115.364,115.424
2017-01-13,114.674,115.44,114.154,114.338,114.708,114.724
2017-01-16,114.221,114.462,113.617,114.174,114.334,114.379
2017-01-17,114.174,114.279,112.591,112.609,114.151,114.221
2017-01-18,112.611,114.754,112.566,114.631,112.596,112.625
2017-01-19,114.63,115.616,114.397,114.842,114.628,114.666
2017-01-20,114.838,115.382,114.206,114.464,114.838,114.892
2017-01-23,114.313,114.414,112.68,112.686,114.582,114.63
2017-01-24,112.679,113.891,112.519,113.789,112.676,112.714
2017-01-25,113.747,113.985,113.033,113.258,113.751,113.784
2017-01-26,113.233,114.853,113.044,114.505,113.233,113.288
2017-01-27,114.508,115.372,114.386,115.028,114.507,114.582
2017-01-30,114.761,114.946,113.442,113.75,115.069,115.112
2017-01-31,113.733,113.961,112.076,112.784,113.757,113.792
2017-02-01,112.771,113.948,112.636,113.224,112.781,112.821
2017-02-02,113.23,113.36,112.048,112.783,113.21,113.25
2017-02-03,112.782,113.47,112.311,112.443,112.787,112.84
2017-02-06,112.384,112.772,111.618,111.726,112.498,112.532
2017-02-07,111.708,112.573,111.588,112.375,111.726,111.751
2017-02-08,112.354,112.54,111.627,111.924,112.354,112.419
2017-02-09,111.921,113.342,111.731,113.247,111.922,111.967
2017-02-10,113.236,113.854,112.853,113.065,113.236,113.271
2017-02-13,113.513,114.164,113.435,113.724,113.487,113.639
2017-02-14,113.721,114.495,113.245,114.238,113.721,113.766
2017-02-15,114.218,114.953,113.859,114.14,114.238,114.273
2017-02-16,114.144,114.305,113.081,113.214,114.144,114.163
2017-02-17,113.24,113.497,112.614,112.697,113.242,113.26
2017-02-20,112.886,113.234,112.786,113.068,112.881,112.912
2017-02-21,113.077,113.773,113.011,113.669,113.067,113.137
2017-02-22,113.654,113.726,112.904,113.315,113.653,113.707
2017-02-23,113.302,113.451,112.547,112.601,113.291,113.332
2017-02-24,112.569,112.952,111.931,112.006,112.614,112.626
2017-02-27,112.12,112.837,111.913,112.683,112.116,112.192
2017-02-28,112.678,112.895,111.685,112.752,112.674,112.728
2017-03-02,113.696,114.588,113.678,114.409,113.712,113.738
2017-03-03,114.406,114.745,113.807,113.886,114.379,114.447
2017-03-06,113.879,114.132,113.555,113.881,114.03,114.058
2017-03-07,113.848,114.152,113.726,113.968,113.849,113.929
2017-03-08,113.935,114.755,113.604,114.317,113.944,113.994
2017-03-09,114.312,114.997,114.297,114.932,114.312,114.383
2017-03-10,114.933,115.5,114.65,114.717,114.933,114.963
2017-03-13,114.764,114.915,114.478,114.843,114.764,114.784
2017-03-14,114.844,115.191,114.515,114.73,114.844,114.857
2017-03-15,114.729,114.881,113.169,113.457,114.73,114.757
2017-03-16,113.459,113.544,112.9,113.294,113.457,113.473
2017-03-17,113.294,113.488,112.56,112.702,113.294,113.314
