time,open,high,low,close,bid,ask
2017-04-24,52.28,53.03,51.91,52.04,52.28,52.46
2018-03-13,65.07,65.78,64.17,64.83,65.07,65.11
2018-03-14,64.81,65.31,64.19,64.94,64.81,64.84
2018-03-15,64.92,65.47,64.7,65.15,64.92,64.95
2018-03-16,65.14,66.5,64.97,66.22,65.14,65.18
2018-03-20,66.19,67.92,66.15,67.62,66.19,66.22
2018-03-21,67.6,69.9,67.52,69.8,67.6,67.63
2018-03-22,69.79,69.88,68.64,68.9,69.79,69.82
2018-03-23,68.89,70.59,68.85,70.35,68.89,68.94
2018-10-30,76.85,77.36,75.26,76.23,76.85,76.88
2018-10-31,76.25,77.1,74.57,74.59,76.25,76.29
2018-11-01,74.59,74.94,72.55,72.74,74.59,74.63
2018-12-26,50.46,55.26,49.95,54.98,50.46,50.49
2019-01-02,53.92,56.32,52.28,54.58,53.92,53.95
2019-02-11,62.16,62.39,60.96,61.62,62.16,62.19
2019-02-18,66.37,66.84,65.92,66.48,66.37,66.41
2019-02-25,66.93,67.46,64.53,64.75,66.93,66.96
2019-03-12,66.52,67.33,66.29,66.76,66.52,66.55
2019-03-13,66.76,67.68,66.64,67.6,66.76,66.79
2019-03-14,67.6,68.07,66.97,67.13,67.6,67.64
2019-03-15,67.13,67.65,66.08,66.98,67.13,67.16
2019-03-19,67.4,68.15,67.09,67.63,67.4,67.43
2019-03-20,67.63,68.52,67.16,68.21,67.63,67.66
2019-03-21,68.21,68.65,67.56,67.64,68.21,68.24
2019-03-22,67.64,67.94,66.17,66.94,67.64,67.67
2019-03-26,67.22,68.19,67.21,67.99,67.22,67.25
2019-03-27,67.99,68.33,67.18,67.81,67.99,68.02
2019-03-28,67.81,67.89,66.52,67.89,67.81,67.84
2019-03-29,67.89,68.86,67.72,68.18,67.89,67.92
2019-04-08,70.85,71.56,70.81,71.46,70.85,70.88
2019-04-23,74.22,74.81,74.07,74.5,74.22,74.25
2019-05-16,72.21,73.62,72.1,73.07,72.21,72.24
2019-05-28,70.04,70.59,69.59,70.11,70.04,70.07
2019-07-05,63.77,65.09,63.49,65.01,63.77,63.8
2019-09-03,59.03,59.23,57.6,58.59,59.03,59.06
2019-10-29,61.59,61.95,60.64,61.56,61.59,61.62
2019-10-30,61.56,61.85,60.32,60.46,61.56,61.59
2019-10-31,60.46,61.08,59.5,59.77,60.46,60.49
2019-11-01,59.77,62.08,59.68,61.92,59.77,59.8
2019-12-26,67.26,67.93,67.2,67.89,67.26,67.29
2019-12-27,67.89,68.12,67.41,67.91,67.89,67.92
2020-03-10,33.85,38.58,33.51,38.32,33.85,33.88
2020-03-11,38.32,39.99,35.7,36.39,38.32,38.35
2020-03-12,36.39,36.79,32.83,32.98,36.39,36.42
2020-03-13,32.98,36.43,32.81,35.06,32.98,33.02
2020-03-17,29.84,31.43,28.72,28.86,29.84,29.9
2020-03-18,28.86,29.39,24.72,26.67,28.86,28.92
2020-03-19,26.67,29.53,25.13,28.39,26.67,26.73
2020-03-20,28.39,31.07,26.96,27.52,28.39,28.45
2020-03-24,27.57,28.71,26.76,27.7,27.57,27.63
2020-03-25,27.7,28.33,25.83,27.5,27.7,27.76
2020-03-26,27.5,27.77,26.07,26.86,27.5,27.56
2020-03-27,26.86,27.03,24.17,24.96,26.86,26.93
2020-05-26,35.51,36.62,35.21,36.07,35.51,35.54
2020-09-08,41.72,41.94,39.03,39.58,41.72,41.75
2020-10-27,40.47,41.51,40.43,40.69,40.47,40.5
2020-10-28,40.69,40.78,38.89,39.25,40.69,40.72
2020-10-29,39.25,39.63,36.92,37.78,39.25,39.28
2020-10-30,37.8,38.35,37.08,37.53,37.8,37.85
2021-03-16,69.07,69.2,67.63,68.81,69.07,69.12
2021-03-17,68.74,69.12,67.2,68.09,68.74,68.87
2021-03-18,68.05,68.36,61.68,62.99,68.05,68.08
2021-03-19,62.95,65.09,62.27,64.72,62.95,62.98
2021-03-23,64.41,64.41,60.37,60.51,64.41,64.44
2021-03-24,60.45,64.62,60.43,64.15,60.45,60.49
2021-03-26,61.72,64.99,61.72,64.5,61.72,61.85
2021-11-02,85.17,85.91,84.45,84.75,85.17,85.2
2021-11-03,84.9,85.02,81.77,81.97,84.9,84.93
2021-11-05,81.53,83.75,80.86,82.98,81.53,81.58
2022-03-16,99.53,104.67,97.92,99.05,99.53,99.57
2022-03-17,98.99,108.39,98.74,107.84,98.99,99.03
2022-03-18,107.84,110.39,106.73,108.93,107.84,107.88
2022-03-22,116.4,118.89,112.72,114.32,116.4,116.43
2022-03-23,114.17,121.49,114.07,120.74,114.17,114.21
2022-03-25,117.53,120.69,114.97,119.12,117.53,117.57
