time,open,high,low,close,bid,ask
2021-07-01,0.74986,0.75079,0.74604,0.74707,0.74994,0.75024
2021-07-02,0.747,0.75331,0.74446,0.7525,0.74679,0.74709
2021-07-05,0.75228,0.75373,0.75089,0.75269,0.75245,0.75275
2021-07-06,0.75267,0.75989,0.74807,0.74935,0.75289,0.75319
2021-07-07,0.74923,0.75339,0.74627,0.7482,0.74939,0.74969
2021-07-09,0.74237,0.7494,0.74096,0.74882,0.74286,0.74316
2021-07-12,0.7478,0.7496,0.74484,0.74806,0.74858,0.74888
2021-07-13,0.74697,0.75029,0.74264,0.74442,0.74796,0.74826
2021-07-14,0.7444,0.7486,0.74312,0.74819,0.74448,0.74478
2021-07-15,0.74753,0.74874,0.74106,0.74229,0.74814,0.74844
2021-07-19,0.7399,0.74021,0.73217,0.73443,0.74001,0.74031
2021-07-20,0.73406,0.73571,0.72997,0.73276,0.73432,0.73462
2021-07-21,0.73292,0.73627,0.72894,0.73572,0.73287,0.73317
2021-07-22,0.73554,0.73974,0.73422,0.73794,0.73561,0.73591
2021-07-23,0.73747,0.73983,0.73571,0.73623,0.73773,0.73803
2021-07-26,0.73628,0.73907,0.73308,0.73807,0.73651,0.73681
2021-07-27,0.73783,0.73887,0.73371,0.73587,0.73801,0.73831
2021-07-28,0.7358,0.73816,0.73171,0.73737,0.73595,0.73625
2021-07-29,0.73753,0.74136,0.73595,0.73956,0.73744,0.73774
2021-07-30,0.73905,0.74047,0.73311,0.73436,0.73959,0.73989
2021-08-02,0.73336,0.73822,0.73292,0.73639,0.73341,0.73371
2021-08-03,0.73568,0.74083,0.73568,0.73941,0.73617,0.73647
2021-08-04,0.73951,0.74267,0.73702,0.73788,0.7395,0.7398
2021-08-05,0.73773,0.74159,0.73739,0.74035,0.73778,0.73808
2021-08-06,0.73992,0.74065,0.73466,0.73538,0.74015,0.74045
2021-08-09,0.7351,0.73638,0.73281,0.7329,0.73544,0.73574
2021-08-10,0.73289,0.7356,0.73159,0.73482,0.73314,0.73344
2021-08-11,0.73452,0.73893,0.73232,0.73721,0.73484,0.73514
2021-08-12,0.737,0.73766,0.73318,0.73368,0.73729,0.73759
2021-08-13,0.73297,0.73813,0.73297,0.737,0.73361,0.73391
2021-08-16,0.73616,0.7373,0.73193,0.7336,0.73671,0.73701
2021-08-17,0.7331,0.73412,0.72427,0.72549,0.7336,0.7339
2021-08-18,0.72496,0.72698,0.72287,0.72357,0.72517,0.72547
2021-08-19,0.7229,0.72428,0.71423,0.71474,0.72334,0.72364
2021-08-20,0.71448,0.71566,0.71062,0.71377,0.71463,0.71493
2021-08-23,0.71214,0.72177,0.71176,0.72125,0.71316,0.71346
2021-08-24,0.72037,0.72706,0.72006,0.72582,0.72113,0.72143
2021-08-25,0.72561,0.72803,0.72372,0.72748,0.72568,0.72598
2021-08-26,0.72764,0.72796,0.72342,0.72381,0.72749,0.72779
2021-08-27,0.72347,0.73167,0.7222,0.73105,0.7236,0.7239
2021-08-30,0.73035,0.73184,0.72846,0.72962,0.73051,0.73081
2021-08-31,0.72938,0.73414,0.72883,0.73143,0.72947,0.72977
2021-09-01,0.73108,0.73839,0.7308,0.73668,0.73147,0.73177
2021-09-02,0.73634,0.74096,0.73559,0.74018,0.73664,0.73694
