time,open,high,low,close,bid,ask
2021-07-01,1.18581,1.1884299999999999,1.18375,1.18498,1.1856200000000001,1.18592
2021-07-02,1.18505,1.18742,1.18075,1.18664,1.18483,1.18513
2021-07-05,1.18622,1.18805,1.18514,1.1863,1.18663,1.18693
2021-07-06,1.18624,1.1895,1.18072,1.18234,1.18613,1.18643
2021-07-07,1.18234,1.1836,1.17817,1.17907,1.18201,1.18231
2021-07-09,1.18397,1.1881,1.1825,1.18773,1.18438,1.18468
2021-07-12,1.18699,1.18802,1.18362,1.18602,1.18739,1.18769
2021-07-13,1.18608,1.18753,1.17724,1.17767,1.1861,1.1864
2021-07-14,1.17766,1.1838899999999999,1.17719,1.18363,1.17766,1.1779600000000001
2021-07-15,1.1837,1.18508,1.17964,1.1811099999999999,1.18354,1.18384
2021-07-19,1.1808,1.18245,1.17639,1.1798899999999999,1.18071,1.1810100000000001
2021-07-20,1.17961,1.18028,1.17557,1.17805,1.17962,1.17992
2021-07-21,1.17813,1.18048,1.1752,1.17943,1.17804,1.17834
2021-07-22,1.17925,1.18304,1.17574,1.1771,1.17914,1.17944
2021-07-23,1.17708,1.17866,1.17545,1.17722,1.17697,1.17727
2021-07-26,1.17736,1.18174,1.17634,1.18023,1.17717,1.17747
2021-07-27,1.18032,1.18411,1.17702,1.18163,1.1802,1.1804999999999999
2021-07-28,1.18168,1.18496,1.17724,1.18427,1.18152,1.18182
2021-07-29,1.1844000000000001,1.1892800000000001,1.18405,1.18869,1.1843,1.1846
2021-07-30,1.1887699999999999,1.19086,1.18516,1.18696,1.18854,1.18884
2021-08-02,1.18676,1.1897,1.18405,1.18717,1.1868,1.1871
2021-08-03,1.1869,1.18933,1.18536,1.18651,1.18675,1.18705
2021-08-04,1.18664,1.18997,1.1832799999999999,1.18371,1.18629,1.18659
2021-08-05,1.18367,1.18574,1.18282,1.18319,1.18356,1.18386
2021-08-06,1.18352,1.1836,1.17544,1.17604,1.18333,1.18363
2021-08-09,1.17602,1.17694,1.1735,1.17363,1.17602,1.17632
2021-08-10,1.17364,1.17429,1.171,1.17202,1.17354,1.17384
2021-08-11,1.17206,1.17538,1.1706,1.1739600000000001,1.17194,1.17224
2021-08-12,1.17387,1.17482,1.17238,1.17302,1.17376,1.1740599999999999
2021-08-13,1.17295,1.18047,1.17293,1.1795200000000001,1.17285,1.17315
2021-08-16,1.17954,1.1801,1.17675,1.17758,1.1795,1.1798
2021-08-17,1.17788,1.17844,1.17082,1.17083,1.17757,1.17787
2021-08-18,1.17099,1.17426,1.16939,1.1709100000000001,1.17087,1.17117
2021-08-19,1.17108,1.17166,1.16658,1.16768,1.17096,1.17126
2021-08-20,1.16754,1.17046,1.1663999999999999,1.16999,1.16747,1.16777
2021-08-23,1.16954,1.17502,1.16905,1.17459,1.16956,1.16986
2021-08-24,1.17459,1.17651,1.17272,1.17576,1.17452,1.17482
2021-08-25,1.1756,1.1774499999999999,1.17261,1.17727,1.1755,1.1758
2021-08-26,1.17718,1.1779,1.1746,1.17519,1.1771099999999999,1.17741
2021-08-27,1.17522,1.18024,1.1735,1.17965,1.17509,1.17539
2021-08-30,1.17958,1.18098,1.17828,1.17969,1.17945,1.17975
2021-08-31,1.17966,1.18452,1.17951,1.18086,1.17956,1.17986
2021-09-01,1.18088,1.18573,1.17937,1.18399,1.1808,1.1811
2021-09-02,1.1839,1.18761,1.1834500000000001,1.18753,1.18376,1.1840600000000001
2021-09-03,1.1875,1.1909,1.18656,1.18784,1.18738,1.18768
2021-09-06,1.1882,1.18864,1.18558,1.187,1.18797,1.18827
2021-09-07,1.187,1.18852,1.18374,1.18423,1.18688,1.1871800000000001
2021-09-08,1.18388,1.18512,1.18022,1.18157,1.18375,1.18405
2021-09-09,1.18158,1.18411,1.18052,1.18238,1.18144,1.18174
2021-09-10,1.18253,1.18512,1.18095,1.18104,1.18238,1.18268
2021-09-13,1.18154,1.18171,1.17702,1.18108,1.18151,1.18181
2021-09-14,1.1811099999999999,1.18458,1.18001,1.1804000000000001,1.181,1.1813
2021-09-15,1.1803,1.18319,1.17971,1.18157,1.1801599999999999,1.18046
2021-09-16,1.18177,1.1820599999999999,1.17505,1.17686,1.18158,1.18188
2021-09-17,1.17649,1.1789,1.17246,1.1726,1.17677,1.17707
2021-09-20,1.17306,1.17365,1.17002,1.17269,1.17281,1.17311
2021-09-21,1.1724999999999999,1.17488,1.1715,1.17256,1.17252,1.17282
2021-09-22,1.17252,1.17556,1.16848,1.16886,1.17259,1.17289
2021-09-23,1.16872,1.175,1.16836,1.1739,1.16858,1.16888
2021-09-24,1.17384,1.17477,1.17007,1.17206,1.17375,1.17405
2021-09-27,1.17258,1.17258,1.1684700000000001,1.1695,1.17258,1.17288
