time,open,high,low,close,bid,ask
2021-07-01,1.38226,1.38343,1.3752499999999999,1.37623,1.38273,1.38303
2021-07-02,1.37656,1.38445,1.3731499999999999,1.38327,1.3761999999999999,1.3765
2021-07-05,1.3824100000000001,1.38621,1.38069,1.384,1.3832200000000001,1.38352
2021-07-06,1.38352,1.38988,1.3773,1.37947,1.38457,1.38487
2021-07-07,1.37974,1.38422,1.37541,1.3798599999999999,1.37973,1.38003
2021-07-09,1.37818,1.3901,1.3755600000000001,1.38984,1.3783699999999999,1.37867
2021-07-12,1.38832,1.39096,1.38391,1.38803,1.38958,1.38988
2021-07-13,1.38726,1.39052,1.37998,1.38105,1.38865,1.38895
2021-07-14,1.38077,1.3892,1.38011,1.38575,1.38151,1.38181
2021-07-15,1.38544,1.38985,1.38046,1.38244,1.38585,1.38615
2021-07-19,1.3761999999999999,1.37744,1.3655,1.36756,1.3765800000000001,1.3768799999999999
2021-07-20,1.36708,1.36897,1.3572,1.36284,1.36735,1.36765
2021-07-21,1.3624,1.37235,1.35913,1.37085,1.36269,1.36299
2021-07-22,1.37086,1.37873,1.36906,1.37677,1.37151,1.37181
2021-07-23,1.37538,1.37802,1.37202,1.3747500000000001,1.37664,1.37694
2021-07-26,1.3750200000000001,1.38334,1.37367,1.38186,1.37602,1.37632
2021-07-27,1.38144,1.38937,1.37667,1.38777,1.38171,1.38201
2021-07-28,1.38744,1.3911,1.38423,1.38993,1.38788,1.38818
2021-07-29,1.38982,1.39819,1.38922,1.39612,1.39021,1.39051
2021-07-30,1.39558,1.39832,1.38879,1.39009,1.39604,1.39634
2021-08-02,1.38936,1.39324,1.38755,1.38867,1.39049,1.39079
2021-08-03,1.38754,1.39386,1.38739,1.39136,1.38862,1.38892
2021-08-04,1.39101,1.39578,1.38857,1.3888099999999999,1.39148,1.39178
2021-08-05,1.38873,1.39489,1.38721,1.3928,1.38873,1.38903
2021-08-06,1.3927100000000001,1.39328,1.38609,1.3873,1.39279,1.39309
2021-08-09,1.38704,1.38948,1.38411,1.38459,1.3875600000000001,1.3878599999999999
2021-08-10,1.38443,1.38726,1.38278,1.38382,1.38463,1.38493
2021-08-11,1.38401,1.3888,1.38028,1.38643,1.38377,1.38407
2021-08-12,1.38602,1.38787,1.37951,1.38072,1.38673,1.38703
2021-08-13,1.38001,1.38753,1.37908,1.38696,1.38053,1.38083
2021-08-16,1.38666,1.38784,1.38276,1.38408,1.38609,1.38639
2021-08-17,1.3847,1.3847,1.3726099999999999,1.37361,1.38402,1.38432
2021-08-18,1.3735,1.3786100000000001,1.37238,1.37518,1.3740299999999999,1.37433
2021-08-19,1.3751,1.37581,1.36308,1.3631,1.3755,1.3758
2021-08-20,1.3643,1.36433,1.3602,1.36226,1.36342,1.36372
2021-08-23,1.36212,1.37323,1.36084,1.3721700000000001,1.36211,1.3624100000000001
2021-08-24,1.37096,1.37478,1.36939,1.3726099999999999,1.37231,1.3726099999999999
2021-08-25,1.37234,1.3767,1.36968,1.37637,1.37283,1.37313
2021-08-26,1.37544,1.37679,1.36896,1.36991,1.37622,1.37652
