time,open,high,low,close,bid,ask
2017-05-31,0.74639,0.74757,0.74247,0.74302,0.74654,0.74668
2017-06-01,0.74292,0.74546,0.73728,0.73752,0.74292,0.74306
2017-06-02,0.73723,0.74466,0.73722,0.74419,0.73723,0.73753
2017-06-05,0.74244,0.74985,0.74222,0.74861,0.74244,0.74259
2017-06-06,0.74852,0.75221,0.74571,0.75062,0.74852,0.74889
2017-06-07,0.75079,0.75666,0.74999,0.75503,0.75079,0.75087
2017-06-08,0.7547,0.75545,0.75245,0.75452,0.75454,0.75519
2017-06-09,0.75467,0.75467,0.75194,0.75299,0.7546,0.75489
2017-06-12,0.75287,0.7547,0.75217,0.75416,0.75287,0.75328
2017-06-13,0.75401,0.75649,0.75242,0.7537,0.75401,0.75423
2017-06-14,0.7537,0.76355,0.75325,0.75894,0.7537,0.75381
2017-06-15,0.75864,0.76316,0.75684,0.75787,0.75864,0.75914
2017-06-16,0.75767,0.76298,0.75762,0.76174,0.75767,0.75794
2017-06-19,0.7615,0.76292,0.7585,0.75973,0.76142,0.7623
2017-06-20,0.75951,0.76237,0.75705,0.75798,0.75951,0.76042
2017-06-21,0.75789,0.75857,0.7543,0.75521,0.75808,0.7582
2017-06-22,0.75478,0.75744,0.75353,0.75405,0.75478,0.7554
2017-06-23,0.75402,0.75828,0.75382,0.75691,0.75403,0.75457
2017-06-26,0.75615,0.75992,0.75596,0.75853,0.75615,0.75669
2017-06-27,0.75851,0.76243,0.75771,0.7583,0.75851,0.75863
2017-06-28,0.75817,0.76447,0.75772,0.76383,0.75823,0.75848
2017-06-29,0.76375,0.76863,0.7635,0.76819,0.76374,0.76421
2017-06-30,0.76823,0.77122,0.76671,0.7687,0.76823,0.76832
2017-07-03,0.76809,0.76953,0.76445,0.76608,0.76809,0.76857
2017-07-04,0.76582,0.76833,0.75912,0.76052,0.76586,0.76619
2017-07-05,0.7597,0.7632,0.75713,0.76037,0.7598,0.76098
2017-07-06,0.76017,0.76147,0.75772,0.75847,0.76022,0.76058
2017-07-07,0.75837,0.76235,0.75722,0.7604,0.75837,0.75884
2017-07-10,0.75979,0.76148,0.75866,0.76063,0.75979,0.76029
2017-07-11,0.7604,0.76426,0.7603,0.76375,0.76042,0.76088
2017-07-12,0.76356,0.76852,0.7634,0.7678,0.76356,0.76395
2017-07-13,0.76758,0.77399,0.76746,0.77288,0.76758,0.76788
2017-07-14,0.77287,0.78341,0.77262,0.78253,0.7728,0.77315
2017-07-17,0.78265,0.78386,0.77922,0.77978,0.78265,0.7829
2017-07-18,0.77969,0.79428,0.77863,0.79167,0.77969,0.78055
2017-07-19,0.79144,0.79591,0.79091,0.79532,0.79144,0.79174
2017-07-20,0.79497,0.79884,0.78974,0.79571,0.795,0.79539
2017-07-21,0.79582,0.79594,0.78749,0.79127,0.79585,0.7959
2017-07-24,0.7902,0.79676,0.7902,0.79235,0.7903,0.7909
2017-07-25,0.79235,0.79703,0.79026,0.79364,0.79235,0.79245
