time,open,high,low,close,bid,ask
2018-01-31,1.24009,1.24748,1.23867,1.24136,1.24009,1.24031
2018-02-01,1.24131,1.25228,1.23852,1.2506,1.24133,1.24138
2018-02-02,1.25072,1.25182,1.24092,1.24559,1.25075,1.2512699999999999
2018-02-05,1.2431,1.2475,1.23626,1.23664,1.2431,1.24438
2018-02-06,1.23657,1.24348,1.2314,1.23764,1.23668,1.23678
2018-02-07,1.23755,1.24062,1.22459,1.2264599999999999,1.23755,1.23779
2018-02-08,1.22621,1.2295099999999999,1.22122,1.22465,1.22621,1.22659
2018-02-09,1.22456,1.22873,1.22056,1.22518,1.2247,1.22476
2018-02-12,1.22482,1.22974,1.22351,1.22912,1.22482,1.22503
2018-02-13,1.229,1.23712,1.22846,1.23514,1.229,1.22932
2018-02-14,1.23496,1.24652,1.2275800000000001,1.24502,1.23496,1.23528
2018-02-15,1.24489,1.25104,1.24479,1.25071,1.24489,1.24522
2018-02-16,1.25045,1.25556,1.2393399999999999,1.24103,1.25045,1.25067
2018-02-19,1.24016,1.24352,1.23691,1.24069,1.24013,1.2405599999999999
2018-02-20,1.24062,1.24124,1.23198,1.23371,1.24071,1.24076
2018-02-21,1.23365,1.23601,1.2281,1.22827,1.23365,1.23388
2018-02-22,1.22818,1.23522,1.22594,1.23314,1.22818,1.2285
2018-02-23,1.23291,1.23373,1.22799,1.22952,1.23291,1.23323
2018-02-26,1.22936,1.23553,1.22778,1.23174,1.22936,1.22943
2018-02-27,1.23163,1.23466,1.22216,1.22332,1.23163,1.2318500000000001
2018-02-28,1.22318,1.22418,1.21879,1.21938,1.22318,1.22342
2018-03-01,1.21924,1.22733,1.21546,1.22677,1.21924,1.21955
2018-03-02,1.22649,1.2336,1.22515,1.23203,1.22649,1.22682
2018-03-05,1.23274,1.23644,1.2269,1.23362,1.23274,1.23424
2018-03-06,1.23348,1.24204,1.23281,1.24051,1.23348,1.2337
2018-03-07,1.24028,1.24453,1.23849,1.24108,1.24028,1.24047
2018-03-08,1.24101,1.24464,1.2298,1.23117,1.24101,1.24125
2018-03-09,1.23103,1.23344,1.22732,1.23051,1.23103,1.23131
2018-03-12,1.23092,1.23456,1.22904,1.23353,1.23092,1.23177
2018-03-13,1.23322,1.24075,1.23145,1.23908,1.23322,1.23355
2018-03-14,1.23896,1.24127,1.23472,1.23676,1.23896,1.23907
2018-03-15,1.2366,1.23837,1.2300200000000001,1.23043,1.2366,1.23688
2018-03-16,1.23035,1.23362,1.22601,1.22871,1.23035,1.2304599999999999
2018-03-19,1.22805,1.23588,1.2258,1.23345,1.22805,1.22902
2018-03-20,1.2334,1.23548,1.22397,1.22408,1.2334,1.23363
2018-03-21,1.22411,1.23499,1.22403,1.23386,1.22411,1.2241900000000001
2018-03-22,1.2337,1.23886,1.22854,1.23005,1.2337,1.23392
2018-03-23,1.23013,1.23736,1.22973,1.23526,1.23013,1.23034
2018-03-26,1.2347,1.24616,1.2347,1.24486,1.2347,1.23508
2018-03-27,1.24426,1.24766,1.23723,1.2402199999999999,1.24426,1.24441
2018-03-28,1.24016,1.24217,1.23001,1.23084,1.24016,1.2404
2018-03-29,1.23069,1.23359,1.2284,1.23006,1.23069,1.23101
2018-03-30,1.22992,1.23306,1.22898,1.23242,1.22992,1.23008
2018-04-02,1.23205,1.23451,1.22814,1.23018,1.23205,1.23265
2018-04-03,1.23004,1.23362,1.22537,1.2269,1.23004,1.23035
2018-04-04,1.22687,1.23148,1.2257,1.22785,1.22687,1.22719
2018-04-05,1.2278,1.22903,1.22184,1.22394,1.2278,1.22784
2018-04-06,1.22389,1.22908,1.22149,1.22812,1.22389,1.22404
2018-04-09,1.2284,1.23308,1.22603,1.23209,1.2284,1.22885
2018-04-10,1.23193,1.23777,1.23028,1.2355,1.23193,1.23221
2018-04-11,1.23546,1.23963,1.2347,1.23672,1.23546,1.23569
2018-04-12,1.23658,1.23798,1.22993,1.23257,1.23658,1.23685
2018-04-13,1.2325,1.2346,1.2307,1.23303,1.2325,1.23279
2018-04-16,1.233,1.23946,1.2322,1.23793,1.233,1.23395
2018-04-17,1.23793,1.24138,1.23362,1.23693,1.23793,1.23798
2018-04-18,1.23682,1.23973,1.23416,1.2375099999999999,1.23682,1.23714
2018-04-19,1.23727,1.24003,1.23291,1.23451,1.23727,1.2375099999999999
