,date,time,open,high,low,close,tickvol,vol,spread,label,exit_index
0,2/01/2020,6:00:00 AM,1.12132,1.12143,1.12118,1.12122,381,0,2,-1,20.0
1,2/01/2020,6:30:00 AM,1.12122,1.12122,1.12008,1.12011,523,0,1,-1,21.0
2,2/01/2020,7:00:00 AM,1.12011,1.12033,1.12008,1.12017,402,0,2,-1,25.0
3,2/01/2020,7:30:00 AM,1.12017,1.12043,1.12011,1.12043,281,0,2,-1,21.0
4,2/01/2020,8:00:00 AM,1.12043,1.12069,1.12042,1.12053,429,0,1,-1,20.0
5,2/01/2020,8:30:00 AM,1.12053,1.12075,1.12037,1.12066,372,0,2,-1,20.0
6,2/01/2020,9:00:00 AM,1.12074,1.12099,1.12055,1.12063,877,0,1,-1,20.0
7,2/01/2020,9:30:00 AM,1.12064,1.12102,1.12043,1.12098,844,0,1,-1,20.0
8,2/01/2020,10:00:00 AM,1.12098,1.12136,1.12052,1.12073,1022,0,2,-1,20.0
9,2/01/2020,10:30:00 AM,1.12073,1.12124,1.1206,1.12118,811,0,1,-1,15.0
10,2/01/2020,11:00:00 AM,1.12118,1.1214,1.12092,1.12099,745,0,1,-1,20.0
11,2/01/2020,11:30:00 AM,1.12099,1.12111,1.12011,1.12029,737,0,1,-1,21.0
12,2/01/2020,12:00:00 PM,1.12029,1.12037,1.11928,1.11931,766,0,2,-1,54.0
13,2/01/2020,12:30:00 PM,1.11931,1.11995,1.11928,1.11982,764,0,1,-1,25.0
14,2/01/2020,1:00:00 PM,1.11981,1.12021,1.1194,1.11947,1010,0,1,-1,25.0
15,2/01/2020,1:30:00 PM,1.11947,1.11954,1.11842,1.11847,875,0,1,-1,55.0
16,2/01/2020,2:00:00 PM,1.11847,1.11923,1.1183,1.11916,858,0,1,-1,54.0
17,2/01/2020,2:30:00 PM,1.11916,1.11942,1.11899,1.11929,853,0,1,-1,54.0
18,2/01/2020,3:00:00 PM,1.11929,1.11968,1.11909,1.11953,894,0,1,-1,25.0
19,2/01/2020,3:30:00 PM,1.11953,1.11969,1.11895,1.11962,1020,0,1,-1,25.0
20,2/01/2020,4:00:00 PM,1.11961,1.11964,1.11766,1.11776,1198,0,1,-1,58.0
21,2/01/2020,4:30:00 PM,1.11773,1.118,1.117,1.11739,1502,0,1,-1,58.0
22,2/01/2020,5:00:00 PM,1.11739,1.1178,1.11709,1.11739,1395,0,1,-1,58.0
23,2/01/2020,5:30:00 PM,1.11739,1.12023,1.11724,1.12004,2199,0,1,-1,25.0
24,2/01/2020,6:00:00 PM,1.12004,1.1203,1.11828,1.11843,1756,0,1,-1,55.0
25,2/01/2020,6:30:00 PM,1.11844,1.11863,1.11651,1.11662,1202,0,1,-1,60.0
26,2/01/2020,7:00:00 PM,1.11662,1.11711,1.11635,1.11704,995,0,1,-1,59.0
27,2/01/2020,7:30:00 PM,1.11704,1.11717,1.11645,1.11698,811,0,2,-1,59.0
28,2/01/2020,8:00:00 PM,1.11698,1.11712,1.11636,1.11674,858,0,1,-1,59.0
29,2/01/2020,8:30:00 PM,1.11674,1.1172,1.11664,1.11701,566,0,2,-1,59.0
30,2/01/2020,9:00:00 PM,1.11701,1.11702,1.11675,1.11682,709,0,2,-1,59.0
31,2/01/2020,9:30:00 PM,1.11682,1.11682,1.11643,1.11662,729,0,1,-1,60.0
32,2/01/2020,10:00:00 PM,1.11662,1.11716,1.11659,1.1171,637,0,1,-1,59.0
33,2/01/2020,10:30:00 PM,1.1171,1.11712,1.11667,1.11692,708,0,1,-1,59.0
34,2/01/2020,11:00:00 PM,1.11692,1.11733,1.11689,1.11733,289,0,2,-1,59.0
35,2/01/2020,11:30:00 PM,1.11732,1.11732,1.1171,1.11722,386,0,2,-1,59.0
36,3/01/2020,12:00:00 AM,1.11722,1.11726,1.11683,1.11708,172,0,2,-1,59.0
37,3/01/2020,12:30:00 AM,1.11708,1.11727,1.11704,1.11712,147,0,6,-1,60.0
