Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-01-02 14:45:00+00:00,2017-01-09 14:30:00+00:00,23,14,9,0.022579999999999767
2,2017-01-09 14:45:00+00:00,2017-01-16 14:30:00+00:00,26,14,12,0.01582999999999947
3,2017-01-16 14:45:00+00:00,2017-01-23 14:30:00+00:00,27,14,13,0.014800000000000472
4,2017-01-23 14:45:00+00:00,2017-01-30 14:30:00+00:00,23,14,9,0.022470000000000552
5,2017-01-30 14:45:00+00:00,2017-02-06 14:30:00+00:00,22,9,13,0.0158100000000006
6,2017-02-06 14:45:00+00:00,2017-02-13 14:30:00+00:00,23,13,10,0.01754000000000014
7,2017-02-13 14:45:00+00:00,2017-02-20 14:30:00+00:00,27,14,13,0.012630000000000058
8,2017-02-20 14:45:00+00:00,2017-02-27 14:30:00+00:00,24,10,14,0.0032399999999999235
9,2017-02-27 14:45:00+00:00,2017-03-06 14:30:00+00:00,18,11,7,0.014379999999999782
10,2017-03-06 14:45:00+00:00,2017-03-13 14:30:00+00:00,23,11,12,0.0103399999999996
11,2017-03-13 14:45:00+00:00,2017-03-20 14:30:00+00:00,20,11,8,0.013039999999999635
12,2017-03-20 14:45:00+00:00,2017-03-27 14:30:00+00:00,22,10,11,0.004150000000000625
13,2017-03-27 14:45:00+00:00,2017-04-03 14:30:00+00:00,22,12,10,0.010210000000000774
14,2017-04-03 14:45:00+00:00,2017-04-10 14:30:00+00:00,16,9,7,0.003569999999999851
15,2017-04-10 14:45:00+00:00,2017-04-17 14:30:00+00:00,0,0,0,0.0
16,2017-04-17 14:45:00+00:00,2017-04-24 14:30:00+00:00,12,3,8,0.013710000000000028
17,2017-04-24 14:45:00+00:00,2017-05-01 14:30:00+00:00,22,12,10,0.011970000000000314
18,2017-05-01 14:45:00+00:00,2017-05-08 14:30:00+00:00,21,12,9,0.008750000000000563
19,2017-05-08 14:45:00+00:00,2017-05-15 14:30:00+00:00,22,13,9,0.007749999999999535
20,2017-05-15 14:45:00+00:00,2017-05-22 14:30:00+00:00,22,11,11,0.002270000000000716
21,2017-05-22 14:45:00+00:00,2017-05-29 14:30:00+00:00,22,13,9,0.011709999999999943
22,2017-05-29 14:45:00+00:00,2017-06-05 14:30:00+00:00,22,10,12,0.010740000000001498
23,2017-06-05 14:45:00+00:00,2017-06-12 14:30:00+00:00,21,9,12,0.003649999999999709
24,2017-06-12 14:45:00+00:00,2017-06-19 14:30:00+00:00,20,9,10,0.006400000000000183
25,2017-06-19 14:45:00+00:00,2017-06-26 14:30:00+00:00,24,10,13,0.0050600000000002865
26,2017-06-26 14:45:00+00:00,2017-07-03 14:30:00+00:00,21,13,8,0.015610000000000568
27,2017-07-03 14:45:00+00:00,2017-07-10 14:30:00+00:00,26,13,12,0.01041000000000003
28,2017-07-10 14:45:00+00:00,2017-07-17 14:30:00+00:00,24,13,10,0.019419999999999327
29,2017-07-17 14:45:00+00:00,2017-07-24 14:30:00+00:00,22,10,12,0.009490000000000443
30,2017-07-24 14:45:00+00:00,2017-07-31 14:30:00+00:00,26,20,6,0.02517000000000058
31,2017-07-31 14:45:00+00:00,2017-08-07 14:30:00+00:00,22,12,10,0.006950000000000456
32,2017-08-07 14:45:00+00:00,2017-08-14 14:30:00+00:00,23,11,12,0.0052200000000006685
33,2017-08-14 14:45:00+00:00,2017-08-21 14:30:00+00:00,24,11,13,0.020370000000000887
34,2017-08-21 14:45:00+00:00,2017-08-28 14:30:00+00:00,21,14,7,0.014529999999999932
35,2017-08-28 14:45:00+00:00,2017-09-04 14:30:00+00:00,22,10,12,0.01081000000000043
36,2017-09-04 14:45:00+00:00,2017-09-11 14:30:00+00:00,20,13,7,0.018240000000000256
37,2017-09-11 14:45:00+00:00,2017-09-18 14:30:00+00:00,19,9,10,0.0052800000000001734
38,2017-09-18 14:45:00+00:00,2017-09-25 14:30:00+00:00,21,12,9,0.01130000000000142
39,2017-09-25 14:45:00+00:00,2017-10-02 14:30:00+00:00,26,14,12,0.006859999999999866
40,2017-10-02 14:45:00+00:00,2017-10-09 14:30:00+00:00,24,12,12,0.008190000000000808
41,2017-10-09 14:45:00+00:00,2017-10-16 14:30:00+00:00,22,11,11,0.005290000000000239
42,2017-10-16 14:45:00+00:00,2017-10-23 14:30:00+00:00,19,13,6,0.01339000000000068
43,2017-10-23 14:45:00+00:00,2017-10-30 14:30:00+00:00,26,11,15,0.00558000000000014
44,2017-10-30 14:45:00+00:00,2017-11-06 14:30:00+00:00,25,13,11,0.010180000000000078
45,2017-11-06 14:45:00+00:00,2017-11-13 14:30:00+00:00,19,11,8,0.006910000000000194
