Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-01-04 11:00:00+00:00,2017-01-11 10:00:00+00:00,7,4,3,0.014720000000000137
2,2017-01-11 11:00:00+00:00,2017-01-18 10:00:00+00:00,6,5,1,0.013839999999999948
3,2017-01-18 11:00:00+00:00,2017-01-25 10:00:00+00:00,9,7,2,0.031029999999999704
4,2017-01-25 11:00:00+00:00,2017-02-01 10:00:00+00:00,7,3,4,0.009829999999999832
5,2017-02-01 11:00:00+00:00,2017-02-08 10:00:00+00:00,9,6,3,0.01828999999999989
6,2017-02-08 11:00:00+00:00,2017-02-15 10:00:00+00:00,7,4,3,0.007660000000000028
7,2017-02-15 11:00:00+00:00,2017-02-22 10:00:00+00:00,7,5,2,0.010140000000000066
8,2017-02-22 11:00:00+00:00,2017-03-01 10:00:00+00:00,7,4,3,0.005960000000000215
9,2017-03-01 11:00:00+00:00,2017-03-08 10:00:00+00:00,7,4,3,0.0025399999999995704
10,2017-03-08 11:00:00+00:00,2017-03-15 10:00:00+00:00,5,3,2,0.010219999999999979
11,2017-03-15 11:00:00+00:00,2017-03-22 10:00:00+00:00,10,3,7,-0.00879999999999953
12,2017-03-22 11:00:00+00:00,2017-03-29 10:00:00+00:00,6,5,1,0.01392000000000021
13,2017-03-29 11:00:00+00:00,2017-04-05 10:00:00+00:00,7,5,2,0.019699999999999857
14,2017-04-05 11:00:00+00:00,2017-04-12 10:00:00+00:00,5,3,2,0.00129999999999994
15,2017-04-12 11:00:00+00:00,2017-04-19 10:00:00+00:00,0,0,0,0.0
16,2017-04-19 11:00:00+00:00,2017-04-26 10:00:00+00:00,6,5,1,0.012489999999999946
17,2017-04-26 11:00:00+00:00,2017-05-03 10:00:00+00:00,7,3,4,0.008170000000000038
18,2017-05-03 11:00:00+00:00,2017-05-10 10:00:00+00:00,5,4,1,0.017449999999999827
19,2017-05-10 11:00:00+00:00,2017-05-17 10:00:00+00:00,11,6,5,0.017170000000000712
20,2017-05-17 11:00:00+00:00,2017-05-24 10:00:00+00:00,8,5,3,0.006759999999999655
21,2017-05-24 11:00:00+00:00,2017-05-31 10:00:00+00:00,7,5,2,0.014709999999999807
22,2017-05-31 11:00:00+00:00,2017-06-07 10:00:00+00:00,7,5,2,0.009639999999999899
23,2017-06-07 11:00:00+00:00,2017-06-14 10:00:00+00:00,6,4,2,0.011069999999999969
