Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 18:03:00+00:00,2021-10-21 18:02:00+00:00,2,1,1,0.0022099999999997794
2,2021-10-21 18:03:00+00:00,2021-10-28 18:02:00+00:00,2,1,1,0.002360000000000096
3,2021-10-28 18:03:00+00:00,2021-11-04 18:02:00+00:00,7,1,6,-0.012179999999999792
4,2021-11-04 18:03:00+00:00,2021-11-11 18:02:00+00:00,6,1,5,-0.010560000000000257
5,2021-11-11 18:03:00+00:00,2021-11-18 18:02:00+00:00,8,1,7,-0.01624999999999982
6,2021-11-18 18:03:00+00:00,2021-11-25 18:02:00+00:00,10,2,8,-0.01345999999999957
7,2021-11-25 18:03:00+00:00,2021-12-02 18:02:00+00:00,9,5,4,0.012699999999999968
8,2021-12-02 18:03:00+00:00,2021-12-09 18:02:00+00:00,6,2,4,-0.0017600000000001087
9,2021-12-09 18:03:00+00:00,2021-12-16 18:02:00+00:00,6,2,4,-0.0012999999999999817
10,2021-12-16 18:03:00+00:00,2021-12-23 18:02:00+00:00,6,2,4,-0.0010499999999998982
11,2021-12-23 18:03:00+00:00,2021-12-30 18:02:00+00:00,3,1,2,-0.0005999999999997743
12,2021-12-30 18:03:00+00:00,2022-01-06 18:02:00+00:00,6,2,4,-0.0014199999999998797
13,2022-01-06 18:03:00+00:00,2022-01-13 18:02:00+00:00,6,4,2,0.014070000000000124
14,2022-01-13 18:03:00+00:00,2022-01-20 18:02:00+00:00,5,0,5,-0.014369999999999654
15,2022-01-20 18:03:00+00:00,2022-01-27 18:02:00+00:00,7,0,7,-0.020050000000000047
16,2022-01-27 18:03:00+00:00,2022-02-03 18:02:00+00:00,5,5,0,0.024949999999999924
17,2022-02-03 18:03:00+00:00,2022-02-10 18:02:00+00:00,4,2,2,0.004190000000000055
18,2022-02-10 18:03:00+00:00,2022-02-17 18:02:00+00:00,12,3,9,-0.011619999999999325
19,2022-02-17 18:03:00+00:00,2022-02-24 18:02:00+00:00,12,1,11,-0.025980000000000163
20,2022-02-24 18:03:00+00:00,2022-03-03 18:02:00+00:00,22,7,15,-0.013970000000000829
21,2022-03-03 18:03:00+00:00,2022-03-10 18:02:00+00:00,30,9,21,-0.013200000000000267
22,2022-03-10 18:03:00+00:00,2022-03-17 18:02:00+00:00,16,6,10,0.002489999999999659
23,2022-03-17 18:03:00+00:00,2022-03-24 18:02:00+00:00,12,3,9,-0.011170000000000013
24,2022-03-24 18:03:00+00:00,2022-03-31 18:02:00+00:00,14,6,8,0.006910000000000027
25,2022-03-31 18:03:00+00:00,2022-04-07 18:02:00+00:00,8,0,8,-0.02240000000000042
26,2022-04-07 18:03:00+00:00,2022-04-14 18:02:00+00:00,13,2,11,-0.018279999999999755
27,2022-04-14 18:03:00+00:00,2022-04-21 18:02:00+00:00,8,4,4,0.008629999999999916
28,2022-04-21 18:03:00+00:00,2022-04-28 18:02:00+00:00,17,1,16,-0.04151000000000063
29,2022-04-28 18:03:00+00:00,2022-05-05 18:02:00+00:00,12,5,7,0.0049400000000000555
30,2022-05-05 18:03:00+00:00,2022-05-12 18:02:00+00:00,20,5,14,-0.015949999999999992
31,2022-05-12 18:03:00+00:00,2022-05-19 18:02:00+00:00,13,7,6,0.01745999999999967
32,2022-05-19 18:03:00+00:00,2022-05-26 18:02:00+00:00,11,5,6,0.007879999999999804
33,2022-05-26 18:03:00+00:00,2022-06-02 18:02:00+00:00,11,4,7,-0.0014499999999998125
34,2022-06-02 18:03:00+00:00,2022-06-09 18:02:00+00:00,12,4,8,-0.0033400000000000096
35,2022-06-09 18:03:00+00:00,2022-06-16 18:02:00+00:00,21,4,17,-0.02968999999999969
36,2022-06-16 18:03:00+00:00,2022-06-23 18:02:00+00:00,15,6,9,0.0031000000000001304
37,2022-06-23 18:03:00+00:00,2022-06-30 18:02:00+00:00,11,3,8,-0.00765000000000024
38,2022-06-30 18:03:00+00:00,2022-07-07 18:02:00+00:00,13,1,12,-0.030979999999999924
39,2022-07-07 18:03:00+00:00,2022-07-14 18:02:00+00:00,23,5,18,-0.029579999999999773
40,2022-07-14 18:03:00+00:00,2022-07-21 18:02:00+00:00,27,12,15,0.019930000000000392
41,2022-07-21 18:03:00+00:00,2022-07-28 18:02:00+00:00,19,6,13,-0.007520000000000471
42,2022-07-28 18:03:00+00:00,2022-08-04 18:02:00+00:00,20,7,13,-0.002080000000000415
43,2022-08-04 18:03:00+00:00,2022-08-11 18:02:00+00:00,11,6,5,0.014709999999999723
44,2022-08-11 18:03:00+00:00,2022-08-18 18:02:00+00:00,11,1,10,-0.02335999999999977
45,2022-08-18 18:03:00+00:00,2022-08-19 23:55:00+00:00,4,0,4,-0.011219999999999786
