Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-12-31 00:15:00+00:00,2022-01-07 00:00:00+00:00,18,12,6,0.0164899999999999
1,2022-01-07 00:15:00+00:00,2022-01-14 00:00:00+00:00,17,7,10,0.001740000000000099
2,2022-01-14 00:15:00+00:00,2022-01-21 00:00:00+00:00,19,10,9,0.0087800000000001
3,2022-01-21 00:15:00+00:00,2022-01-28 00:00:00+00:00,23,7,16,-0.0053100000000002
4,2022-01-28 00:15:00+00:00,2022-02-04 00:00:00+00:00,21,8,13,0.002999999999999999
5,2022-02-04 00:15:00+00:00,2022-02-11 00:00:00+00:00,21,10,11,0.005949999999999799
6,2022-02-11 00:15:00+00:00,2022-02-18 00:00:00+00:00,21,6,15,-0.004149999999999897
7,2022-02-18 00:15:00+00:00,2022-02-25 00:00:00+00:00,20,7,13,0.001859999999999997
8,2022-02-25 00:15:00+00:00,2022-03-04 00:00:00+00:00,28,11,17,0.002790000000000001
9,2022-03-04 00:15:00+00:00,2022-03-11 00:00:00+00:00,24,13,11,0.012060000000000199
10,2022-03-11 00:15:00+00:00,2022-03-18 00:00:00+00:00,27,10,17,0.0030000000000000027
11,2022-03-18 00:15:00+00:00,2022-03-25 00:00:00+00:00,21,9,12,0.005999999999999998
12,2022-03-25 00:15:00+00:00,2022-04-01 00:00:00+00:00,23,13,10,0.013270000000000205
13,2022-04-01 00:15:00+00:00,2022-04-08 00:00:00+00:00,24,12,12,0.005399999999999697
14,2022-04-08 00:15:00+00:00,2022-04-15 00:00:00+00:00,22,10,12,0.006109999999999893
15,2022-04-15 00:15:00+00:00,2022-04-22 00:00:00+00:00,24,11,13,0.008110000000000311
16,2022-04-22 00:15:00+00:00,2022-04-29 00:00:00+00:00,24,9,15,0.0032700000000000923
17,2022-04-29 00:15:00+00:00,2022-05-06 00:00:00+00:00,25,13,12,0.014300000000000007
18,2022-05-06 00:15:00+00:00,2022-05-13 00:00:00+00:00,29,13,16,0.00884
19,2022-05-13 00:15:00+00:00,2022-05-20 00:00:00+00:00,26,9,17,-0.0007700000000000068
20,2022-05-20 00:15:00+00:00,2022-05-27 00:00:00+00:00,29,16,13,0.017709999999999892
21,2022-05-27 00:15:00+00:00,2022-05-30 23:45:00+00:00,8,4,4,0.004339999999999705
