Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-12-31 00:15:00+00:00,2022-01-07 00:00:00+00:00,18,12,6,0.01648999999999993
1,2022-01-07 00:15:00+00:00,2022-01-14 00:00:00+00:00,17,7,10,0.0017400000000001165
2,2022-01-14 00:15:00+00:00,2022-01-21 00:00:00+00:00,19,10,9,0.00878000000000008
3,2022-01-21 00:15:00+00:00,2022-01-28 00:00:00+00:00,23,7,16,-0.005310000000000183
4,2022-01-28 00:15:00+00:00,2022-02-04 00:00:00+00:00,21,8,13,0.0030000000000000027
5,2022-02-04 00:15:00+00:00,2022-02-11 00:00:00+00:00,21,10,11,0.005949999999999837
6,2022-02-11 00:15:00+00:00,2022-02-18 00:00:00+00:00,21,6,15,-0.004149999999999918
7,2022-02-18 00:15:00+00:00,2022-02-25 00:00:00+00:00,20,7,13,0.001859999999999952
8,2022-02-25 00:15:00+00:00,2022-03-04 00:00:00+00:00,28,11,17,0.0027900000000000078
9,2022-03-04 00:15:00+00:00,2022-03-11 00:00:00+00:00,24,13,11,0.012060000000000251
10,2022-03-11 00:15:00+00:00,2022-03-18 00:00:00+00:00,27,10,17,0.0030000000000000027
11,2022-03-18 00:15:00+00:00,2022-03-25 00:00:00+00:00,21,9,12,0.006000000000000005
12,2022-03-25 00:15:00+00:00,2022-04-01 00:00:00+00:00,23,13,10,0.013270000000000122
13,2022-04-01 00:15:00+00:00,2022-04-08 00:00:00+00:00,24,12,12,0.005399999999999738
14,2022-04-08 00:15:00+00:00,2022-04-15 00:00:00+00:00,22,10,12,0.006109999999999949
15,2022-04-15 00:15:00+00:00,2022-04-22 00:00:00+00:00,24,11,13,0.008110000000000228
16,2022-04-22 00:15:00+00:00,2022-04-29 00:00:00+00:00,24,9,15,0.0032700000000000784
17,2022-04-29 00:15:00+00:00,2022-05-06 00:00:00+00:00,25,13,12,0.014300000000000063
18,2022-05-06 00:15:00+00:00,2022-05-13 00:00:00+00:00,29,13,16,0.008840000000000015
19,2022-05-13 00:15:00+00:00,2022-05-20 00:00:00+00:00,26,9,17,-0.0007700000000000762
20,2022-05-20 00:15:00+00:00,2022-05-27 00:00:00+00:00,29,16,13,0.017709999999999976
21,2022-05-27 00:15:00+00:00,2022-05-30 23:45:00+00:00,8,4,4,0.004339999999999705
