Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2022-01-03 01:00:00+00:00,2022-01-10 00:00:00+00:00,3,1,2,0.002219999999999823
2,2022-01-10 01:00:00+00:00,2022-01-17 00:00:00+00:00,5,1,4,0.003050000000000108
3,2022-01-17 01:00:00+00:00,2022-01-24 00:00:00+00:00,4,2,2,0.009640000000000003
4,2022-01-24 01:00:00+00:00,2022-01-31 00:00:00+00:00,3,2,1,0.016270000000000163
5,2022-01-31 01:00:00+00:00,2022-02-07 00:00:00+00:00,6,4,2,0.012859999999999969
6,2022-02-07 01:00:00+00:00,2022-02-14 00:00:00+00:00,4,0,4,-0.007370000000000182
7,2022-02-14 01:00:00+00:00,2022-02-21 00:00:00+00:00,2,2,0,0.011260000000000006
8,2022-02-21 01:00:00+00:00,2022-02-28 00:00:00+00:00,6,1,5,-0.012250000000000219
9,2022-02-28 01:00:00+00:00,2022-03-07 00:00:00+00:00,2,2,0,0.020890000000000034
10,2022-03-07 01:00:00+00:00,2022-03-14 00:00:00+00:00,4,4,0,0.02699000000000018
11,2022-03-14 01:00:00+00:00,2022-03-21 00:00:00+00:00,4,2,2,0.0048199999999999354
12,2022-03-21 01:00:00+00:00,2022-03-28 00:00:00+00:00,3,1,2,-0.0016299999999998815
13,2022-03-28 01:00:00+00:00,2022-04-04 00:00:00+00:00,3,3,0,0.011850000000000055
14,2022-04-04 01:00:00+00:00,2022-04-11 00:00:00+00:00,5,2,3,0.010129999999999834
15,2022-04-11 01:00:00+00:00,2022-04-18 00:00:00+00:00,3,2,1,0.003190000000000165
16,2022-04-18 01:00:00+00:00,2022-04-25 00:00:00+00:00,2,2,0,0.016089999999999882
17,2022-04-25 01:00:00+00:00,2022-05-02 00:00:00+00:00,4,4,0,0.03345000000000031
18,2022-05-02 01:00:00+00:00,2022-05-09 00:00:00+00:00,4,1,3,-0.0038200000000000456
19,2022-05-09 01:00:00+00:00,2022-05-16 00:00:00+00:00,5,1,4,-0.003669999999999979
20,2022-05-16 01:00:00+00:00,2022-05-23 00:00:00+00:00,4,3,1,0.01495000000000013
21,2022-05-23 01:00:00+00:00,2022-05-30 00:00:00+00:00,5,3,2,0.010639999999999622
22,2022-05-30 01:00:00+00:00,2022-05-31 23:00:00+00:00,1,0,1,-0.0005100000000000382
