Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2021-01-04 11:00:00+00:00,1.22814,2021-01-07 11:00:00+00:00,1.22946,0.0011199999999999878
short,2021-01-07 12:00:00+00:00,1.2269,2021-01-12 20:00:00+00:00,1.21746,0.009240000000000114
buy,2021-01-12 21:00:00+00:00,1.21872,2021-01-13 15:00:00+00:00,1.21729,-0.0016300000000000429
short,2021-01-13 16:00:00+00:00,1.21614,2021-01-19 02:00:00+00:00,1.2078,0.008140000000000014
buy,2021-01-19 03:00:00+00:00,1.20864,2021-01-20 13:00:00+00:00,1.21214,0.00330000000000006
short,2021-01-20 14:00:00+00:00,1.21121,2021-01-21 07:00:00+00:00,1.21296,-0.0019500000000001391
buy,2021-01-21 11:00:00+00:00,1.21319,2021-01-25 11:00:00+00:00,1.21732,0.003929999999999968
short,2021-01-25 12:00:00+00:00,1.21476,2021-01-26 15:00:00+00:00,1.21443,0.0001300000000001647
buy,2021-01-26 16:00:00+00:00,1.21568,2021-01-27 11:00:00+00:00,1.21482,-0.0010600000000000817
short,2021-01-27 12:00:00+00:00,1.21227,2021-01-28 15:00:00+00:00,1.20992,0.0021499999999998534
buy,2021-01-28 16:00:00+00:00,1.21285,2021-02-01 10:00:00+00:00,1.21286,-0.00018999999999993328
short,2021-02-01 11:00:00+00:00,1.2089,2021-02-05 14:00:00+00:00,1.198,0.010700000000000133
buy,2021-02-05 15:00:00+00:00,1.19897,2021-02-08 14:00:00+00:00,1.20298,0.0038099999999998482
buy,2021-02-08 16:00:00+00:00,1.20378,2021-02-12 09:00:00+00:00,1.21256,0.008580000000000011
short,2021-02-12 10:00:00+00:00,1.21155,2021-02-15 04:00:00+00:00,1.21269,-0.0013400000000001397
buy,2021-02-15 05:00:00+00:00,1.21327,2021-02-16 15:00:00+00:00,1.21503,0.001559999999999985
short,2021-02-16 16:00:00+00:00,1.21081,2021-02-18 10:00:00+00:00,1.20474,0.005870000000000021
buy,2021-02-18 11:00:00+00:00,1.20688,2021-02-22 09:00:00+00:00,1.21196,0.004879999999999975
short,2021-02-22 10:00:00+00:00,1.21098,2021-02-22 13:00:00+00:00,1.21292,-0.0021400000000000516
buy,2021-02-22 15:00:00+00:00,1.21366,2021-02-23 16:00:00+00:00,1.21494,0.001079999999999949
buy,2021-02-24 10:00:00+00:00,1.21556,2021-02-24 15:00:00+00:00,1.2156,-0.00015999999999995879
short,2021-02-24 17:00:00+00:00,1.21322,2021-02-25 07:00:00+00:00,1.21765,-0.004629999999999933
buy,2021-02-25 10:00:00+00:00,1.21873,2021-02-26 02:00:00+00:00,1.2158,-0.003130000000000098
short,2021-02-26 11:00:00+00:00,1.21496,2021-03-02 17:00:00+00:00,1.20426,0.010499999999999933
buy,2021-03-02 18:00:00+00:00,1.20624,2021-03-03 14:00:00+00:00,1.20622,-0.00021999999999990777
short,2021-03-03 15:00:00+00:00,1.20632,2021-03-08 15:00:00+00:00,1.18619,0.019929999999999976
short,2021-03-08 18:00:00+00:00,1.18578,2021-03-09 09:00:00+00:00,1.18577,-0.00018999999999994022
buy,2021-03-09 10:00:00+00:00,1.18809,2021-03-10 07:00:00+00:00,1.18797,-0.00032000000000012574
short,2021-03-10 08:00:00+00:00,1.18752,2021-03-10 16:00:00+00:00,1.19108,-0.0037600000000000133
buy,2021-03-10 22:00:00+00:00,1.19208,2021-03-12 11:00:00+00:00,1.19332,0.0010399999999999021
short,2021-03-12 12:00:00+00:00,1.19179,2021-03-16 13:00:00+00:00,1.19292,-0.0013300000000000811
buy,2021-03-16 14:00:00+00:00,1.19442,2021-03-16 16:00:00+00:00,1.19229,-0.002329999999999971
