Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-12-31 00:15:00+00:00,2022-01-07 00:00:00+00:00,30,13,17,0.008259999999999282
1,2022-01-07 00:15:00+00:00,2022-01-14 00:00:00+00:00,31,17,14,0.012999999999999887
2,2022-01-14 00:15:00+00:00,2022-01-21 00:00:00+00:00,27,20,7,0.024029999999999767
3,2022-01-21 00:15:00+00:00,2022-01-28 00:00:00+00:00,31,16,15,0.01238000000000021
4,2022-01-28 00:15:00+00:00,2022-02-04 00:00:00+00:00,31,20,11,0.02708000000000079
5,2022-02-04 00:15:00+00:00,2022-02-11 00:00:00+00:00,26,14,12,0.007290000000000019
6,2022-02-11 00:15:00+00:00,2022-02-18 00:00:00+00:00,29,15,14,0.011190000000000283
7,2022-02-18 00:15:00+00:00,2022-02-25 00:00:00+00:00,27,16,11,0.010800000000000087
8,2022-02-25 00:15:00+00:00,2022-03-04 00:00:00+00:00,29,16,13,0.0187600000000005
9,2022-03-04 00:15:00+00:00,2022-03-11 00:00:00+00:00,27,21,6,0.022199999999999664
10,2022-03-11 00:15:00+00:00,2022-03-18 00:00:00+00:00,32,14,18,0.007629999999999915
11,2022-03-18 00:15:00+00:00,2022-03-25 00:00:00+00:00,26,11,15,0.006200000000000427
12,2022-03-25 00:15:00+00:00,2022-04-01 00:00:00+00:00,29,17,12,0.01582000000000003
13,2022-04-01 00:15:00+00:00,2022-04-08 00:00:00+00:00,25,10,15,0.0015300000000002256
14,2022-04-08 00:15:00+00:00,2022-04-15 00:00:00+00:00,27,15,12,0.015599999999999253
15,2022-04-15 00:15:00+00:00,2022-04-22 00:00:00+00:00,28,14,13,0.007719999999999727
16,2022-04-22 00:15:00+00:00,2022-04-29 00:00:00+00:00,30,18,12,0.01863999999999974
17,2022-04-29 00:15:00+00:00,2022-05-06 00:00:00+00:00,29,9,20,-0.0010900000000010346
18,2022-05-06 00:15:00+00:00,2022-05-13 00:00:00+00:00,37,24,13,0.03080000000000019
19,2022-05-13 00:15:00+00:00,2022-05-20 00:00:00+00:00,34,20,14,0.026380000000000514
20,2022-05-20 00:15:00+00:00,2022-05-27 00:00:00+00:00,30,11,19,0.007900000000000684
21,2022-05-27 00:15:00+00:00,2022-05-30 23:45:00+00:00,11,3,8,-0.004429999999999823
