Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-07-01 14:45:00+00:00,2021-07-08 14:30:00+00:00,14,3,11,-0.005540000000000187
2,2021-07-08 14:45:00+00:00,2021-07-15 14:30:00+00:00,15,3,12,-0.012870000000000048
3,2021-07-15 14:45:00+00:00,2021-07-22 14:30:00+00:00,11,5,6,0.004319999999999859
4,2021-07-22 14:45:00+00:00,2021-07-29 14:30:00+00:00,15,6,9,-0.005499999999999828
5,2021-07-29 14:45:00+00:00,2021-08-05 14:30:00+00:00,15,5,10,-0.004299999999999839
6,2021-08-05 14:45:00+00:00,2021-08-12 14:30:00+00:00,14,6,8,0.0022599999999999704
7,2021-08-12 14:45:00+00:00,2021-08-19 14:30:00+00:00,12,8,4,0.018339999999999985
8,2021-08-19 14:45:00+00:00,2021-08-26 14:30:00+00:00,15,5,10,0.0035999999999999405
9,2021-08-26 14:45:00+00:00,2021-09-02 14:30:00+00:00,14,6,8,-0.00047999999999967903
10,2021-09-02 14:45:00+00:00,2021-09-09 14:30:00+00:00,9,7,2,0.01046000000000016
11,2021-09-09 14:45:00+00:00,2021-09-16 14:30:00+00:00,12,7,5,-0.0005600000000001645
12,2021-09-16 14:45:00+00:00,2021-09-23 14:30:00+00:00,11,7,4,0.0070899999999999175
13,2021-09-23 14:45:00+00:00,2021-09-30 14:30:00+00:00,18,8,10,0.005010000000000139
14,2021-09-30 14:45:00+00:00,2021-10-07 14:30:00+00:00,12,8,4,0.005849999999999883
15,2021-10-07 14:45:00+00:00,2021-10-14 14:30:00+00:00,13,6,7,0.0020300000000000387
16,2021-10-14 14:45:00+00:00,2021-10-21 14:30:00+00:00,13,6,7,0.00759000000000027
17,2021-10-21 14:45:00+00:00,2021-10-28 14:30:00+00:00,15,7,7,0.0019299999999998069
18,2021-10-28 14:45:00+00:00,2021-11-04 14:30:00+00:00,14,9,5,0.00951000000000006
19,2021-11-04 14:45:00+00:00,2021-11-11 14:30:00+00:00,17,7,10,0.006789999999999831
20,2021-11-11 14:45:00+00:00,2021-11-18 14:30:00+00:00,11,6,5,0.01003999999999998
21,2021-11-18 14:45:00+00:00,2021-11-25 14:30:00+00:00,16,7,9,-0.0006300000000002415
22,2021-11-25 14:45:00+00:00,2021-12-02 14:30:00+00:00,14,9,5,0.007439999999999725
23,2021-12-02 14:45:00+00:00,2021-12-09 14:30:00+00:00,15,7,8,0.00949999999999998
24,2021-12-09 14:45:00+00:00,2021-12-16 14:30:00+00:00,13,8,5,0.003640000000000171
25,2021-12-16 14:45:00+00:00,2021-12-23 14:30:00+00:00,10,7,3,0.020359999999999878
26,2021-12-23 14:45:00+00:00,2021-12-30 14:30:00+00:00,18,7,11,-0.005680000000000296
27,2021-12-30 14:45:00+00:00,2022-01-06 14:30:00+00:00,16,10,6,0.010919999999999708
28,2022-01-06 14:45:00+00:00,2022-01-13 14:30:00+00:00,15,5,10,0.0026999999999998414
29,2022-01-13 14:45:00+00:00,2022-01-20 14:30:00+00:00,12,5,6,0.006499999999999867
30,2022-01-20 14:45:00+00:00,2022-01-27 14:30:00+00:00,15,10,5,0.02218999999999985
31,2022-01-27 14:45:00+00:00,2022-02-03 14:30:00+00:00,20,8,12,0.0033599999999999186
32,2022-02-03 14:45:00+00:00,2022-02-10 14:30:00+00:00,15,6,9,0.003569999999999879
33,2022-02-10 14:45:00+00:00,2022-02-17 14:30:00+00:00,14,6,8,0.006339999999999624
34,2022-02-17 14:45:00+00:00,2022-02-24 14:30:00+00:00,12,8,4,0.016740000000000088
35,2022-02-24 14:45:00+00:00,2022-03-03 14:30:00+00:00,16,9,7,0.012329999999999841
36,2022-03-03 14:45:00+00:00,2022-03-10 14:30:00+00:00,17,8,9,0.0070199999999998874
37,2022-03-10 14:45:00+00:00,2022-03-17 14:30:00+00:00,12,9,3,0.02442999999999984
38,2022-03-17 14:45:00+00:00,2022-03-24 14:30:00+00:00,15,7,8,0.00515999999999997
39,2022-03-24 14:45:00+00:00,2022-03-31 14:30:00+00:00,16,4,12,-0.009100000000000219
40,2022-03-31 14:45:00+00:00,2022-04-07 14:30:00+00:00,14,8,6,0.014449999999999796
41,2022-04-07 14:45:00+00:00,2022-04-14 14:30:00+00:00,13,8,5,0.013029999999999958
42,2022-04-14 14:45:00+00:00,2022-04-21 14:30:00+00:00,14,7,7,0.009509999999999963
43,2022-04-21 14:45:00+00:00,2022-04-28 14:30:00+00:00,15,8,7,0.02271000000000034
44,2022-04-28 14:45:00+00:00,2022-05-05 14:30:00+00:00,14,8,6,0.017670000000000408
45,2022-05-05 14:45:00+00:00,2022-05-12 14:30:00+00:00,19,8,11,0.010360000000000591
46,2022-05-12 14:45:00+00:00,2022-05-19 14:30:00+00:00,15,8,6,0.01786000000000032
47,2022-05-19 14:45:00+00:00,2022-05-26 14:30:00+00:00,14,10,4,0.018120000000000358
48,2022-05-26 14:45:00+00:00,2022-06-02 14:30:00+00:00,12,4,8,0.0005300000000003635
49,2022-06-02 14:45:00+00:00,2022-06-09 14:30:00+00:00,14,8,6,0.01809000000000016
50,2022-06-09 14:45:00+00:00,2022-06-16 14:30:00+00:00,14,12,2,0.039970000000000394
51,2022-06-16 14:45:00+00:00,2022-06-23 14:30:00+00:00,18,10,8,0.016380000000000505
52,2022-06-23 14:45:00+00:00,2022-06-30 14:30:00+00:00,16,5,11,-0.007479999999999709
53,2022-06-30 14:45:00+00:00,2022-07-07 14:30:00+00:00,18,7,11,0.007100000000000328
54,2022-07-07 14:45:00+00:00,2022-07-14 14:30:00+00:00,16,7,9,0.013210000000000499
55,2022-07-14 14:45:00+00:00,2022-07-15 23:45:00+00:00,7,3,4,0.004990000000000383
