Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-01-04 11:00:00+00:00,2017-01-11 10:00:00+00:00,5,4,1,0.017429999999999727
2,2017-01-11 11:00:00+00:00,2017-01-18 10:00:00+00:00,8,4,3,0.01014000000000011
3,2017-01-18 11:00:00+00:00,2017-01-25 10:00:00+00:00,6,3,3,0.00558000000000046
4,2017-01-25 11:00:00+00:00,2017-02-01 10:00:00+00:00,8,4,3,0.01510000000000019
5,2017-02-01 11:00:00+00:00,2017-02-08 10:00:00+00:00,7,4,2,0.015239999999999775
6,2017-02-08 11:00:00+00:00,2017-02-15 10:00:00+00:00,7,6,1,0.015120000000000272
7,2017-02-15 11:00:00+00:00,2017-02-22 10:00:00+00:00,5,5,0,0.014400000000000052
8,2017-02-22 11:00:00+00:00,2017-03-01 10:00:00+00:00,7,5,2,0.009749999999999953
9,2017-03-01 11:00:00+00:00,2017-03-08 10:00:00+00:00,5,2,2,0.008360000000000034
10,2017-03-08 11:00:00+00:00,2017-03-15 10:00:00+00:00,7,4,3,0.009989999999999985
11,2017-03-15 11:00:00+00:00,2017-03-22 10:00:00+00:00,7,3,4,0.005679999999999713
12,2017-03-22 11:00:00+00:00,2017-03-29 10:00:00+00:00,5,3,2,0.00712999999999972
13,2017-03-29 11:00:00+00:00,2017-04-05 10:00:00+00:00,6,1,5,-0.0042299999999999005
14,2017-04-05 11:00:00+00:00,2017-04-12 10:00:00+00:00,2,2,0,0.004679999999999962
15,2017-04-12 11:00:00+00:00,2017-04-19 10:00:00+00:00,0,0,0,0.0
16,2017-04-19 11:00:00+00:00,2017-04-26 10:00:00+00:00,4,4,0,0.028149999999999786
17,2017-04-26 11:00:00+00:00,2017-05-03 10:00:00+00:00,6,4,2,0.0104800000000001
18,2017-05-03 11:00:00+00:00,2017-05-10 10:00:00+00:00,6,4,2,0.008419999999999928
19,2017-05-10 11:00:00+00:00,2017-05-17 10:00:00+00:00,6,2,3,0.0008599999999999441
20,2017-05-17 11:00:00+00:00,2017-05-24 10:00:00+00:00,7,5,2,0.01605999999999999
21,2017-05-24 11:00:00+00:00,2017-05-31 10:00:00+00:00,7,6,1,0.015809999999999907
22,2017-05-31 11:00:00+00:00,2017-06-07 10:00:00+00:00,5,5,0,0.005069999999999769
23,2017-06-07 11:00:00+00:00,2017-06-14 10:00:00+00:00,7,5,2,0.01279999999999995
24,2017-06-14 11:00:00+00:00,2017-06-21 10:00:00+00:00,8,6,2,0.014370000000000077
25,2017-06-21 11:00:00+00:00,2017-06-28 10:00:00+00:00,6,6,0,0.012510000000000021
26,2017-06-28 11:00:00+00:00,2017-07-05 10:00:00+00:00,6,5,0,0.015109999999999957
27,2017-07-05 11:00:00+00:00,2017-07-12 10:00:00+00:00,5,3,1,0.00558000000000014
28,2017-07-12 11:00:00+00:00,2017-07-19 10:00:00+00:00,6,5,1,0.015940000000000065
29,2017-07-19 11:00:00+00:00,2017-07-26 10:00:00+00:00,3,2,1,0.009769999999999834
30,2017-07-26 11:00:00+00:00,2017-08-02 10:00:00+00:00,7,6,1,0.015850000000000364
31,2017-08-02 11:00:00+00:00,2017-08-09 10:00:00+00:00,4,2,2,0.011179999999999968
32,2017-08-09 11:00:00+00:00,2017-08-16 10:00:00+00:00,6,4,2,0.012700000000000156
33,2017-08-16 11:00:00+00:00,2017-08-23 10:00:00+00:00,5,4,1,0.019050000000000455
34,2017-08-23 11:00:00+00:00,2017-08-30 10:00:00+00:00,6,4,2,0.009570000000000078
35,2017-08-30 11:00:00+00:00,2017-09-06 10:00:00+00:00,5,5,0,0.009730000000000238
36,2017-09-06 11:00:00+00:00,2017-09-13 10:00:00+00:00,6,4,1,0.006520000000000081
37,2017-09-13 11:00:00+00:00,2017-09-20 10:00:00+00:00,7,5,2,0.006600000000000383
38,2017-09-20 11:00:00+00:00,2017-09-27 10:00:00+00:00,7,5,2,0.022790000000000088
39,2017-09-27 11:00:00+00:00,2017-10-04 10:00:00+00:00,6,3,3,0.0027800000000000047
40,2017-10-04 11:00:00+00:00,2017-10-11 10:00:00+00:00,7,3,4,0.0028500000000004633
41,2017-10-11 11:00:00+00:00,2017-10-18 10:00:00+00:00,6,6,0,0.015730000000000244
42,2017-10-18 11:00:00+00:00,2017-10-25 10:00:00+00:00,8,5,3,0.009280000000000177
43,2017-10-25 11:00:00+00:00,2017-11-01 10:00:00+00:00,7,5,2,0.014010000000000078
44,2017-11-01 11:00:00+00:00,2017-11-08 10:00:00+00:00,5,4,1,0.004550000000000498
45,2017-11-08 11:00:00+00:00,2017-11-15 10:00:00+00:00,7,5,2,0.01193999999999984
46,2017-11-15 11:00:00+00:00,2017-11-22 10:00:00+00:00,6,5,1,0.018890000000000462
47,2017-11-22 11:00:00+00:00,2017-11-29 10:00:00+00:00,7,2,5,0.00886000000000009
48,2017-11-29 11:00:00+00:00,2017-12-06 10:00:00+00:00,9,6,3,0.014910000000000423
49,2017-12-06 11:00:00+00:00,2017-12-13 10:00:00+00:00,5,2,3,0.006840000000000401
50,2017-12-13 11:00:00+00:00,2017-12-20 10:00:00+00:00,8,7,1,0.019520000000000204
51,2017-12-20 11:00:00+00:00,2017-12-27 10:00:00+00:00,4,2,2,-0.00013999999999980695
52,2017-12-27 11:00:00+00:00,2018-01-03 10:00:00+00:00,5,2,3,0.0020700000000002383
53,2018-01-03 11:00:00+00:00,2018-01-10 10:00:00+00:00,5,4,1,0.009770000000000056
54,2018-01-10 11:00:00+00:00,2018-01-17 10:00:00+00:00,6,5,1,0.024620000000000086
55,2018-01-17 11:00:00+00:00,2018-01-24 10:00:00+00:00,8,5,3,0.01597000000000004
56,2018-01-24 11:00:00+00:00,2018-01-31 10:00:00+00:00,6,3,3,0.00963000000000025
57,2018-01-31 11:00:00+00:00,2018-02-07 10:00:00+00:00,8,4,4,0.006110000000000282
58,2018-02-07 11:00:00+00:00,2018-02-14 10:00:00+00:00,7,4,3,0.009719999999999951
59,2018-02-14 11:00:00+00:00,2018-02-21 10:00:00+00:00,8,3,5,0.01010000000000022
60,2018-02-21 11:00:00+00:00,2018-02-28 10:00:00+00:00,6,3,3,0.002990000000000048
61,2018-02-28 11:00:00+00:00,2018-03-07 10:00:00+00:00,7,4,3,0.009740000000000304
62,2018-03-07 11:00:00+00:00,2018-03-14 10:00:00+00:00,6,2,4,0.0008000000000001339
63,2018-03-14 11:00:00+00:00,2018-03-21 10:00:00+00:00,5,4,1,0.013349999999999973
64,2018-03-21 11:00:00+00:00,2018-03-28 10:00:00+00:00,9,7,2,0.021780000000000355
65,2018-03-28 11:00:00+00:00,2018-04-04 10:00:00+00:00,6,1,5,-0.002969999999999917
66,2018-04-04 11:00:00+00:00,2018-04-11 10:00:00+00:00,5,2,3,0.0033200000000004337
67,2018-04-11 11:00:00+00:00,2018-04-18 10:00:00+00:00,7,4,3,0.010030000000000205
68,2018-04-18 11:00:00+00:00,2018-04-25 10:00:00+00:00,5,3,2,0.0016000000000002679
69,2018-04-25 11:00:00+00:00,2018-05-02 10:00:00+00:00,9,7,2,0.014479999999999826
70,2018-05-02 11:00:00+00:00,2018-05-09 10:00:00+00:00,7,3,4,0.005589999999999984
71,2018-05-09 11:00:00+00:00,2018-05-16 10:00:00+00:00,6,2,4,0.0040199999999996905
72,2018-05-16 11:00:00+00:00,2018-05-23 10:00:00+00:00,5,4,1,0.008689999999999864
73,2018-05-23 11:00:00+00:00,2018-05-30 10:00:00+00:00,9,4,4,-0.0009899999999998244
74,2018-05-30 11:00:00+00:00,2018-06-06 10:00:00+00:00,4,4,0,0.011829999999999785
75,2018-06-06 11:00:00+00:00,2018-06-13 10:00:00+00:00,6,4,2,0.006139999999999812
76,2018-06-13 11:00:00+00:00,2018-06-20 10:00:00+00:00,7,6,1,0.02416000000000018
77,2018-06-20 11:00:00+00:00,2018-06-27 10:00:00+00:00,6,4,2,0.007239999999999691
78,2018-06-27 11:00:00+00:00,2018-07-04 10:00:00+00:00,7,4,2,0.01878000000000024
79,2018-07-04 11:00:00+00:00,2018-07-11 10:00:00+00:00,6,5,1,0.012410000000000032
80,2018-07-11 11:00:00+00:00,2018-07-18 10:00:00+00:00,6,5,1,0.018120000000000358
81,2018-07-18 11:00:00+00:00,2018-07-25 10:00:00+00:00,6,3,3,0.006670000000000176
82,2018-07-25 11:00:00+00:00,2018-08-01 10:00:00+00:00,8,5,3,0.009699999999999598
83,2018-08-01 11:00:00+00:00,2018-08-08 10:00:00+00:00,5,2,3,0.003450000000000397
84,2018-08-08 11:00:00+00:00,2018-08-15 10:00:00+00:00,7,5,2,0.012909999999999977
85,2018-08-15 11:00:00+00:00,2018-08-22 10:00:00+00:00,6,5,0,0.007259999999999822
86,2018-08-22 11:00:00+00:00,2018-08-29 10:00:00+00:00,6,5,1,0.009450000000000403
87,2018-08-29 11:00:00+00:00,2018-09-05 10:00:00+00:00,6,4,2,0.01195000000000035
