Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2017-01-05 09:00:00+00:00,1.3259,2017-01-05 13:00:00+00:00,1.33121,0.005109999999999926
short,2017-01-05 16:00:00+00:00,1.32918,2017-01-05 18:00:00+00:00,1.32026,0.008720000000000037
buy,2017-01-06 03:00:00+00:00,1.32392,2017-01-06 15:00:00+00:00,1.32592,0.001800000000000003
buy,2017-01-06 20:00:00+00:00,1.32389,2017-01-09 15:00:00+00:00,1.3269,0.0028099999999999584
buy,2017-01-10 03:00:00+00:00,1.32246,2017-01-10 05:00:00+00:00,1.32081,-0.001849999999999928
buy,2017-01-10 10:00:00+00:00,1.32232,2017-01-10 16:00:00+00:00,1.32187,-0.0006499999999998382
buy,2017-01-11 01:00:00+00:00,1.32366,2017-01-11 10:00:00+00:00,1.32264,-0.0012200000000000214
buy,2017-01-11 14:00:00+00:00,1.32345,2017-01-11 18:00:00+00:00,1.32559,0.0019400000000000302
buy,2017-01-12 16:00:00+00:00,1.30916,2017-01-12 18:00:00+00:00,1.31404,0.004679999999999997
short,2017-01-13 09:00:00+00:00,1.31513,2017-01-13 16:00:00+00:00,1.31369,0.001239999999999887
short,2017-01-13 19:00:00+00:00,1.31346,2017-01-16 04:00:00+00:00,1.31406,-0.0007999999999999327
buy,2017-01-16 10:00:00+00:00,1.31344,2017-01-16 20:00:00+00:00,1.31552,0.001880000000000083
short,2017-01-17 05:00:00+00:00,1.31639,2017-01-17 08:00:00+00:00,1.31129,0.004899999999999884
buy,2017-01-17 17:00:00+00:00,1.30419,2017-01-18 13:00:00+00:00,1.30861,0.004220000000000092
short,2017-01-18 16:00:00+00:00,1.31116,2017-01-18 18:00:00+00:00,1.30949,0.0014700000000000615
short,2017-01-19 15:00:00+00:00,1.327,2017-01-19 16:00:00+00:00,1.32832,-0.0015199999999999866
short,2017-01-20 03:00:00+00:00,1.33256,2017-01-20 11:00:00+00:00,1.33261,-0.0002500000000001043
short,2017-01-20 20:00:00+00:00,1.33527,2017-01-20 22:00:00+00:00,1.33121,0.0038599999999999537
buy,2017-01-23 13:00:00+00:00,1.32847,2017-01-23 17:00:00+00:00,1.33276,0.004089999999999906
short,2017-01-23 18:00:00+00:00,1.32981,2017-01-23 22:00:00+00:00,1.32495,0.004659999999999866
buy,2017-01-24 09:00:00+00:00,1.32403,2017-01-24 13:00:00+00:00,1.32908,0.00485
short,2017-01-24 16:00:00+00:00,1.3265,2017-01-24 17:00:00+00:00,1.31665,0.009649999999999916
buy,2017-01-26 07:00:00+00:00,1.30637,2017-01-26 13:00:00+00:00,1.31113,0.004559999999999877
short,2017-01-26 16:00:00+00:00,1.31113,2017-01-27 06:00:00+00:00,1.31129,-0.00036000000000016574
short,2017-01-27 15:00:00+00:00,1.31152,2017-01-27 18:00:00+00:00,1.31253,-0.001209999999999961
short,2017-01-30 05:00:00+00:00,1.31262,2017-01-30 10:00:00+00:00,1.31411,-0.0016899999999999901
short,2017-01-30 15:00:00+00:00,1.31539,2017-01-30 18:00:00+00:00,1.30909,0.0060999999999999735
buy,2017-01-31 04:00:00+00:00,1.31082,2017-01-31 14:00:00+00:00,1.30932,-0.0017000000000000626
buy,2017-02-01 02:00:00+00:00,1.30401,2017-02-01 06:00:00+00:00,1.30834,0.004130000000000161
short,2017-02-01 13:00:00+00:00,1.30563,2017-02-01 15:00:00+00:00,1.30641,-0.0009800000000000086
short,2017-02-01 21:00:00+00:00,1.30852,2017-02-02 03:00:00+00:00,1.30255,0.005769999999999803
buy,2017-02-02 14:00:00+00:00,1.29903,2017-02-02 15:00:00+00:00,1.30058,0.0013500000000001566
buy,2017-02-02 16:00:00+00:00,1.29964,2017-02-03 13:00:00+00:00,1.30418,0.004339999999999983
short,2017-02-03 15:00:00+00:00,1.30505,2017-02-03 18:00:00+00:00,1.30023,0.004620000000000041
buy,2017-02-03 23:00:00+00:00,1.30294,2017-02-06 16:00:00+00:00,1.30769,0.004550000000000026
short,2017-02-07 00:00:00+00:00,1.30781,2017-02-07 03:00:00+00:00,1.30987,-0.0022600000000001785
buy,2017-02-07 08:00:00+00:00,1.31063,2017-02-07 10:00:00+00:00,1.3148,0.003970000000000001
short,2017-02-07 22:00:00+00:00,1.31616,2017-02-08 00:00:00+00:00,1.31903,-0.003069999999999934
short,2017-02-08 05:00:00+00:00,1.31738,2017-02-08 17:00:00+00:00,1.31567,0.0015100000000000946
short,2017-02-08 18:00:00+00:00,1.31442,2017-02-08 21:00:00+00:00,1.31699,-0.002770000000000189
short,2017-02-08 23:00:00+00:00,1.31535,2017-02-09 17:00:00+00:00,1.31347,0.001680000000000098
short,2017-02-10 14:00:00+00:00,1.31506,2017-02-10 16:00:00+00:00,1.30964,0.005219999999999975
buy,2017-02-13 01:00:00+00:00,1.30949,2017-02-13 10:00:00+00:00,1.30811,-0.0015799999999999426
buy,2017-02-13 12:00:00+00:00,1.31056,2017-02-13 18:00:00+00:00,1.30848,-0.0022799999999998655
buy,2017-02-14 17:00:00+00:00,1.3039,2017-02-14 18:00:00+00:00,1.30998,0.0058799999999998576
short,2017-02-15 06:00:00+00:00,1.30692,2017-02-15 15:00:00+00:00,1.30783,-0.0011099999999999721
short,2017-02-15 19:00:00+00:00,1.30811,2017-02-16 11:00:00+00:00,1.30397,0.003940000000000027
buy,2017-02-16 16:00:00+00:00,1.30498,2017-02-17 07:00:00+00:00,1.30606,0.0008799999999999641
buy,2017-02-17 11:00:00+00:00,1.30822,2017-02-17 23:00:00+00:00,1.30984,0.001419999999999949
buy,2017-02-20 13:00:00+00:00,1.31026,2017-02-21 06:00:00+00:00,1.31434,0.003880000000000078
short,2017-02-21 13:00:00+00:00,1.31538,2017-02-21 17:00:00+00:00,1.3138,0.001379999999999909
short,2017-02-21 22:00:00+00:00,1.31397,2017-02-22 09:00:00+00:00,1.31402,-0.0002499999999998892
short,2017-02-22 21:00:00+00:00,1.3189,2017-02-22 23:00:00+00:00,1.31443,0.004269999999999968
buy,2017-02-23 20:00:00+00:00,1.31127,2017-02-24 09:00:00+00:00,1.3095,-0.001969999999999833
buy,2017-02-24 14:00:00+00:00,1.31051,2017-02-24 15:00:00+00:00,1.31134,0.0006299999999998807
buy,2017-02-24 22:00:00+00:00,1.30978,2017-02-27 16:00:00+00:00,1.31079,0.0008099999999999496
buy,2017-02-27 20:00:00+00:00,1.31164,2017-02-27 23:00:00+00:00,1.3163,0.004460000000000103
short,2017-02-28 10:00:00+00:00,1.31716,2017-02-28 14:00:00+00:00,1.31742,-0.0004599999999999327
short,2017-03-01 04:00:00+00:00,1.33046,2017-03-01 07:00:00+00:00,1.33204,-0.0017799999999999205
short,2017-03-01 16:00:00+00:00,1.33266,2017-03-01 17:00:00+00:00,1.33086,0.001600000000000018
short,2017-03-02 15:00:00+00:00,1.33656,2017-03-02 16:00:00+00:00,1.33669,-0.0003299999999999692
short,2017-03-03 07:00:00+00:00,1.3387,2017-03-03 10:00:00+00:00,1.33962,-0.0011200000000000376
short,2017-03-03 15:00:00+00:00,1.34079,2017-03-03 18:00:00+00:00,1.34139,-0.0008000000000001617
short,2017-03-03 21:00:00+00:00,1.34049,2017-03-06 09:00:00+00:00,1.33904,0.0012499999999999456
short,2017-03-07 01:00:00+00:00,1.34065,2017-03-07 10:00:00+00:00,1.339,0.0014499999999999236
short,2017-03-07 23:00:00+00:00,1.34153,2017-03-08 09:00:00+00:00,1.34084,0.0004899999999998517
short,2017-03-09 03:00:00+00:00,1.34913,2017-03-09 06:00:00+00:00,1.34985,-0.0009200000000000597
short,2017-03-09 09:00:00+00:00,1.34921,2017-03-09 10:00:00+00:00,1.3488,0.00021000000000001573
short,2017-03-09 17:00:00+00:00,1.35024,2017-03-10 14:00:00+00:00,1.35011,-6.99999999998202e-05
short,2017-03-10 15:00:00+00:00,1.35079,2017-03-10 16:00:00+00:00,1.34243,0.008159999999999917
buy,2017-03-14 09:00:00+00:00,1.34504,2017-03-15 01:00:00+00:00,1.34808,0.002839999999999926
buy,2017-03-15 14:00:00+00:00,1.34532,2017-03-15 16:00:00+00:00,1.34654,0.0010199999999999931
buy,2017-03-15 19:00:00+00:00,1.34511,2017-03-15 20:00:00+00:00,1.34647,0.0011600000000000221
buy,2017-03-16 11:00:00+00:00,1.33157,2017-03-16 16:00:00+00:00,1.32928,-0.002489999999999909
short,2017-03-17 04:00:00+00:00,1.33216,2017-03-17 10:00:00+00:00,1.33439,-0.00242999999999996
short,2017-03-17 15:00:00+00:00,1.33213,2017-03-17 17:00:00+00:00,1.33429,-0.0023599999999999455
short,2017-03-20 06:00:00+00:00,1.33227,2017-03-20 12:00:00+00:00,1.33524,-0.003169999999999923
buy,2017-03-20 14:00:00+00:00,1.33547,2017-03-21 02:00:00+00:00,1.33392,-0.001749999999999946
buy,2017-03-21 07:00:00+00:00,1.3358,2017-03-21 11:00:00+00:00,1.33381,-0.002190000000000164
buy,2017-03-21 18:00:00+00:00,1.33221,2017-03-22 03:00:00+00:00,1.33661,0.004200000000000176
short,2017-03-22 09:00:00+00:00,1.33624,2017-03-22 10:00:00+00:00,1.33683,-0.0007899999999998741
short,2017-03-22 17:00:00+00:00,1.33741,2017-03-22 22:00:00+00:00,1.33262,0.004590000000000066
buy,2017-03-23 09:00:00+00:00,1.33219,2017-03-23 13:00:00+00:00,1.33261,0.00022000000000008124
buy,2017-03-23 20:00:00+00:00,1.33364,2017-03-24 10:00:00+00:00,1.33576,0.001920000000000116
buy,2017-03-24 14:00:00+00:00,1.33551,2017-03-27 00:00:00+00:00,1.33483,-0.0008800000000000197
buy,2017-03-27 13:00:00+00:00,1.33238,2017-03-27 17:00:00+00:00,1.33899,0.006409999999999999
short,2017-03-28 15:00:00+00:00,1.33981,2017-03-29 03:00:00+00:00,1.33795,0.001659999999999967
short,2017-03-29 10:00:00+00:00,1.33753,2017-03-29 16:00:00+00:00,1.33796,-0.0006299999999999362
short,2017-03-29 20:00:00+00:00,1.33707,2017-03-30 00:00:00+00:00,1.33296,0.003910000000000052
buy,2017-03-30 21:00:00+00:00,1.33018,2017-03-31 04:00:00+00:00,1.33437,0.003990000000000132
short,2017-03-31 15:00:00+00:00,1.33438,2017-03-31 16:00:00+00:00,1.33009,0.004089999999999899
buy,2017-04-03 08:00:00+00:00,1.33244,2017-04-03 17:00:00+00:00,1.33893,0.006289999999999879
short,2017-04-04 00:00:00+00:00,1.3377,2017-04-04 08:00:00+00:00,1.33834,-0.0008400000000002017
short,2017-04-04 18:00:00+00:00,1.34325,2017-04-05 09:00:00+00:00,1.34016,0.0028900000000000314
short,2017-04-05 10:00:00+00:00,1.34026,2017-04-05 13:00:00+00:00,1.3404,-0.0003400000000000347
short,2017-04-05 14:00:00+00:00,1.34043,2017-04-05 17:00:00+00:00,1.33967,0.0005600000000000882
short,2017-04-06 09:00:00+00:00,1.34381,2017-04-06 10:00:00+00:00,1.34405,-0.0004400000000000237
short,2017-04-06 13:00:00+00:00,1.34378,2017-04-07 04:00:00+00:00,1.34251,0.0010699999999998766
short,2017-04-07 05:00:00+00:00,1.34066,2017-04-07 20:00:00+00:00,1.34001,0.0004500000000000337
short,2017-04-20 05:00:00+00:00,1.34779,2017-04-20 09:00:00+00:00,1.34688,0.0007099999999999607
short,2017-04-20 17:00:00+00:00,1.34977,2017-04-21 14:00:00+00:00,1.34723,0.002339999999999981
short,2017-04-21 22:00:00+00:00,1.35044,2017-04-24 11:00:00+00:00,1.3441,0.0061400000000000066
buy,2017-04-24 15:00:00+00:00,1.34472,2017-04-24 17:00:00+00:00,1.34897,0.004050000000000081
short,2017-04-25 11:00:00+00:00,1.3561,2017-04-25 13:00:00+00:00,1.35688,-0.0009800000000000086
short,2017-04-25 20:00:00+00:00,1.35816,2017-04-26 10:00:00+00:00,1.35773,0.0002299999999999247
short,2017-04-26 17:00:00+00:00,1.35833,2017-04-26 18:00:00+00:00,1.35596,0.0021699999999999775
short,2017-04-27 05:00:00+00:00,1.36433,2017-04-27 06:00:00+00:00,1.356,0.008129999999999943
buy,2017-04-27 16:00:00+00:00,1.35968,2017-04-27 18:00:00+00:00,1.36466,0.004779999999999979
short,2017-04-28 20:00:00+00:00,1.36524,2017-05-01 07:00:00+00:00,1.36697,-0.001930000000000015
short,2017-05-01 14:00:00+00:00,1.3661,2017-05-01 23:00:00+00:00,1.36743,-0.001529999999999837
short,2017-05-02 12:00:00+00:00,1.36648,2017-05-02 15:00:00+00:00,1.36748,-0.0012000000000001176
short,2017-05-03 02:00:00+00:00,1.37071,2017-05-03 07:00:00+00:00,1.37276,-0.002249999999999891
buy,2017-05-03 23:00:00+00:00,1.37196,2017-05-04 21:00:00+00:00,1.37645,0.004289999999999877
short,2017-05-05 00:00:00+00:00,1.37466,2017-05-05 06:00:00+00:00,1.37706,-0.0025999999999999635
short,2017-05-05 09:00:00+00:00,1.37879,2017-05-05 18:00:00+00:00,1.36914,0.00944999999999993
buy,2017-05-08 09:00:00+00:00,1.36459,2017-05-08 15:00:00+00:00,1.3696,0.004809999999999953
short,2017-05-08 21:00:00+00:00,1.36972,2017-05-09 14:00:00+00:00,1.36802,0.001500000000000029
short,2017-05-10 01:00:00+00:00,1.37149,2017-05-10 18:00:00+00:00,1.36574,0.005550000000000138
buy,2017-05-11 00:00:00+00:00,1.36587,2017-05-11 03:00:00+00:00,1.37114,0.005070000000000102
short,2017-05-11 12:00:00+00:00,1.37148,2017-05-11 15:00:00+00:00,1.37259,-0.00130999999999995
short,2017-05-11 17:00:00+00:00,1.37436,2017-05-11 18:00:00+00:00,1.36859,0.005570000000000047
buy,2017-05-12 13:00:00+00:00,1.37038,2017-05-12 15:00:00+00:00,1.3726,0.002020000000000105
buy,2017-05-12 18:00:00+00:00,1.37235,2017-05-15 00:00:00+00:00,1.36939,-0.0031599999999998574
short,2017-05-15 06:00:00+00:00,1.36824,2017-05-15 10:00:00+00:00,1.36357,0.004469999999999946
buy,2017-05-15 21:00:00+00:00,1.36455,2017-05-16 05:00:00+00:00,1.36235,-0.0023999999999999855
short,2017-05-16 08:00:00+00:00,1.36215,2017-05-16 12:00:00+00:00,1.36398,-0.002030000000000004
