Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-01-02 14:45:00+00:00,2017-01-09 14:30:00+00:00,22,11,11,0.014190000000000105
2,2017-01-09 14:45:00+00:00,2017-01-16 14:30:00+00:00,22,11,11,0.03383000000000088
3,2017-01-16 14:45:00+00:00,2017-01-23 14:30:00+00:00,27,10,17,0.016110000000000353
4,2017-01-23 14:45:00+00:00,2017-01-30 14:30:00+00:00,23,9,14,0.01006000000000043
5,2017-01-30 14:45:00+00:00,2017-02-06 14:30:00+00:00,23,11,12,0.006799999999999723
6,2017-02-06 14:45:00+00:00,2017-02-13 14:30:00+00:00,23,11,12,0.017300000000000343
7,2017-02-13 14:45:00+00:00,2017-02-20 14:30:00+00:00,24,12,12,0.021969999999999823
8,2017-02-20 14:45:00+00:00,2017-02-27 14:30:00+00:00,20,11,9,0.022859999999999783
9,2017-02-27 14:45:00+00:00,2017-03-06 14:30:00+00:00,25,14,10,0.016009999999999414
10,2017-03-06 14:45:00+00:00,2017-03-13 14:30:00+00:00,27,9,18,-0.002919999999999673
11,2017-03-13 14:45:00+00:00,2017-03-20 14:30:00+00:00,17,11,6,0.022039999999999366
12,2017-03-20 14:45:00+00:00,2017-03-27 14:30:00+00:00,20,8,12,-0.0013500000000007395
13,2017-03-27 14:45:00+00:00,2017-04-03 14:30:00+00:00,23,11,12,0.00883000000000081
14,2017-04-03 14:45:00+00:00,2017-04-10 14:30:00+00:00,19,10,9,0.002830000000000249
15,2017-04-10 14:45:00+00:00,2017-04-17 14:30:00+00:00,0,0,0,0.0
16,2017-04-17 14:45:00+00:00,2017-04-24 14:30:00+00:00,13,7,6,0.0062799999999997025
17,2017-04-24 14:45:00+00:00,2017-05-01 14:30:00+00:00,17,11,6,0.008799999999999447
18,2017-05-01 14:45:00+00:00,2017-05-08 14:30:00+00:00,23,10,13,0.017109999999999764
19,2017-05-08 14:45:00+00:00,2017-05-15 14:30:00+00:00,24,12,12,0.014789999999999637
20,2017-05-15 14:45:00+00:00,2017-05-22 14:30:00+00:00,23,12,11,0.017599999999999477
21,2017-05-22 14:45:00+00:00,2017-05-29 14:30:00+00:00,25,11,14,0.01142000000000043
22,2017-05-29 14:45:00+00:00,2017-06-05 14:30:00+00:00,21,11,10,0.011380000000000612
23,2017-06-05 14:45:00+00:00,2017-06-12 14:30:00+00:00,19,13,6,0.02376000000000067
24,2017-06-12 14:45:00+00:00,2017-06-19 14:30:00+00:00,25,10,15,0.012750000000000261
25,2017-06-19 14:45:00+00:00,2017-06-26 14:30:00+00:00,23,14,9,0.021050000000000013
26,2017-06-26 14:45:00+00:00,2017-07-03 14:30:00+00:00,22,10,12,0.007520000000000415
27,2017-07-03 14:45:00+00:00,2017-07-10 14:30:00+00:00,23,12,11,0.002120000000000344
28,2017-07-10 14:45:00+00:00,2017-07-17 14:30:00+00:00,21,10,11,0.009350000000000191
29,2017-07-17 14:45:00+00:00,2017-07-24 14:30:00+00:00,24,8,15,0.009040000000000603
30,2017-07-24 14:45:00+00:00,2017-07-31 14:30:00+00:00,28,8,20,0.00033000000000038554
31,2017-07-31 14:45:00+00:00,2017-08-07 14:30:00+00:00,22,13,9,0.012870000000000825
32,2017-08-07 14:45:00+00:00,2017-08-14 14:30:00+00:00,22,14,8,0.0186500000000005
33,2017-08-14 14:45:00+00:00,2017-08-21 14:30:00+00:00,24,15,9,0.021070000000001032
34,2017-08-21 14:45:00+00:00,2017-08-28 14:30:00+00:00,22,12,10,0.001300000000000301
35,2017-08-28 14:45:00+00:00,2017-09-04 14:30:00+00:00,20,11,9,0.01440000000000019
36,2017-09-04 14:45:00+00:00,2017-09-11 14:30:00+00:00,24,11,13,0.0050800000000004175
37,2017-09-11 14:45:00+00:00,2017-09-18 14:30:00+00:00,23,9,14,0.006680000000000241
38,2017-09-18 14:45:00+00:00,2017-09-25 14:30:00+00:00,22,15,7,0.033279999999999976
39,2017-09-25 14:45:00+00:00,2017-10-02 14:30:00+00:00,24,15,9,0.016140000000000265
40,2017-10-02 14:45:00+00:00,2017-10-09 14:30:00+00:00,23,10,13,0.004810000000000647
41,2017-10-09 14:45:00+00:00,2017-10-16 14:30:00+00:00,23,11,11,0.019179999999999475
42,2017-10-16 14:45:00+00:00,2017-10-23 14:30:00+00:00,20,17,3,0.02683000000000013
43,2017-10-23 14:45:00+00:00,2017-10-30 14:30:00+00:00,22,12,10,0.009340000000000126
44,2017-10-30 14:45:00+00:00,2017-11-06 14:30:00+00:00,24,13,10,0.019200000000000994
45,2017-11-06 14:45:00+00:00,2017-11-13 14:30:00+00:00,22,14,8,0.024040000000001394
46,2017-11-13 14:45:00+00:00,2017-11-20 14:30:00+00:00,21,13,8,0.028440000000000687
47,2017-11-20 14:45:00+00:00,2017-11-27 14:30:00+00:00,24,14,10,0.01176000000000088
48,2017-11-27 14:45:00+00:00,2017-12-04 14:30:00+00:00,23,11,12,0.013530000000000042
49,2017-12-04 14:45:00+00:00,2017-12-11 14:30:00+00:00,21,10,11,0.021840000000001192
50,2017-12-11 14:45:00+00:00,2017-12-18 14:30:00+00:00,27,21,6,0.024870000000000392
51,2017-12-18 14:45:00+00:00,2017-12-25 14:30:00+00:00,24,14,10,0.011330000000000284
52,2017-12-25 14:45:00+00:00,2018-01-01 14:30:00+00:00,16,9,7,0.0007700000000003815
53,2018-01-01 14:45:00+00:00,2018-01-08 14:30:00+00:00,20,9,11,0.010140000000000926
54,2018-01-08 14:45:00+00:00,2018-01-15 14:30:00+00:00,23,14,9,0.009840000000000515
55,2018-01-15 14:45:00+00:00,2018-01-22 14:30:00+00:00,24,13,11,0.011619999999999964
56,2018-01-22 14:45:00+00:00,2018-01-29 14:30:00+00:00,25,10,15,0.008709999999999996
57,2018-01-29 14:45:00+00:00,2018-02-05 14:30:00+00:00,27,13,14,0.03920999999999952
58,2018-02-05 14:45:00+00:00,2018-02-12 14:30:00+00:00,25,16,9,0.030740000000000878
59,2018-02-12 14:45:00+00:00,2018-02-19 14:30:00+00:00,25,16,9,0.035910000000001
60,2018-02-19 14:45:00+00:00,2018-02-26 14:30:00+00:00,22,12,10,0.015070000000001027
61,2018-02-26 14:45:00+00:00,2018-03-05 14:30:00+00:00,29,15,13,0.013040000000001717
62,2018-03-05 14:45:00+00:00,2018-03-12 14:30:00+00:00,22,10,12,0.008790000000000298
63,2018-03-12 14:45:00+00:00,2018-03-19 14:30:00+00:00,23,16,7,0.029250000000000664
64,2018-03-19 14:45:00+00:00,2018-03-26 14:30:00+00:00,19,13,4,0.0263199999999999
65,2018-03-26 14:45:00+00:00,2018-04-02 14:30:00+00:00,25,13,11,0.02285999999999988
66,2018-04-02 14:45:00+00:00,2018-04-09 14:30:00+00:00,23,11,12,0.013469999999999871
67,2018-04-09 14:45:00+00:00,2018-04-16 14:30:00+00:00,17,8,9,0.009690000000001087
68,2018-04-16 14:45:00+00:00,2018-04-23 14:30:00+00:00,24,14,10,0.01330000000000009
69,2018-04-23 14:45:00+00:00,2018-04-30 14:30:00+00:00,21,10,11,0.008320000000000105
70,2018-04-30 14:45:00+00:00,2018-05-07 14:30:00+00:00,25,18,7,0.02624000000000004
71,2018-05-07 14:45:00+00:00,2018-05-14 14:30:00+00:00,26,17,9,0.031020000000000714
72,2018-05-14 14:45:00+00:00,2018-05-21 14:30:00+00:00,26,13,13,0.013160000000000505
73,2018-05-21 14:45:00+00:00,2018-05-28 14:30:00+00:00,23,13,10,0.01832000000000078
74,2018-05-28 14:45:00+00:00,2018-06-04 14:30:00+00:00,21,13,8,0.018570000000000864
75,2018-06-04 14:45:00+00:00,2018-06-11 14:30:00+00:00,20,13,7,0.012519999999999865
76,2018-06-11 14:45:00+00:00,2018-06-18 14:30:00+00:00,23,14,9,0.021900000000000253
77,2018-06-18 14:45:00+00:00,2018-06-25 14:30:00+00:00,23,13,10,0.011420000000001096
78,2018-06-25 14:45:00+00:00,2018-07-02 14:30:00+00:00,21,8,13,0.005990000000000606
79,2018-07-02 14:45:00+00:00,2018-07-09 14:30:00+00:00,21,9,12,0.01610000000000067
80,2018-07-09 14:45:00+00:00,2018-07-16 14:30:00+00:00,22,13,9,0.02664000000000133
81,2018-07-16 14:45:00+00:00,2018-07-23 14:30:00+00:00,23,14,9,0.021460000000000035
82,2018-07-23 14:45:00+00:00,2018-07-30 14:30:00+00:00,22,11,11,0.008030000000000426
83,2018-07-30 14:45:00+00:00,2018-08-06 14:30:00+00:00,21,12,9,0.009529999999999594
84,2018-08-06 14:45:00+00:00,2018-08-13 14:30:00+00:00,21,11,10,0.007670000000000066
85,2018-08-13 14:45:00+00:00,2018-08-20 14:30:00+00:00,22,14,8,0.023660000000000236
86,2018-08-20 14:45:00+00:00,2018-08-27 14:30:00+00:00,20,9,11,0.009590000000000432
87,2018-08-27 14:45:00+00:00,2018-09-03 14:30:00+00:00,27,13,14,0.013850000000000806
88,2018-09-03 14:45:00+00:00,2018-09-10 14:30:00+00:00,21,13,8,0.026990000000000514
89,2018-09-10 14:45:00+00:00,2018-09-17 14:30:00+00:00,19,10,9,0.011180000000000634
90,2018-09-17 14:45:00+00:00,2018-09-24 14:30:00+00:00,19,12,7,0.022920000000000273
