Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-01-04 00:00:00+00:00,2021-01-10 23:00:00+00:00,1,1,0,0.0011199999999999878
2,2021-01-11 00:00:00+00:00,2021-01-17 23:00:00+00:00,2,1,1,0.007610000000000072
3,2021-01-18 00:00:00+00:00,2021-01-24 23:00:00+00:00,3,2,1,0.009489999999999934
4,2021-01-25 00:00:00+00:00,2021-01-31 23:00:00+00:00,4,3,1,0.005149999999999905
5,2021-02-01 00:00:00+00:00,2021-02-07 23:00:00+00:00,2,1,1,0.0105100000000002
6,2021-02-08 00:00:00+00:00,2021-02-14 23:00:00+00:00,2,2,0,0.01238999999999986
7,2021-02-15 00:00:00+00:00,2021-02-21 23:00:00+00:00,3,2,1,0.006089999999999866
8,2021-02-22 00:00:00+00:00,2021-02-28 23:00:00+00:00,6,2,4,-0.0041000000000001174
9,2021-03-01 00:00:00+00:00,2021-03-07 23:00:00+00:00,2,1,1,0.010280000000000025
10,2021-03-08 00:00:00+00:00,2021-03-14 23:00:00+00:00,5,2,3,0.0166999999999998
11,2021-03-15 00:00:00+00:00,2021-03-21 23:00:00+00:00,4,0,4,-0.00955000000000028
12,2021-03-22 00:00:00+00:00,2021-03-28 23:00:00+00:00,3,1,2,0.009159999999999974
13,2021-03-29 00:00:00+00:00,2021-04-04 23:00:00+00:00,4,2,2,0.0025199999999997447
14,2021-04-05 00:00:00+00:00,2021-04-11 23:00:00+00:00,2,2,0,0.011899999999999966
15,2021-04-12 00:00:00+00:00,2021-04-18 23:00:00+00:00,4,2,2,-0.0020200000000000218
16,2021-04-19 00:00:00+00:00,2021-04-25 23:00:00+00:00,5,1,4,-0.004650000000000182
17,2021-04-26 00:00:00+00:00,2021-05-02 23:00:00+00:00,4,2,2,0.000240000000000129
18,2021-05-03 00:00:00+00:00,2021-05-09 23:00:00+00:00,3,2,1,0.006470000000000337
19,2021-05-10 00:00:00+00:00,2021-05-16 23:00:00+00:00,3,2,1,0.010779999999999706
20,2021-05-17 00:00:00+00:00,2021-05-23 23:00:00+00:00,3,3,0,0.011089999999999739
21,2021-05-24 00:00:00+00:00,2021-05-30 23:00:00+00:00,3,2,1,0.00365000000000007
22,2021-05-31 00:00:00+00:00,2021-06-06 23:00:00+00:00,2,2,0,0.01170000000000021
23,2021-06-07 00:00:00+00:00,2021-06-13 23:00:00+00:00,1,1,0,4.000000000001225e-05
24,2021-06-14 00:00:00+00:00,2021-06-20 23:00:00+00:00,3,2,1,0.024640000000000134
25,2021-06-21 00:00:00+00:00,2021-06-27 23:00:00+00:00,3,2,1,0.002469999999999889
