Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-01-04 18:00:00+00:00,0.76845,2021-01-05 08:00:00+00:00,0.77107,-0.002820000000000067
buy,2021-01-05 18:00:00+00:00,0.77274,2021-01-06 09:00:00+00:00,0.77873,0.005790000000000051
buy,2021-01-08 08:00:00+00:00,0.77705,2021-01-08 20:00:00+00:00,0.77609,-0.001160000000000072
short,2021-01-11 15:00:00+00:00,0.77103,2021-01-12 12:00:00+00:00,0.77379,-0.0029599999999999848
buy,2021-01-14 07:00:00+00:00,0.77506,2021-01-15 16:00:00+00:00,0.77206,-0.0032000000000000028
short,2021-01-18 02:00:00+00:00,0.76832,2021-01-19 05:00:00+00:00,0.77111,-0.002989999999999959
short,2021-01-22 05:00:00+00:00,0.77458,2021-01-26 07:00:00+00:00,0.76885,0.005530000000000013
short,2021-01-26 08:00:00+00:00,0.76887,2021-01-26 15:00:00+00:00,0.77299,-0.004319999999999901
buy,2021-01-26 17:00:00+00:00,0.77426,2021-01-27 11:00:00+00:00,0.77258,-0.0018799999999999043
short,2021-01-27 13:00:00+00:00,0.77299,2021-01-27 17:00:00+00:00,0.76634,0.006449999999999934
short,2021-01-28 02:00:00+00:00,0.76485,2021-01-28 11:00:00+00:00,0.75942,0.005230000000000046
short,2021-01-29 20:00:00+00:00,0.7643,2021-02-02 15:00:00+00:00,0.75927,0.004829999999999978
short,2021-02-05 04:00:00+00:00,0.75931,2021-02-05 11:00:00+00:00,0.76219,-0.003079999999999994
buy,2021-02-05 23:00:00+00:00,0.76734,2021-02-09 05:00:00+00:00,0.77283,0.005289999999999994
short,2021-02-10 22:00:00+00:00,0.77282,2021-02-11 14:00:00+00:00,0.77449,-0.0018700000000000608
buy,2021-02-11 15:00:00+00:00,0.77542,2021-02-12 10:00:00+00:00,0.77392,-0.0016999999999999463
buy,2021-02-12 18:00:00+00:00,0.77492,2021-02-16 05:00:00+00:00,0.78033,0.005209999999999916
short,2021-02-17 01:00:00+00:00,0.77496,2021-02-18 11:00:00+00:00,0.7778,-0.0030400000000000652
short,2021-02-18 17:00:00+00:00,0.77604,2021-02-19 09:00:00+00:00,0.77861,-0.0027700000000000728
buy,2021-02-22 02:00:00+00:00,0.78827,2021-02-23 16:00:00+00:00,0.78997,0.0014999999999999233
buy,2021-02-24 22:00:00+00:00,0.7943,2021-02-25 11:00:00+00:00,0.79956,0.005060000000000042
short,2021-02-25 19:00:00+00:00,0.79524,2021-02-25 21:00:00+00:00,0.78948,0.0055599999999999886
short,2021-02-26 06:00:00+00:00,0.78546,2021-02-26 13:00:00+00:00,0.77671,0.008550000000000037
buy,2021-03-01 17:00:00+00:00,0.77532,2021-03-02 17:00:00+00:00,0.78103,0.005509999999999994
short,2021-03-03 15:00:00+00:00,0.78146,2021-03-04 02:00:00+00:00,0.77533,0.005930000000000081
short,2021-03-05 10:00:00+00:00,0.76984,2021-03-08 12:00:00+00:00,0.76471,0.004929999999999969
short,2021-03-09 00:00:00+00:00,0.76478,2021-03-09 10:00:00+00:00,0.76788,-0.0032999999999999904
buy,2021-03-11 04:00:00+00:00,0.77346,2021-03-11 22:00:00+00:00,0.77874,0.005079999999999953
short,2021-03-15 18:00:00+00:00,0.77329,2021-03-17 22:00:00+00:00,0.77937,-0.006279999999999973
short,2021-03-18 22:00:00+00:00,0.77615,2021-03-22 00:00:00+00:00,0.77087,0.005079999999999953
short,2021-03-23 20:00:00+00:00,0.76642,2021-03-24 03:00:00+00:00,0.76068,0.0055399999999999686
