Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-01-04 00:00:00+00:00,2021-01-10 23:00:00+00:00,3,1,2,0.0018099999999999124
2,2021-01-11 00:00:00+00:00,2021-01-17 23:00:00+00:00,2,0,2,-0.0061599999999999875
3,2021-01-18 00:00:00+00:00,2021-01-24 23:00:00+00:00,1,0,1,-0.002989999999999959
4,2021-01-25 00:00:00+00:00,2021-01-31 23:00:00+00:00,5,3,2,0.011010000000000188
5,2021-02-01 00:00:00+00:00,2021-02-07 23:00:00+00:00,2,1,1,0.0017499999999999842
6,2021-02-08 00:00:00+00:00,2021-02-14 23:00:00+00:00,3,1,2,0.0017199999999999872
7,2021-02-15 00:00:00+00:00,2021-02-21 23:00:00+00:00,3,1,2,-0.0006000000000002219
8,2021-02-22 00:00:00+00:00,2021-02-28 23:00:00+00:00,4,4,0,0.02066999999999999
9,2021-03-01 00:00:00+00:00,2021-03-07 23:00:00+00:00,2,2,0,0.011440000000000075
10,2021-03-08 00:00:00+00:00,2021-03-14 23:00:00+00:00,3,2,1,0.006709999999999931
11,2021-03-15 00:00:00+00:00,2021-03-21 23:00:00+00:00,1,0,1,-0.006279999999999973
12,2021-03-22 00:00:00+00:00,2021-03-28 23:00:00+00:00,2,1,0,0.0055399999999999686
13,2021-03-29 00:00:00+00:00,2021-04-04 23:00:00+00:00,3,1,2,-0.0012500000000000358
14,2021-04-05 00:00:00+00:00,2021-04-11 23:00:00+00:00,4,0,4,-0.009859999999999841
15,2021-04-12 00:00:00+00:00,2021-04-18 23:00:00+00:00,1,1,0,0.004800000000000006
16,2021-04-19 00:00:00+00:00,2021-04-25 23:00:00+00:00,2,1,1,-0.001990000000000089
17,2021-04-26 00:00:00+00:00,2021-05-02 23:00:00+00:00,3,1,2,0.0012800000000002185
18,2021-05-03 00:00:00+00:00,2021-05-09 23:00:00+00:00,1,0,1,-0.0029399999999999635
19,2021-05-10 00:00:00+00:00,2021-05-16 23:00:00+00:00,1,1,0,0.005300000000000062
20,2021-05-17 00:00:00+00:00,2021-05-23 23:00:00+00:00,3,1,2,0.000910000000000015
21,2021-05-24 00:00:00+00:00,2021-05-30 23:00:00+00:00,2,1,1,0.004739999999999925
22,2021-05-31 00:00:00+00:00,2021-06-06 23:00:00+00:00,2,1,1,0.002980000000000052
23,2021-06-07 00:00:00+00:00,2021-06-13 23:00:00+00:00,2,1,1,0.0007399999999999213
24,2021-06-14 00:00:00+00:00,2021-06-20 23:00:00+00:00,3,3,0,0.007659999999999938
25,2021-06-21 00:00:00+00:00,2021-06-27 23:00:00+00:00,2,2,0,0.006180000000000019
26,2021-06-28 00:00:00+00:00,2021-07-04 23:00:00+00:00,2,2,0,0.0086699999999999
27,2021-07-05 00:00:00+00:00,2021-07-11 23:00:00+00:00,2,1,1,0.0013400000000000634
28,2021-07-12 00:00:00+00:00,2021-07-18 23:00:00+00:00,2,1,1,0.002559999999999951
29,2021-07-19 00:00:00+00:00,2021-07-25 23:00:00+00:00,2,1,1,0.0016499999999999848
30,2021-07-26 00:00:00+00:00,2021-08-01 23:00:00+00:00,3,1,2,-0.004209999999999908
31,2021-08-02 00:00:00+00:00,2021-08-08 23:00:00+00:00,1,1,0,0.005000000000000088
32,2021-08-09 00:00:00+00:00,2021-08-15 23:00:00+00:00,5,2,3,-0.001769999999999966
33,2021-08-16 00:00:00+00:00,2021-08-22 23:00:00+00:00,2,2,0,0.010450000000000015
34,2021-08-23 00:00:00+00:00,2021-08-29 23:00:00+00:00,3,1,2,0.0017399999999999916
35,2021-08-30 00:00:00+00:00,2021-09-05 23:00:00+00:00,0,0,0,0.0
36,2021-09-06 00:00:00+00:00,2021-09-12 23:00:00+00:00,2,1,1,0.005720000000000003
37,2021-09-13 00:00:00+00:00,2021-09-19 23:00:00+00:00,2,1,1,-0.0014700000000000268
38,2021-09-20 00:00:00+00:00,2021-09-26 23:00:00+00:00,4,2,2,-0.0022900000000001253
39,2021-09-27 00:00:00+00:00,2021-10-03 23:00:00+00:00,2,2,0,0.01099
40,2021-10-04 00:00:00+00:00,2021-10-10 23:00:00+00:00,1,0,1,-0.002769999999999967
41,2021-10-11 00:00:00+00:00,2021-10-17 23:00:00+00:00,2,2,0,0.009979999999999933
42,2021-10-18 00:00:00+00:00,2021-10-24 23:00:00+00:00,3,2,1,0.001790000000000097
43,2021-10-25 00:00:00+00:00,2021-10-31 23:00:00+00:00,1,0,1,-0.0028399999999999814
44,2021-11-01 00:00:00+00:00,2021-11-07 23:00:00+00:00,4,1,3,-0.005770000000000053
45,2021-11-08 00:00:00+00:00,2021-11-14 23:00:00+00:00,3,1,2,2.7755575615628914e-17
46,2021-11-15 00:00:00+00:00,2021-11-21 23:00:00+00:00,3,2,1,0.0030799999999999994
47,2021-11-22 00:00:00+00:00,2021-11-28 23:00:00+00:00,1,1,0,0.006210000000000021
48,2021-11-29 00:00:00+00:00,2021-12-05 23:00:00+00:00,3,1,2,-0.0010300000000000586
49,2021-12-06 00:00:00+00:00,2021-12-12 23:00:00+00:00,3,2,1,0.006869999999999973
50,2021-12-13 00:00:00+00:00,2021-12-19 23:00:00+00:00,3,1,2,5.999999999997674e-05
51,2021-12-20 00:00:00+00:00,2021-12-26 23:00:00+00:00,1,1,0,0.004959999999999937
52,2021-12-27 00:00:00+00:00,2022-01-02 23:00:00+00:00,2,1,1,-0.0030700000000000727
53,2022-01-03 00:00:00+00:00,2022-01-09 23:00:00+00:00,3,3,0,0.016859999999999792
