Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 21:20:00+00:00,2021-10-21 21:15:00+00:00,3,0,3,-0.008620000000000138
2,2021-10-21 21:20:00+00:00,2021-10-28 21:15:00+00:00,3,1,2,-0.0019300000000000532
3,2021-10-28 21:20:00+00:00,2021-11-04 21:15:00+00:00,4,3,1,0.011919999999999844
4,2021-11-04 21:20:00+00:00,2021-11-11 21:15:00+00:00,4,2,2,0.0041499999999997875
5,2021-11-11 21:20:00+00:00,2021-11-18 21:15:00+00:00,7,4,3,0.011880000000000187
6,2021-11-18 21:20:00+00:00,2021-11-25 21:15:00+00:00,3,3,0,0.016159999999999886
7,2021-11-25 21:20:00+00:00,2021-12-02 21:15:00+00:00,14,3,11,-0.017229999999999704
8,2021-12-02 21:20:00+00:00,2021-12-09 21:15:00+00:00,7,3,4,0.003959999999999814
9,2021-12-09 21:20:00+00:00,2021-12-16 21:15:00+00:00,8,2,6,-0.0072000000000000414
10,2021-12-16 21:20:00+00:00,2021-12-23 21:15:00+00:00,3,1,2,-0.0006400000000000416
11,2021-12-23 21:20:00+00:00,2021-12-30 21:15:00+00:00,3,1,2,-0.0003800000000001129
12,2021-12-30 21:20:00+00:00,2022-01-06 21:15:00+00:00,8,3,5,0.0002700000000000393
13,2022-01-06 21:20:00+00:00,2022-01-13 21:15:00+00:00,8,1,7,-0.015420000000000388
14,2022-01-13 21:20:00+00:00,2022-01-20 21:15:00+00:00,2,2,0,0.009679999999999868
15,2022-01-20 21:20:00+00:00,2022-01-27 21:15:00+00:00,6,5,1,0.02179000000000007
16,2022-01-27 21:20:00+00:00,2022-02-03 21:15:00+00:00,12,0,12,-0.038200000000000275
17,2022-02-03 21:20:00+00:00,2022-02-10 21:15:00+00:00,6,2,4,-0.0006899999999999892
18,2022-02-10 21:20:00+00:00,2022-02-17 21:15:00+00:00,9,4,5,0.005520000000000438
19,2022-02-17 21:20:00+00:00,2022-02-24 21:15:00+00:00,10,6,4,0.01698000000000022
20,2022-02-24 21:20:00+00:00,2022-03-03 21:15:00+00:00,15,5,10,0.0015600000000001186
21,2022-03-03 21:20:00+00:00,2022-03-10 21:15:00+00:00,22,9,13,0.007559999999999994
22,2022-03-10 21:20:00+00:00,2022-03-17 21:15:00+00:00,14,3,11,-0.017119999999999656
23,2022-03-17 21:20:00+00:00,2022-03-24 21:15:00+00:00,9,5,4,0.011789999999999773
24,2022-03-24 21:20:00+00:00,2022-03-31 21:15:00+00:00,10,2,8,-0.01478000000000046
25,2022-03-31 21:20:00+00:00,2022-04-07 21:15:00+00:00,4,4,0,0.01975999999999969
26,2022-04-07 21:20:00+00:00,2022-04-14 21:15:00+00:00,14,6,8,0.003309999999999629
27,2022-04-14 21:20:00+00:00,2022-04-21 21:15:00+00:00,7,2,5,-0.005149999999999471
28,2022-04-21 21:20:00+00:00,2022-04-28 21:15:00+00:00,14,9,5,0.030029999999999488
29,2022-04-28 21:20:00+00:00,2022-05-05 21:15:00+00:00,16,6,10,0.00034999999999996145
30,2022-05-05 21:20:00+00:00,2022-05-12 21:15:00+00:00,16,7,9,0.007159999999999944
31,2022-05-12 21:20:00+00:00,2022-05-19 21:15:00+00:00,13,2,11,-0.023609999999999735
32,2022-05-19 21:20:00+00:00,2022-05-26 21:15:00+00:00,11,2,9,-0.017800000000000052
33,2022-05-26 21:20:00+00:00,2022-06-02 21:15:00+00:00,9,3,6,-0.0024600000000001027
34,2022-06-02 21:20:00+00:00,2022-06-09 21:15:00+00:00,6,3,3,0.0060800000000001755
35,2022-06-09 21:20:00+00:00,2022-06-16 21:15:00+00:00,19,8,11,0.006029999999999362
36,2022-06-16 21:20:00+00:00,2022-06-23 21:15:00+00:00,9,4,5,0.003290000000000272
37,2022-06-23 21:20:00+00:00,2022-06-30 21:15:00+00:00,11,4,7,0.001159999999999821
38,2022-06-30 21:20:00+00:00,2022-07-07 21:15:00+00:00,11,8,3,0.03145999999999959
39,2022-07-07 21:20:00+00:00,2022-07-14 21:15:00+00:00,15,6,9,0.00525999999999989
40,2022-07-14 21:20:00+00:00,2022-07-21 21:15:00+00:00,19,5,14,-0.017880000000000076
41,2022-07-21 21:20:00+00:00,2022-07-28 21:15:00+00:00,14,5,9,0.0003800000000001996
42,2022-07-28 21:20:00+00:00,2022-08-04 21:15:00+00:00,16,5,11,-0.00790999999999975
43,2022-08-04 21:20:00+00:00,2022-08-11 21:15:00+00:00,8,2,6,-0.010440000000000393
44,2022-08-11 21:20:00+00:00,2022-08-18 21:15:00+00:00,8,6,2,0.023220000000000296
45,2022-08-18 21:20:00+00:00,2022-08-25 21:15:00+00:00,11,5,6,0.006430000000000234
46,2022-08-25 21:20:00+00:00,2022-08-26 23:50:00+00:00,3,1,2,-0.002720000000000007
