Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2017-09-13 00:00:00+00:00,0.8015,2017-09-14 00:00:00+00:00,0.79864,0.0026599999999999736
buy,2017-09-20 00:00:00+00:00,0.80126,2017-09-21 00:00:00+00:00,0.80308,0.0016200000000000437
buy,2017-10-11 00:00:00+00:00,0.77783,2017-10-13 00:00:00+00:00,0.78183,0.003800000000000004
short,2017-10-24 00:00:00+00:00,0.78057,2017-10-25 00:00:00+00:00,0.77765,0.002720000000000033
buy,2017-11-22 00:00:00+00:00,0.75782,2017-11-23 00:00:00+00:00,0.76149,0.0034699999999999506
short,2017-11-29 00:00:00+00:00,0.75938,2017-11-30 00:00:00+00:00,0.75735,0.0018300000000000885
buy,2017-12-05 00:00:00+00:00,0.75992,2017-12-07 00:00:00+00:00,0.75616,-0.003959999999999984
buy,2017-12-13 00:00:00+00:00,0.75603,2017-12-14 00:00:00+00:00,0.76365,0.007420000000000072
short,2018-01-10 00:00:00+00:00,0.78235,2018-01-11 00:00:00+00:00,0.7844,-0.002249999999999995
short,2018-02-01 00:00:00+00:00,0.80555,2018-02-05 00:00:00+00:00,0.79167,0.013680000000000005
buy,2018-02-14 00:00:00+00:00,0.78597,2018-02-15 00:00:00+00:00,0.79245,0.0062800000000000425
short,2018-02-21 00:00:00+00:00,0.78827,2018-02-22 00:00:00+00:00,0.78034,0.007729999999999994
buy,2018-03-09 00:00:00+00:00,0.7792,2018-03-12 00:00:00+00:00,0.78439,0.004990000000000029
short,2018-03-16 00:00:00+00:00,0.77978,2018-03-19 00:00:00+00:00,0.77191,0.007670000000000045
buy,2018-04-05 00:00:00+00:00,0.7718,2018-04-06 00:00:00+00:00,0.76811,-0.003890000000000081
short,2018-04-20 00:00:00+00:00,0.77278,2018-04-23 00:00:00+00:00,0.768,0.004580000000000008
buy,2018-05-10 00:00:00+00:00,0.74628,2018-05-11 00:00:00+00:00,0.75293,0.006449999999999935
short,2018-05-29 00:00:00+00:00,0.75434,2018-05-30 00:00:00+00:00,0.75061,0.0035300000000000054
buy,2018-06-04 00:00:00+00:00,0.7567,2018-06-05 00:00:00+00:00,0.76434,0.007439999999999974
short,2018-06-14 00:00:00+00:00,0.75762,2018-06-15 00:00:00+00:00,0.74809,0.009329999999999922
buy,2018-07-04 00:00:00+00:00,0.73861,2018-07-10 00:00:00+00:00,0.74649,0.007679999999999992
short,2018-07-18 00:00:00+00:00,0.73855,2018-07-19 00:00:00+00:00,0.73986,-0.0011099999999999166
buy,2018-07-25 00:00:00+00:00,0.74302,2018-07-26 00:00:00+00:00,0.74532,0.002099999999999963
short,2018-08-10 00:00:00+00:00,0.73712,2018-08-13 00:00:00+00:00,0.72801,0.008909999999999946
buy,2018-08-21 00:00:00+00:00,0.73429,2018-08-22 00:00:00+00:00,0.73648,0.0019900000000000195
short,2018-08-31 00:00:00+00:00,0.72599,2018-09-03 00:00:00+00:00,0.71985,0.005940000000000029
buy,2018-09-18 00:00:00+00:00,0.71821,2018-09-19 00:00:00+00:00,0.72183,0.003419999999999951
