Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-08-23 00:00:00+00:00,2017-08-30 00:00:00+00:00,0,0,0,0.0
2,2017-08-30 00:00:00+00:00,2017-09-06 00:00:00+00:00,0,0,0,0.0
3,2017-09-06 00:00:00+00:00,2017-09-13 00:00:00+00:00,0,0,0,0.0
4,2017-09-13 00:00:00+00:00,2017-09-20 00:00:00+00:00,1,1,0,0.0026599999999999736
5,2017-09-20 00:00:00+00:00,2017-09-27 00:00:00+00:00,1,1,0,0.0016200000000000437
6,2017-09-27 00:00:00+00:00,2017-10-04 00:00:00+00:00,0,0,0,0.0
7,2017-10-04 00:00:00+00:00,2017-10-11 00:00:00+00:00,0,0,0,0.0
8,2017-10-11 00:00:00+00:00,2017-10-18 00:00:00+00:00,1,1,0,0.003800000000000004
9,2017-10-18 00:00:00+00:00,2017-10-25 00:00:00+00:00,1,1,0,0.002720000000000033
10,2017-10-25 00:00:00+00:00,2017-11-01 00:00:00+00:00,1,0,0,0.0
11,2017-11-01 00:00:00+00:00,2017-11-08 00:00:00+00:00,0,0,0,0.0
12,2017-11-08 00:00:00+00:00,2017-11-15 00:00:00+00:00,0,0,0,0.0
13,2017-11-15 00:00:00+00:00,2017-11-22 00:00:00+00:00,0,0,0,0.0
14,2017-11-22 00:00:00+00:00,2017-11-29 00:00:00+00:00,1,1,0,0.0034699999999999506
15,2017-11-29 00:00:00+00:00,2017-12-06 00:00:00+00:00,1,1,0,0.0018300000000000885
16,2017-12-06 00:00:00+00:00,2017-12-13 00:00:00+00:00,1,0,1,-0.003959999999999984
17,2017-12-13 00:00:00+00:00,2017-12-20 00:00:00+00:00,1,1,0,0.007420000000000072
18,2017-12-20 00:00:00+00:00,2017-12-27 00:00:00+00:00,0,0,0,0.0
19,2017-12-27 00:00:00+00:00,2018-01-03 00:00:00+00:00,0,0,0,0.0
20,2018-01-03 00:00:00+00:00,2018-01-10 00:00:00+00:00,0,0,0,0.0
21,2018-01-10 00:00:00+00:00,2018-01-17 00:00:00+00:00,1,0,1,-0.002249999999999995
22,2018-01-17 00:00:00+00:00,2018-01-24 00:00:00+00:00,0,0,0,0.0
23,2018-01-24 00:00:00+00:00,2018-01-31 00:00:00+00:00,0,0,0,0.0
24,2018-01-31 00:00:00+00:00,2018-02-07 00:00:00+00:00,1,1,0,0.013680000000000005
25,2018-02-07 00:00:00+00:00,2018-02-14 00:00:00+00:00,0,0,0,0.0
26,2018-02-14 00:00:00+00:00,2018-02-21 00:00:00+00:00,1,1,0,0.0062800000000000425
27,2018-02-21 00:00:00+00:00,2018-02-28 00:00:00+00:00,1,1,0,0.007729999999999994
28,2018-02-28 00:00:00+00:00,2018-03-07 00:00:00+00:00,0,0,0,0.0
29,2018-03-07 00:00:00+00:00,2018-03-14 00:00:00+00:00,1,1,0,0.004990000000000029
30,2018-03-14 00:00:00+00:00,2018-03-21 00:00:00+00:00,1,1,0,0.007670000000000045
31,2018-03-21 00:00:00+00:00,2018-03-28 00:00:00+00:00,0,0,0,0.0
32,2018-03-28 00:00:00+00:00,2018-04-04 00:00:00+00:00,0,0,0,0.0
33,2018-04-04 00:00:00+00:00,2018-04-11 00:00:00+00:00,1,0,1,-0.003890000000000081
34,2018-04-11 00:00:00+00:00,2018-04-18 00:00:00+00:00,0,0,0,0.0
35,2018-04-18 00:00:00+00:00,2018-04-25 00:00:00+00:00,1,1,0,0.004580000000000008
36,2018-04-25 00:00:00+00:00,2018-05-02 00:00:00+00:00,0,0,0,0.0
37,2018-05-02 00:00:00+00:00,2018-05-09 00:00:00+00:00,0,0,0,0.0
38,2018-05-09 00:00:00+00:00,2018-05-16 00:00:00+00:00,1,1,0,0.006449999999999935
39,2018-05-16 00:00:00+00:00,2018-05-23 00:00:00+00:00,0,0,0,0.0
40,2018-05-23 00:00:00+00:00,2018-05-30 00:00:00+00:00,1,1,0,0.0035300000000000054
41,2018-05-30 00:00:00+00:00,2018-06-06 00:00:00+00:00,2,1,0,0.007439999999999974
42,2018-06-06 00:00:00+00:00,2018-06-13 00:00:00+00:00,0,0,0,0.0
43,2018-06-13 00:00:00+00:00,2018-06-20 00:00:00+00:00,1,1,0,0.009329999999999922
44,2018-06-20 00:00:00+00:00,2018-06-27 00:00:00+00:00,0,0,0,0.0
45,2018-06-27 00:00:00+00:00,2018-07-04 00:00:00+00:00,0,0,0,0.0
46,2018-07-04 00:00:00+00:00,2018-07-11 00:00:00+00:00,1,1,0,0.007679999999999992
47,2018-07-11 00:00:00+00:00,2018-07-18 00:00:00+00:00,0,0,0,0.0
48,2018-07-18 00:00:00+00:00,2018-07-25 00:00:00+00:00,1,0,1,-0.0011099999999999166
49,2018-07-25 00:00:00+00:00,2018-08-01 00:00:00+00:00,1,1,0,0.002099999999999963
50,2018-08-01 00:00:00+00:00,2018-08-08 00:00:00+00:00,0,0,0,0.0
51,2018-08-08 00:00:00+00:00,2018-08-15 00:00:00+00:00,1,1,0,0.008909999999999946
52,2018-08-15 00:00:00+00:00,2018-08-22 00:00:00+00:00,1,1,0,0.0019900000000000195
53,2018-08-22 00:00:00+00:00,2018-08-29 00:00:00+00:00,1,0,0,0.0
54,2018-08-29 00:00:00+00:00,2018-09-05 00:00:00+00:00,1,1,0,0.005940000000000029
55,2018-09-05 00:00:00+00:00,2018-09-12 00:00:00+00:00,0,0,0,0.0
56,2018-09-12 00:00:00+00:00,2018-09-19 00:00:00+00:00,1,1,0,0.003419999999999951
57,2018-09-19 00:00:00+00:00,2018-09-26 00:00:00+00:00,1,0,0,0.0
58,2018-09-26 00:00:00+00:00,2018-10-03 00:00:00+00:00,1,1,0,0.002759999999999957
59,2018-10-03 00:00:00+00:00,2018-10-10 00:00:00+00:00,1,0,0,0.0
60,2018-10-10 00:00:00+00:00,2018-10-17 00:00:00+00:00,0,0,0,0.0
61,2018-10-17 00:00:00+00:00,2018-10-24 00:00:00+00:00,1,0,1,-0.0035199999999999954
62,2018-10-24 00:00:00+00:00,2018-10-31 00:00:00+00:00,1,0,1,-0.0017900000000000416
63,2018-10-31 00:00:00+00:00,2018-11-07 00:00:00+00:00,1,1,0,0.012980000000000075
64,2018-11-07 00:00:00+00:00,2018-11-14 00:00:00+00:00,0,0,0,0.0
65,2018-11-14 00:00:00+00:00,2018-11-21 00:00:00+00:00,0,0,0,0.0
66,2018-11-21 00:00:00+00:00,2018-11-28 00:00:00+00:00,1,0,1,-0.004820000000000019
67,2018-11-28 00:00:00+00:00,2018-12-05 00:00:00+00:00,1,1,0,0.007550000000000029
68,2018-12-05 00:00:00+00:00,2018-12-12 00:00:00+00:00,1,1,0,0.0021699999999999775
69,2018-12-12 00:00:00+00:00,2018-12-19 00:00:00+00:00,0,0,0,0.0
70,2018-12-19 00:00:00+00:00,2018-12-26 00:00:00+00:00,0,0,0,0.0
71,2018-12-26 00:00:00+00:00,2019-01-02 00:00:00+00:00,0,0,0,0.0
72,2019-01-02 00:00:00+00:00,2019-01-09 00:00:00+00:00,1,1,0,0.010559999999999986
73,2019-01-09 00:00:00+00:00,2019-01-16 00:00:00+00:00,0,0,0,0.0
74,2019-01-16 00:00:00+00:00,2019-01-23 00:00:00+00:00,0,0,0,0.0
75,2019-01-23 00:00:00+00:00,2019-01-30 00:00:00+00:00,1,0,1,-0.008300000000000057
76,2019-01-30 00:00:00+00:00,2019-02-06 00:00:00+00:00,1,1,0,0.008659999999999973
77,2019-02-06 00:00:00+00:00,2019-02-13 00:00:00+00:00,1,1,0,0.012750000000000011
78,2019-02-13 00:00:00+00:00,2019-02-20 00:00:00+00:00,1,1,0,0.002899999999999986
79,2019-02-20 00:00:00+00:00,2019-02-27 00:00:00+00:00,1,0,0,0.0
80,2019-02-27 00:00:00+00:00,2019-03-06 00:00:00+00:00,1,1,0,0.00398999999999991
81,2019-03-06 00:00:00+00:00,2019-03-13 00:00:00+00:00,0,0,0,0.0
82,2019-03-13 00:00:00+00:00,2019-03-20 00:00:00+00:00,1,0,1,-0.003270000000000023
83,2019-03-20 00:00:00+00:00,2019-03-27 00:00:00+00:00,0,0,0,0.0
84,2019-03-27 00:00:00+00:00,2019-04-03 00:00:00+00:00,1,0,1,-0.003759999999999958
85,2019-04-03 00:00:00+00:00,2019-04-10 00:00:00+00:00,0,0,0,0.0
86,2019-04-10 00:00:00+00:00,2019-04-17 00:00:00+00:00,1,1,0,0.0038499999999999923
87,2019-04-17 00:00:00+00:00,2019-04-24 00:00:00+00:00,1,1,0,0.0028299999999999714
88,2019-04-24 00:00:00+00:00,2019-05-01 00:00:00+00:00,1,0,0,0.0
89,2019-05-01 00:00:00+00:00,2019-05-08 00:00:00+00:00,0,0,0,0.0
90,2019-05-08 00:00:00+00:00,2019-05-15 00:00:00+00:00,0,0,0,0.0
91,2019-05-15 00:00:00+00:00,2019-05-22 00:00:00+00:00,0,0,0,0.0
92,2019-05-22 00:00:00+00:00,2019-05-29 00:00:00+00:00,1,1,0,0.002120000000000094
93,2019-05-29 00:00:00+00:00,2019-06-05 00:00:00+00:00,1,0,0,0.0
94,2019-06-05 00:00:00+00:00,2019-06-12 00:00:00+00:00,0,0,0,0.0
95,2019-06-12 00:00:00+00:00,2019-06-19 00:00:00+00:00,1,1,0,0.002600000000000019
96,2019-06-19 00:00:00+00:00,2019-06-26 00:00:00+00:00,1,1,0,0.0032700000000000784
97,2019-06-26 00:00:00+00:00,2019-07-03 00:00:00+00:00,0,0,0,0.0
98,2019-07-03 00:00:00+00:00,2019-07-10 00:00:00+00:00,1,1,0,0.003639999999999949
99,2019-07-10 00:00:00+00:00,2019-07-17 00:00:00+00:00,1,1,0,0.0035700000000000454
100,2019-07-17 00:00:00+00:00,2019-07-24 00:00:00+00:00,0,0,0,0.0
101,2019-07-24 00:00:00+00:00,2019-07-31 00:00:00+00:00,1,1,0,0.002559999999999979
102,2019-07-31 00:00:00+00:00,2019-08-07 00:00:00+00:00,0,0,0,0.0
103,2019-08-07 00:00:00+00:00,2019-08-14 00:00:00+00:00,1,0,1,-0.002370000000000011
104,2019-08-14 00:00:00+00:00,2019-08-21 00:00:00+00:00,0,0,0,0.0
105,2019-08-21 00:00:00+00:00,2019-08-28 00:00:00+00:00,1,0,1,-0.003799999999999998
106,2019-08-28 00:00:00+00:00,2019-09-04 00:00:00+00:00,0,0,0,0.0
107,2019-09-04 00:00:00+00:00,2019-09-11 00:00:00+00:00,1,1,0,0.003459999999999991
108,2019-09-11 00:00:00+00:00,2019-09-18 00:00:00+00:00,0,0,0,0.0
109,2019-09-18 00:00:00+00:00,2019-09-25 00:00:00+00:00,1,1,0,0.0033500000000000474
110,2019-09-25 00:00:00+00:00,2019-10-02 00:00:00+00:00,0,0,0,0.0
111,2019-10-02 00:00:00+00:00,2019-10-09 00:00:00+00:00,0,0,0,0.0
112,2019-10-09 00:00:00+00:00,2019-10-16 00:00:00+00:00,1,1,0,0.003239999999999993
113,2019-10-16 00:00:00+00:00,2019-10-23 00:00:00+00:00,0,0,0,0.0
114,2019-10-23 00:00:00+00:00,2019-10-30 00:00:00+00:00,0,0,0,0.0
115,2019-10-30 00:00:00+00:00,2019-11-06 00:00:00+00:00,0,0,0,0.0
