Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2022-01-03 01:05:00+00:00,0.72732,2022-01-03 03:10:00+00:00,0.72687,0.00024999999999995046
buy,2022-01-03 03:15:00+00:00,0.72713,2022-01-03 03:45:00+00:00,0.72602,-0.0013100000000000555
buy,2022-01-03 04:45:00+00:00,0.72548,2022-01-03 05:35:00+00:00,0.72439,-0.0012900000000000355
buy,2022-01-03 05:45:00+00:00,0.72461,2022-01-03 11:00:00+00:00,0.7261,0.0012899999999999912
short,2022-01-03 11:05:00+00:00,0.72578,2022-01-03 14:50:00+00:00,0.72428,0.0012999999999999457
buy,2022-01-03 14:55:00+00:00,0.7242,2022-01-03 15:35:00+00:00,0.72311,-0.0012899999999999245
buy,2022-01-03 17:40:00+00:00,0.71895,2022-01-03 21:00:00+00:00,0.71994,0.0007900000000000464
short,2022-01-03 21:05:00+00:00,0.71957,2022-01-03 23:20:00+00:00,0.71872,0.0006500000000000174
buy,2022-01-03 23:25:00+00:00,0.71866,2022-01-04 02:25:00+00:00,0.71966,0.000800000000000001
short,2022-01-04 02:30:00+00:00,0.71964,2022-01-04 03:15:00+00:00,0.72064,-0.001200000000000001
short,2022-01-04 03:40:00+00:00,0.71988,2022-01-04 06:15:00+00:00,0.7209,-0.001220000000000021
short,2022-01-04 07:00:00+00:00,0.72111,2022-01-04 09:45:00+00:00,0.72069,0.00021999999999997586
buy,2022-01-04 09:50:00+00:00,0.72076,2022-01-04 11:00:00+00:00,0.72084,-0.00011999999999992008
short,2022-01-04 11:50:00+00:00,0.72119,2022-01-04 14:40:00+00:00,0.71878,0.002210000000000023
buy,2022-01-04 15:05:00+00:00,0.71913,2022-01-04 16:20:00+00:00,0.72113,0.0018000000000000017
short,2022-01-04 18:10:00+00:00,0.72383,2022-01-04 21:30:00+00:00,0.72368,-5.000000000001661e-05
buy,2022-01-04 21:35:00+00:00,0.72386,2022-01-04 22:50:00+00:00,0.72399,-6.999999999992559e-05
buy,2022-01-05 01:00:00+00:00,0.7238,2022-01-05 02:35:00+00:00,0.72385,-0.0001500000000000056
short,2022-01-05 02:40:00+00:00,0.72367,2022-01-05 04:30:00+00:00,0.72363,-0.0001599999999999601
buy,2022-01-05 04:35:00+00:00,0.72386,2022-01-05 05:20:00+00:00,0.72273,-0.0013299999999999645
buy,2022-01-05 05:40:00+00:00,0.72323,2022-01-05 10:05:00+00:00,0.72333,-0.0001000000000000111
short,2022-01-05 10:20:00+00:00,0.72356,2022-01-05 10:35:00+00:00,0.72464,-0.00127999999999997
short,2022-01-05 10:55:00+00:00,0.72388,2022-01-05 12:10:00+00:00,0.72492,-0.001240000000000041
short,2022-01-05 12:20:00+00:00,0.72484,2022-01-05 15:35:00+00:00,0.72593,-0.0012899999999999245
short,2022-01-05 16:20:00+00:00,0.72577,2022-01-05 17:05:00+00:00,0.72686,-0.0012899999999999245
short,2022-01-05 17:30:00+00:00,0.72671,2022-01-05 20:30:00+00:00,0.72626,0.00024999999999995035
buy,2022-01-05 22:40:00+00:00,0.72209,2022-01-06 03:10:00+00:00,0.72068,-0.0016100000000000224
buy,2022-01-06 03:45:00+00:00,0.72122,2022-01-06 04:25:00+00:00,0.72016,-0.0012599999999999504
buy,2022-01-06 05:00:00+00:00,0.72062,2022-01-06 05:40:00+00:00,0.71939,-0.001430000000000065
buy,2022-01-06 07:20:00+00:00,0.7173,2022-01-06 08:55:00+00:00,0.71629,-0.001210000000000067
buy,2022-01-06 09:10:00+00:00,0.71642,2022-01-06 10:40:00+00:00,0.71522,-0.0013999999999999794
buy,2022-01-06 11:15:00+00:00,0.71484,2022-01-06 12:25:00+00:00,0.71714,0.002099999999999968
short,2022-01-06 13:05:00+00:00,0.71703,2022-01-06 16:30:00+00:00,0.71597,0.0008599999999999502
buy,2022-01-06 17:05:00+00:00,0.71558,2022-01-06 20:05:00+00:00,0.71685,0.0010699999999999937
short,2022-01-06 20:10:00+00:00,0.71681,2022-01-06 21:15:00+00:00,0.71657,3.99999999999073e-05
buy,2022-01-06 21:20:00+00:00,0.71675,2022-01-06 21:50:00+00:00,0.71654,-0.00041000000000004314
short,2022-01-06 21:55:00+00:00,0.71635,2022-01-06 23:05:00+00:00,0.71624,-8.999999999994516e-05
buy,2022-01-06 23:10:00+00:00,0.71635,2022-01-07 01:55:00+00:00,0.71626,-0.00029000000000003415
short,2022-01-07 02:05:00+00:00,0.71684,2022-01-07 07:15:00+00:00,0.716,0.0006400000000000633
buy,2022-01-07 07:20:00+00:00,0.71601,2022-01-07 10:30:00+00:00,0.7149,-0.001310000000000055
buy,2022-01-07 10:50:00+00:00,0.71507,2022-01-07 13:00:00+00:00,0.7158,0.0005300000000000088
short,2022-01-07 13:05:00+00:00,0.71566,2022-01-07 15:20:00+00:00,0.71523,0.00022999999999993078
buy,2022-01-07 15:25:00+00:00,0.71526,2022-01-07 15:40:00+00:00,0.71321,-0.002249999999999997
buy,2022-01-07 16:05:00+00:00,0.71433,2022-01-07 16:45:00+00:00,0.71705,0.002519999999999944
short,2022-01-07 17:35:00+00:00,0.71666,2022-01-07 18:45:00+00:00,0.71774,-0.0012800000000000814
