Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2017-01-02 15:00:00+00:00,2017-01-09 14:45:00+00:00,20,12,8,0.014769999999999284
2,2017-01-09 15:00:00+00:00,2017-01-16 14:45:00+00:00,23,12,11,0.003149999999999726
3,2017-01-16 15:00:00+00:00,2017-01-23 14:45:00+00:00,26,15,11,0.015980000000000005
4,2017-01-23 15:00:00+00:00,2017-01-30 14:45:00+00:00,25,16,9,0.026600000000000762
5,2017-01-30 15:00:00+00:00,2017-02-06 14:45:00+00:00,22,13,8,0.02064999999999948
6,2017-02-06 15:00:00+00:00,2017-02-13 14:45:00+00:00,23,17,6,0.023150000000000476
7,2017-02-13 15:00:00+00:00,2017-02-20 14:45:00+00:00,20,11,9,0.005190000000000139
8,2017-02-20 15:00:00+00:00,2017-02-27 14:45:00+00:00,21,10,10,0.009170000000000234
9,2017-02-27 15:00:00+00:00,2017-03-06 14:45:00+00:00,25,10,15,0.005319999999999964
10,2017-03-06 15:00:00+00:00,2017-03-13 14:45:00+00:00,24,10,14,0.005319999999999339
11,2017-03-13 15:00:00+00:00,2017-03-20 14:45:00+00:00,23,17,6,0.023719999999999103
12,2017-03-20 15:00:00+00:00,2017-03-27 14:45:00+00:00,24,14,10,0.014429999999999499
13,2017-03-27 15:00:00+00:00,2017-04-03 14:45:00+00:00,26,13,13,0.02273999999999904
14,2017-04-03 15:00:00+00:00,2017-04-10 14:45:00+00:00,20,11,9,0.013159999999999061
15,2017-04-10 15:00:00+00:00,2017-04-17 14:45:00+00:00,0,0,0,0.0
16,2017-04-17 15:00:00+00:00,2017-04-24 14:45:00+00:00,14,8,6,0.013849999999999751
17,2017-04-24 15:00:00+00:00,2017-05-01 14:45:00+00:00,26,14,12,0.02704999999999974
18,2017-05-01 15:00:00+00:00,2017-05-08 14:45:00+00:00,21,13,8,0.016670000000000323
19,2017-05-08 15:00:00+00:00,2017-05-15 14:45:00+00:00,25,14,11,0.024640000000000217
