Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 07:25:00+00:00,1.16088,2021-10-15 16:00:00+00:00,1.15924,0.0014399999999998637
buy,2021-10-15 16:10:00+00:00,1.15947,2021-10-19 05:00:00+00:00,1.16343,0.0037599999999999635
short,2021-10-19 07:40:00+00:00,1.16535,2021-10-19 16:05:00+00:00,1.1646,0.0005500000000000288
buy,2021-10-20 09:40:00+00:00,1.16399,2021-10-27 16:25:00+00:00,1.16171,-0.00248000000000006
buy,2021-10-28 00:55:00+00:00,1.16038,2021-10-28 19:25:00+00:00,1.16842,0.007840000000000047
short,2021-10-28 19:30:00+00:00,1.16869,2021-10-29 08:55:00+00:00,1.16704,0.0014499999999999288
buy,2021-10-29 09:00:00+00:00,1.16676,2021-11-15 04:55:00+00:00,1.14589,-0.021069999999999943
short,2021-11-15 05:30:00+00:00,1.14591,2021-11-16 19:45:00+00:00,1.13262,0.013090000000000023
buy,2021-11-16 22:40:00+00:00,1.13184,2021-11-26 11:10:00+00:00,1.12689,-0.00515000000000001
buy,2021-11-29 04:45:00+00:00,1.12794,2021-12-08 05:25:00+00:00,1.12931,0.0011700000000000933
buy,2021-12-09 04:05:00+00:00,1.13343,2021-12-16 10:00:00+00:00,1.13053,-0.0030999999999999027
buy,2021-12-17 04:10:00+00:00,1.13208,2021-12-22 00:05:00+00:00,1.12845,-0.0038300000000000226
buy,2021-12-22 05:45:00+00:00,1.12769,2021-12-23 20:10:00+00:00,1.13358,0.005689999999999951
short,2021-12-24 11:15:00+00:00,1.13381,2021-12-24 16:05:00+00:00,1.1321,0.0015099999999998782
buy,2021-12-24 19:00:00+00:00,1.1312,2021-12-29 17:50:00+00:00,1.1367,0.00530000000000006
buy,2021-12-30 07:25:00+00:00,1.13307,2022-01-05 05:20:00+00:00,1.12929,-0.003980000000000116
buy,2022-01-05 23:05:00+00:00,1.13097,2022-01-12 19:35:00+00:00,1.14377,0.012599999999999924
buy,2022-01-14 15:20:00+00:00,1.1444,2022-01-31 22:25:00+00:00,1.12427,-0.02032999999999998
short,2022-01-31 22:30:00+00:00,1.1243,2022-02-01 00:40:00+00:00,1.12324,0.0008600000000000612
buy,2022-02-01 03:00:00+00:00,1.12242,2022-02-03 19:15:00+00:00,1.14359,0.020970000000000134
buy,2022-02-07 05:15:00+00:00,1.14279,2022-02-07 14:40:00+00:00,1.14466,0.0016700000000000395
buy,2022-02-08 05:25:00+00:00,1.14308,2022-02-10 18:55:00+00:00,1.1489,0.0056199999999999375
buy,2022-02-10 22:25:00+00:00,1.14498,2022-02-16 09:20:00+00:00,1.13668,-0.008500000000000197
buy,2022-02-18 18:55:00+00:00,1.13281,2022-02-25 15:30:00+00:00,1.12282,-0.010190000000000166
short,2022-02-25 15:35:00+00:00,1.12298,2022-02-28 04:10:00+00:00,1.11642,0.0063600000000001225
buy,2022-03-01 05:40:00+00:00,1.1197,2022-03-01 09:40:00+00:00,1.12215,0.0022500000000000627
buy,2022-03-01 13:15:00+00:00,1.11755,2022-03-11 14:20:00+00:00,1.10248,-0.01527000000000014
buy,2022-03-14 06:40:00+00:00,1.0909,2022-03-14 12:00:00+00:00,1.09564,0.004539999999999967
buy,2022-03-15 00:05:00+00:00,1.09455,2022-03-17 17:50:00+00:00,1.10804,0.01329
buy,2022-03-18 00:35:00+00:00,1.10923,2022-03-18 18:10:00+00:00,1.10373,-0.005699999999999837
buy,2022-03-21 20:10:00+00:00,1.10384,2022-03-28 12:40:00+00:00,1.09892,-0.005120000000000035
buy,2022-03-29 21:20:00+00:00,1.10768,2022-04-13 20:25:00+00:00,1.08832,-0.019560000000000043
buy,2022-04-14 17:40:00+00:00,1.07794,2022-04-15 11:55:00+00:00,1.08203,0.0038900000000001485
short,2022-04-18 14:35:00+00:00,1.08059,2022-04-19 22:20:00+00:00,1.07895,0.0014399999999998633
short,2022-04-20 13:20:00+00:00,1.08616,2022-04-21 02:45:00+00:00,1.08495,0.0010099999999999328
buy,2022-04-21 04:40:00+00:00,1.08383,2022-04-27 20:25:00+00:00,1.05657,-0.02746000000000006
buy,2022-04-28 04:35:00+00:00,1.05405,2022-04-29 09:00:00+00:00,1.05371,-0.0005400000000000058
buy,2022-05-02 21:20:00+00:00,1.04939,2022-05-06 12:35:00+00:00,1.05681,0.007219999999999983
buy,2022-05-06 21:10:00+00:00,1.05546,2022-05-19 14:40:00+00:00,1.05244,-0.0032200000000000215
buy,2022-05-19 23:10:00+00:00,1.05865,2022-05-20 07:50:00+00:00,1.05741,-0.0014400000000001287
short,2022-05-23 01:05:00+00:00,1.05667,2022-05-24 08:45:00+00:00,1.06639,-0.00991999999999995
buy,2022-05-25 04:30:00+00:00,1.07133,2022-05-25 21:50:00+00:00,1.06777,-0.0037599999999997843
buy,2022-05-26 09:00:00+00:00,1.06678,2022-05-26 14:00:00+00:00,1.07196,0.004979999999999964
short,2022-05-27 06:05:00+00:00,1.07592,2022-05-27 09:35:00+00:00,1.07479,0.0009300000000000766
short,2022-05-27 22:40:00+00:00,1.07297,2022-05-31 15:30:00+00:00,1.07062,0.0021500000000000755
buy,2022-05-31 15:35:00+00:00,1.06979,2022-06-02 10:15:00+00:00,1.0677,-0.002289999999999924
