Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 21:20:00+00:00,2021-10-21 21:15:00+00:00,3,3,0,0.005749999999999856
2,2021-10-21 21:20:00+00:00,2021-10-28 21:15:00+00:00,2,1,1,0.005359999999999986
3,2021-10-28 21:20:00+00:00,2021-11-04 21:15:00+00:00,1,1,0,0.0014499999999999288
4,2021-11-04 21:20:00+00:00,2021-11-11 21:15:00+00:00,0,0,0,0.0
5,2021-11-11 21:20:00+00:00,2021-11-18 21:15:00+00:00,2,1,1,-0.00797999999999992
6,2021-11-18 21:20:00+00:00,2021-11-25 21:15:00+00:00,0,0,0,0.0
7,2021-11-25 21:20:00+00:00,2021-12-02 21:15:00+00:00,1,0,1,-0.00515000000000001
8,2021-12-02 21:20:00+00:00,2021-12-09 21:15:00+00:00,1,1,0,0.0011700000000000933
9,2021-12-09 21:20:00+00:00,2021-12-16 21:15:00+00:00,1,0,1,-0.0030999999999999027
10,2021-12-16 21:20:00+00:00,2021-12-23 21:15:00+00:00,2,1,1,0.0018599999999999286
11,2021-12-23 21:20:00+00:00,2021-12-30 21:15:00+00:00,2,2,0,0.0068099999999999385
12,2021-12-30 21:20:00+00:00,2022-01-06 21:15:00+00:00,1,0,1,-0.003980000000000116
13,2022-01-06 21:20:00+00:00,2022-01-13 21:15:00+00:00,1,1,0,0.012599999999999924
14,2022-01-13 21:20:00+00:00,2022-01-20 21:15:00+00:00,0,0,0,0.0
15,2022-01-20 21:20:00+00:00,2022-01-27 21:15:00+00:00,0,0,0,0.0
16,2022-01-27 21:20:00+00:00,2022-02-03 21:15:00+00:00,3,2,1,0.0015000000000002164
17,2022-02-03 21:20:00+00:00,2022-02-10 21:15:00+00:00,2,2,0,0.007289999999999977
18,2022-02-10 21:20:00+00:00,2022-02-17 21:15:00+00:00,1,0,1,-0.008500000000000197
19,2022-02-17 21:20:00+00:00,2022-02-24 21:15:00+00:00,0,0,0,0.0
20,2022-02-24 21:20:00+00:00,2022-03-03 21:15:00+00:00,3,2,1,-0.0015799999999999807
21,2022-03-03 21:20:00+00:00,2022-03-10 21:15:00+00:00,0,0,0,0.0
22,2022-03-10 21:20:00+00:00,2022-03-17 21:15:00+00:00,3,2,1,0.002559999999999828
23,2022-03-17 21:20:00+00:00,2022-03-24 21:15:00+00:00,1,0,1,-0.005699999999999837
24,2022-03-24 21:20:00+00:00,2022-03-31 21:15:00+00:00,1,0,1,-0.005120000000000035
25,2022-03-31 21:20:00+00:00,2022-04-07 21:15:00+00:00,0,0,0,0.0
26,2022-04-07 21:20:00+00:00,2022-04-14 21:15:00+00:00,1,0,1,-0.019560000000000043
27,2022-04-14 21:20:00+00:00,2022-04-21 21:15:00+00:00,3,3,0,0.006339999999999945
28,2022-04-21 21:20:00+00:00,2022-04-28 21:15:00+00:00,1,0,1,-0.02746000000000006
29,2022-04-28 21:20:00+00:00,2022-05-05 21:15:00+00:00,1,0,1,-0.0005400000000000058
30,2022-05-05 21:20:00+00:00,2022-05-12 21:15:00+00:00,1,1,0,0.007219999999999983
31,2022-05-12 21:20:00+00:00,2022-05-19 21:15:00+00:00,1,0,1,-0.0032200000000000215
32,2022-05-19 21:20:00+00:00,2022-05-26 21:15:00+00:00,4,1,3,-0.010139999999999899
33,2022-05-26 21:20:00+00:00,2022-06-02 21:15:00+00:00,3,2,1,0.000790000000000228
34,2022-06-02 21:20:00+00:00,2022-06-09 21:15:00+00:00,2,1,1,0.0028300000000000686
35,2022-06-09 21:20:00+00:00,2022-06-16 21:15:00+00:00,0,0,0,0.0
36,2022-06-16 21:20:00+00:00,2022-06-23 21:15:00+00:00,3,2,1,-0.007049999999999841
37,2022-06-23 21:20:00+00:00,2022-06-30 21:15:00+00:00,0,0,0,0.0
38,2022-06-30 21:20:00+00:00,2022-07-07 21:15:00+00:00,0,0,0,0.0
39,2022-07-07 21:20:00+00:00,2022-07-14 21:15:00+00:00,1,0,1,-0.04238999999999994
40,2022-07-14 21:20:00+00:00,2022-07-21 21:15:00+00:00,2,2,0,0.005379999999999885
41,2022-07-21 21:20:00+00:00,2022-07-28 21:15:00+00:00,3,2,1,0.005000000000000032
42,2022-07-28 21:20:00+00:00,2022-08-04 21:15:00+00:00,1,0,1,-0.00011999999999992572
43,2022-08-04 21:20:00+00:00,2022-08-11 21:15:00+00:00,3,2,1,-0.0024500000000001465
44,2022-08-11 21:20:00+00:00,2022-08-18 21:15:00+00:00,1,0,1,-0.01682999999999993
45,2022-08-18 21:20:00+00:00,2022-08-25 21:15:00+00:00,0,0,0,0.0
46,2022-08-25 21:20:00+00:00,2022-08-26 23:50:00+00:00,0,0,0,0.0
