Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2021-10-14 21:20:00+00:00,1.15913,2021-10-15 02:20:00+00:00,1.1596,0.00026999999999997046
short,2021-10-15 02:30:00+00:00,1.15957,2021-10-15 04:05:00+00:00,1.15955,-0.00018000000000009103
buy,2021-10-15 04:15:00+00:00,1.15948,2021-10-15 08:20:00+00:00,1.16072,0.0010399999999999078
short,2021-10-15 08:30:00+00:00,1.16072,2021-10-15 09:15:00+00:00,1.16079,-0.0002700000000000145
buy,2021-10-15 09:45:00+00:00,1.1608,2021-10-15 11:35:00+00:00,1.16087,-0.0001299999999999855
short,2021-10-15 11:50:00+00:00,1.16049,2021-10-15 13:30:00+00:00,1.1609,-0.0006100000000000214
buy,2021-10-15 13:35:00+00:00,1.16082,2021-10-15 14:45:00+00:00,1.16016,-0.0008599999999998829
short,2021-10-15 15:15:00+00:00,1.16025,2021-10-15 17:45:00+00:00,1.16008,-2.99999999999965e-05
buy,2021-10-15 17:50:00+00:00,1.16067,2021-10-15 23:30:00+00:00,1.15996,-0.0009099999999999884
short,2021-10-15 23:40:00+00:00,1.16018,2021-10-18 01:05:00+00:00,1.16026,-0.0002800000000000801
buy,2021-10-18 01:10:00+00:00,1.16037,2021-10-18 02:55:00+00:00,1.15998,-0.0005899999999998905
short,2021-10-18 03:00:00+00:00,1.15967,2021-10-18 05:15:00+00:00,1.15909,0.00038000000000002485
buy,2021-10-18 05:20:00+00:00,1.15928,2021-10-18 06:05:00+00:00,1.15896,-0.0005200000000000981
short,2021-10-18 06:10:00+00:00,1.15882,2021-10-18 10:10:00+00:00,1.15795,0.0006699999999999263
buy,2021-10-18 10:15:00+00:00,1.15825,2021-10-18 12:25:00+00:00,1.15829,-0.0001599999999999601
short,2021-10-18 13:05:00+00:00,1.15799,2021-10-18 13:30:00+00:00,1.15838,-0.0005899999999998905
buy,2021-10-18 13:35:00+00:00,1.15862,2021-10-18 16:55:00+00:00,1.15999,0.0011700000000000933
short,2021-10-18 18:05:00+00:00,1.15967,2021-10-18 19:00:00+00:00,1.16089,-0.001419999999999999
buy,2021-10-18 19:05:00+00:00,1.16122,2021-10-18 20:55:00+00:00,1.16159,0.00016999999999998136
short,2021-10-18 21:10:00+00:00,1.16138,2021-10-19 01:00:00+00:00,1.16114,4.0000000000017886e-05
short,2021-10-19 02:00:00+00:00,1.16102,2021-10-19 02:45:00+00:00,1.16127,-0.0004500000000000836
buy,2021-10-19 02:50:00+00:00,1.16132,2021-10-19 10:15:00+00:00,1.16491,0.003389999999999982
short,2021-10-19 10:40:00+00:00,1.16452,2021-10-19 11:50:00+00:00,1.16547,-0.0011500000000000065
buy,2021-10-19 11:55:00+00:00,1.16587,2021-10-19 14:25:00+00:00,1.16593,-0.0001400000000000511
short,2021-10-19 14:30:00+00:00,1.16571,2021-10-19 16:55:00+00:00,1.16556,-4.999999999990559e-05
short,2021-10-19 17:35:00+00:00,1.16449,2021-10-19 20:15:00+00:00,1.16393,0.000360000000000116
buy,2021-10-19 20:25:00+00:00,1.16401,2021-10-19 22:00:00+00:00,1.164,-0.0002100000000000655
short,2021-10-19 22:05:00+00:00,1.16385,2021-10-20 01:25:00+00:00,1.16338,0.00026999999999997046
buy,2021-10-20 01:30:00+00:00,1.16348,2021-10-20 02:45:00+00:00,1.16317,-0.0005100000000000325
short,2021-10-20 03:25:00+00:00,1.16309,2021-10-20 03:55:00+00:00,1.16337,-0.00048000000000005807
buy,2021-10-20 04:00:00+00:00,1.16349,2021-10-20 09:00:00+00:00,1.16449,0.0008000000000001118
short,2021-10-20 09:05:00+00:00,1.16443,2021-10-20 13:40:00+00:00,1.16274,0.0014899999999999692
buy,2021-10-20 13:45:00+00:00,1.16296,2021-10-20 15:05:00+00:00,1.16252,-0.0006399999999999959
buy,2021-10-20 15:35:00+00:00,1.16345,2021-10-20 18:45:00+00:00,1.16445,0.0007999999999998899
buy,2021-10-20 19:30:00+00:00,1.16495,2021-10-20 22:20:00+00:00,1.1651,-4.999999999990548e-05
short,2021-10-20 22:50:00+00:00,1.16518,2021-10-21 01:20:00+00:00,1.16525,-0.00026999999999979243
buy,2021-10-21 01:35:00+00:00,1.16514,2021-10-21 07:00:00+00:00,1.1665,0.0011600000000000278
short,2021-10-21 07:05:00+00:00,1.16626,2021-10-21 09:15:00+00:00,1.16551,0.0005500000000000283
buy,2021-10-21 09:20:00+00:00,1.16558,2021-10-21 09:50:00+00:00,1.16518,-0.000599999999999956
short,2021-10-21 10:00:00+00:00,1.1647,2021-10-21 12:45:00+00:00,1.1641,0.0004000000000001559
buy,2021-10-21 12:50:00+00:00,1.16442,2021-10-21 13:20:00+00:00,1.16398,-0.000639999999999996
short,2021-10-21 13:25:00+00:00,1.16382,2021-10-21 14:50:00+00:00,1.16414,-0.0005199999999998759
buy,2021-10-21 14:55:00+00:00,1.16438,2021-10-21 15:00:00+00:00,1.16421,-0.00037000000000000346
buy,2021-10-21 15:35:00+00:00,1.16426,2021-10-21 17:25:00+00:00,1.16427,-0.00019000000000015654
short,2021-10-21 17:30:00+00:00,1.16395,2021-10-21 17:50:00+00:00,1.16472,-0.0009699999999999374
short,2021-10-21 19:05:00+00:00,1.16406,2021-10-22 00:30:00+00:00,1.16244,0.0014200000000001768
buy,2021-10-22 00:35:00+00:00,1.16267,2021-10-22 03:50:00+00:00,1.16249,-0.000380000000000069
buy,2021-10-22 04:05:00+00:00,1.16272,2021-10-22 06:50:00+00:00,1.16268,-0.00024000000000004
short,2021-10-22 07:55:00+00:00,1.16272,2021-10-22 09:25:00+00:00,1.16297,-0.00045000000000008347
buy,2021-10-22 09:45:00+00:00,1.16341,2021-10-22 12:00:00+00:00,1.16412,0.0005099999999999884
short,2021-10-22 12:05:00+00:00,1.16381,2021-10-22 14:15:00+00:00,1.16425,-0.0006399999999999959
short,2021-10-22 14:50:00+00:00,1.16403,2021-10-22 16:35:00+00:00,1.16384,-1.0000000000087521e-05
buy,2021-10-22 16:40:00+00:00,1.16426,2021-10-22 18:15:00+00:00,1.16439,-7.00000000000365e-05
short,2021-10-22 18:20:00+00:00,1.16334,2021-10-22 21:20:00+00:00,1.16337,-0.00022999999999997447
buy,2021-10-22 21:25:00+00:00,1.16345,2021-10-25 00:10:00+00:00,1.16389,0.00023999999999999597
short,2021-10-25 00:50:00+00:00,1.16399,2021-10-25 01:05:00+00:00,1.16439,-0.0005999999999999559
buy,2021-10-25 01:50:00+00:00,1.1643,2021-10-25 02:40:00+00:00,1.16386,-0.0006399999999999958
buy,2021-10-25 03:05:00+00:00,1.16445,2021-10-25 08:00:00+00:00,1.16599,0.0013400000000000968
