Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 21:20:00+00:00,2021-10-21 21:15:00+00:00,45,16,29,-0.0008299999999995472
2,2021-10-21 21:20:00+00:00,2021-10-28 21:15:00+00:00,45,19,26,0.007120000000000132
3,2021-10-28 21:20:00+00:00,2021-11-04 21:15:00+00:00,37,14,23,0.014610000000000302
4,2021-11-04 21:20:00+00:00,2021-11-11 21:15:00+00:00,42,18,24,-3.9999999999585506e-05
5,2021-11-11 21:20:00+00:00,2021-11-18 21:15:00+00:00,39,22,17,0.005149999999999842
6,2021-11-18 21:20:00+00:00,2021-11-25 21:15:00+00:00,36,18,18,0.014620000000000216
7,2021-11-25 21:20:00+00:00,2021-12-02 21:15:00+00:00,38,20,18,0.010929999999999981
8,2021-12-02 21:20:00+00:00,2021-12-09 21:15:00+00:00,32,15,17,0.013439999999999883
9,2021-12-09 21:20:00+00:00,2021-12-16 21:15:00+00:00,44,17,27,0.010230000000000516
10,2021-12-16 21:20:00+00:00,2021-12-23 21:15:00+00:00,33,24,9,0.020380000000000037
11,2021-12-23 21:20:00+00:00,2021-12-30 21:15:00+00:00,37,14,23,0.006629999999999331
12,2021-12-30 21:20:00+00:00,2022-01-06 21:15:00+00:00,41,19,22,0.009059999999999596
13,2022-01-06 21:20:00+00:00,2022-01-13 21:15:00+00:00,46,13,33,0.005009999999999792
14,2022-01-13 21:20:00+00:00,2022-01-20 21:15:00+00:00,41,12,29,0.00310999999999903
15,2022-01-20 21:20:00+00:00,2022-01-27 21:15:00+00:00,31,13,18,0.002129999999999771
16,2022-01-27 21:20:00+00:00,2022-02-03 21:15:00+00:00,37,18,19,0.02034999999999973
17,2022-02-03 21:20:00+00:00,2022-02-10 21:15:00+00:00,42,18,24,0.009200000000000041
18,2022-02-10 21:20:00+00:00,2022-02-17 21:15:00+00:00,35,16,19,0.010120000000000268
19,2022-02-17 21:20:00+00:00,2022-02-24 21:15:00+00:00,39,14,25,0.013699999999998963
20,2022-02-24 21:20:00+00:00,2022-03-03 21:15:00+00:00,27,15,12,0.010010000000000213
21,2022-03-03 21:20:00+00:00,2022-03-10 21:15:00+00:00,35,21,14,0.040510000000000185
22,2022-03-10 21:20:00+00:00,2022-03-17 21:15:00+00:00,35,17,18,0.02215999999999943
23,2022-03-17 21:20:00+00:00,2022-03-24 21:15:00+00:00,39,17,21,0.012670000000001291
24,2022-03-24 21:20:00+00:00,2022-03-31 21:15:00+00:00,42,19,23,0.00908999999999982
25,2022-03-31 21:20:00+00:00,2022-04-07 21:15:00+00:00,36,18,18,0.007800000000000695
26,2022-04-07 21:20:00+00:00,2022-04-14 21:15:00+00:00,48,16,32,0.0026600000000003288
27,2022-04-14 21:20:00+00:00,2022-04-21 21:15:00+00:00,43,17,26,0.005640000000001422
28,2022-04-21 21:20:00+00:00,2022-04-28 21:15:00+00:00,37,18,19,0.022730000000000583
29,2022-04-28 21:20:00+00:00,2022-05-05 21:15:00+00:00,39,18,21,0.017290000000000916
30,2022-05-05 21:20:00+00:00,2022-05-12 21:15:00+00:00,37,16,21,0.012920000000001597
31,2022-05-12 21:20:00+00:00,2022-05-19 21:15:00+00:00,39,13,24,0.008420000000001648
32,2022-05-19 21:20:00+00:00,2022-05-26 21:15:00+00:00,38,18,20,0.030100000000001348
33,2022-05-26 21:20:00+00:00,2022-06-02 21:15:00+00:00,29,12,17,0.016540000000000665
34,2022-06-02 21:20:00+00:00,2022-06-09 21:15:00+00:00,39,17,22,0.010300000000000198
35,2022-06-09 21:20:00+00:00,2022-06-16 21:15:00+00:00,37,17,19,0.03382000000000085
36,2022-06-16 21:20:00+00:00,2022-06-23 21:15:00+00:00,35,19,16,0.03271999999999986
37,2022-06-23 21:20:00+00:00,2022-06-30 21:15:00+00:00,42,19,23,0.008840000000001291
38,2022-06-30 21:20:00+00:00,2022-07-07 21:15:00+00:00,39,14,25,0.026700000000001223
39,2022-07-07 21:20:00+00:00,2022-07-14 21:15:00+00:00,35,18,17,0.01746000000000092
40,2022-07-14 21:20:00+00:00,2022-07-21 21:15:00+00:00,38,15,23,0.012330000000000618
41,2022-07-21 21:20:00+00:00,2022-07-28 21:15:00+00:00,41,18,23,0.020830000000001903
42,2022-07-28 21:20:00+00:00,2022-08-04 21:15:00+00:00,43,19,23,0.009580000000001698
43,2022-08-04 21:20:00+00:00,2022-08-11 21:15:00+00:00,38,15,23,0.02529000000000048
44,2022-08-11 21:20:00+00:00,2022-08-18 21:15:00+00:00,45,16,29,0.004169999999999785
45,2022-08-18 21:20:00+00:00,2022-08-25 21:15:00+00:00,39,17,22,0.02290000000000103
46,2022-08-25 21:20:00+00:00,2022-08-26 23:50:00+00:00,8,4,4,0.0022100000000000453
