Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 02:20:00+00:00,1.1596,2021-10-15 04:05:00+00:00,1.15955,-0.00015000000000011654
buy,2021-10-15 04:15:00+00:00,1.15948,2021-10-15 11:35:00+00:00,1.16087,0.0011900000000000023
short,2021-10-15 11:50:00+00:00,1.16049,2021-10-15 13:30:00+00:00,1.1609,-0.0006100000000000214
short,2021-10-15 14:45:00+00:00,1.16016,2021-10-15 17:45:00+00:00,1.16008,-0.00011999999999991998
buy,2021-10-15 17:50:00+00:00,1.16067,2021-10-15 23:40:00+00:00,1.16018,-0.0006900000000001014
short,2021-10-15 23:50:00+00:00,1.15998,2021-10-18 10:15:00+00:00,1.15825,0.0015300000000000092
buy,2021-10-18 10:30:00+00:00,1.15796,2021-10-18 18:05:00+00:00,1.15967,0.0015099999999998782
short,2021-10-18 18:10:00+00:00,1.15947,2021-10-19 08:50:00+00:00,1.16545,-0.006180000000000096
short,2021-10-19 10:15:00+00:00,1.16491,2021-10-19 16:55:00+00:00,1.16556,-0.0008500000000000391
buy,2021-10-19 20:15:00+00:00,1.16393,2021-10-19 22:00:00+00:00,1.164,-0.00012999999999998516
short,2021-10-19 22:05:00+00:00,1.16385,2021-10-20 01:25:00+00:00,1.16338,0.0002699999999999708
short,2021-10-20 02:45:00+00:00,1.16317,2021-10-20 04:05:00+00:00,1.16353,-0.0005599999999999156
buy,2021-10-20 04:10:00+00:00,1.16369,2021-10-20 15:05:00+00:00,1.16252,-0.001369999999999893
buy,2021-10-20 15:35:00+00:00,1.16345,2021-10-20 22:20:00+00:00,1.1651,0.0014499999999999288
short,2021-10-21 07:00:00+00:00,1.1665,2021-10-21 09:15:00+00:00,1.16551,0.0007900000000000467
buy,2021-10-21 09:20:00+00:00,1.16558,2021-10-21 09:50:00+00:00,1.16518,-0.0005999999999999556
