Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 21:20:00+00:00,2021-10-21 21:15:00+00:00,17,7,10,-0.0044600000000000585
2,2021-10-21 21:20:00+00:00,2021-10-28 21:15:00+00:00,23,8,15,-0.005519999999999375
3,2021-10-28 21:20:00+00:00,2021-11-04 21:15:00+00:00,17,9,8,0.012820000000000564
4,2021-11-04 21:20:00+00:00,2021-11-11 21:15:00+00:00,21,9,12,0.008589999999999856
5,2021-11-11 21:20:00+00:00,2021-11-18 21:15:00+00:00,11,5,6,0.006129999999999946
6,2021-11-18 21:20:00+00:00,2021-11-25 21:15:00+00:00,19,10,9,0.00866999999999956
7,2021-11-25 21:20:00+00:00,2021-12-02 21:15:00+00:00,23,14,9,0.012809999999999728
8,2021-12-02 21:20:00+00:00,2021-12-09 21:15:00+00:00,16,7,9,0.007710000000000217
9,2021-12-09 21:20:00+00:00,2021-12-16 21:15:00+00:00,20,9,11,0.006410000000000277
10,2021-12-16 21:20:00+00:00,2021-12-23 21:15:00+00:00,18,9,9,0.005480000000000665
11,2021-12-23 21:20:00+00:00,2021-12-30 21:15:00+00:00,15,8,7,0.00438999999999979
12,2021-12-30 21:20:00+00:00,2022-01-06 21:15:00+00:00,23,12,11,-0.0012600000000003095
13,2022-01-06 21:20:00+00:00,2022-01-13 21:15:00+00:00,15,6,9,-0.0035799999999998333
14,2022-01-13 21:20:00+00:00,2022-01-20 21:15:00+00:00,24,9,15,0.004620000000000103
15,2022-01-20 21:20:00+00:00,2022-01-27 21:15:00+00:00,16,7,9,0.003669999999999854
16,2022-01-27 21:20:00+00:00,2022-02-03 21:15:00+00:00,20,9,11,0.006139999999999479
17,2022-02-03 21:20:00+00:00,2022-02-10 21:15:00+00:00,21,9,12,0.0116499999999998
18,2022-02-10 21:20:00+00:00,2022-02-17 21:15:00+00:00,18,6,12,0.001130000000000464
19,2022-02-17 21:20:00+00:00,2022-02-24 21:15:00+00:00,15,4,11,0.0004899999999996851
20,2022-02-24 21:20:00+00:00,2022-03-03 21:15:00+00:00,12,6,6,0.009220000000000339
21,2022-03-03 21:20:00+00:00,2022-03-10 21:15:00+00:00,17,7,10,0.018620000000000053
22,2022-03-10 21:20:00+00:00,2022-03-17 21:15:00+00:00,14,6,8,0.0012600000000000944
23,2022-03-17 21:20:00+00:00,2022-03-24 21:15:00+00:00,16,7,8,0.0060899999999995125
24,2022-03-24 21:20:00+00:00,2022-03-31 21:15:00+00:00,17,9,8,0.005320000000000186
25,2022-03-31 21:20:00+00:00,2022-04-07 21:15:00+00:00,17,12,5,0.011189999999999561
26,2022-04-07 21:20:00+00:00,2022-04-14 21:15:00+00:00,27,9,18,-0.002200000000000507
27,2022-04-14 21:20:00+00:00,2022-04-21 21:15:00+00:00,27,9,18,-0.009219999999999645
28,2022-04-21 21:20:00+00:00,2022-04-28 21:15:00+00:00,19,9,10,0.007640000000000008
29,2022-04-28 21:20:00+00:00,2022-05-05 21:15:00+00:00,22,7,15,0.00290000000000018
30,2022-05-05 21:20:00+00:00,2022-05-12 21:15:00+00:00,18,5,13,0.0001600000000001045
31,2022-05-12 21:20:00+00:00,2022-05-19 21:15:00+00:00,13,4,9,0.012409999999999893
32,2022-05-19 21:20:00+00:00,2022-05-26 21:15:00+00:00,22,12,10,0.021390000000000076
33,2022-05-26 21:20:00+00:00,2022-06-02 21:15:00+00:00,16,8,8,0.00046999999999997044
34,2022-06-02 21:20:00+00:00,2022-06-09 21:15:00+00:00,15,10,5,0.013669999999999655
35,2022-06-09 21:20:00+00:00,2022-06-16 21:15:00+00:00,16,7,9,0.010780000000000234
36,2022-06-16 21:20:00+00:00,2022-06-23 21:15:00+00:00,15,8,7,0.011649999999999078
37,2022-06-23 21:20:00+00:00,2022-06-30 21:15:00+00:00,21,8,13,-0.007879999999999582
38,2022-06-30 21:20:00+00:00,2022-07-07 21:15:00+00:00,21,10,11,0.01963999999999952
39,2022-07-07 21:20:00+00:00,2022-07-14 21:15:00+00:00,15,9,6,0.014690000000000009
40,2022-07-14 21:20:00+00:00,2022-07-21 21:15:00+00:00,23,10,13,-0.005200000000000288
41,2022-07-21 21:20:00+00:00,2022-07-28 21:15:00+00:00,22,9,13,-0.004159999999999359
42,2022-07-28 21:20:00+00:00,2022-08-04 21:15:00+00:00,20,10,10,-0.006789999999999297
43,2022-08-04 21:20:00+00:00,2022-08-11 21:15:00+00:00,19,9,10,0.013119999999999271
44,2022-08-11 21:20:00+00:00,2022-08-18 21:15:00+00:00,22,14,8,0.013569999999999277
45,2022-08-18 21:20:00+00:00,2022-08-25 21:15:00+00:00,19,7,12,0.006490000000000218
46,2022-08-25 21:20:00+00:00,2022-08-26 23:50:00+00:00,5,3,2,0.004290000000000016
