Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2021-10-25 13:35:00+00:00,1.16204,2021-11-19 18:20:00+00:00,1.13196,-0.030279999999999883
buy,2021-11-22 22:05:00+00:00,1.12309,2021-12-08 01:55:00+00:00,1.12733,0.004040000000000023
short,2021-12-14 12:55:00+00:00,1.13144,2022-01-25 12:50:00+00:00,1.12823,0.0030099999999999363
short,2022-02-15 12:20:00+00:00,1.13531,2022-03-28 08:20:00+00:00,1.09513,0.039980000000000106
buy,2022-03-30 21:00:00+00:00,1.11481,2022-04-14 21:15:00+00:00,1.08278,-0.03223
buy,2022-04-25 08:40:00+00:00,1.0773,2022-05-06 13:50:00+00:00,1.05922,-0.018279999999999873
short,2022-05-13 00:45:00+00:00,1.03821,2022-05-18 20:55:00+00:00,1.04786,-0.009849999999999935
short,2022-05-23 02:10:00+00:00,1.05766,2022-06-08 21:20:00+00:00,1.0717,-0.014240000000000051
short,2022-06-10 07:05:00+00:00,1.06348,2022-07-14 15:25:00+00:00,1.00044,0.06283999999999998
buy,2022-07-22 06:55:00+00:00,1.01871,2022-07-27 05:10:00+00:00,1.01462,-0.004289999999999927
short,2022-07-28 23:55:00+00:00,1.01981,2022-08-04 03:00:00+00:00,1.01565,0.003960000000000164
short,2022-08-04 20:00:00+00:00,1.02365,2022-08-05 16:40:00+00:00,1.01561,0.007840000000000047
