Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 21:20:00+00:00,2021-10-21 21:15:00+00:00,0,0,0,0.0
2,2021-10-21 21:20:00+00:00,2021-10-28 21:15:00+00:00,0,0,0,0.0
3,2021-10-28 21:20:00+00:00,2021-11-04 21:15:00+00:00,0,0,0,0.0
4,2021-11-04 21:20:00+00:00,2021-11-11 21:15:00+00:00,0,0,0,0.0
5,2021-11-11 21:20:00+00:00,2021-11-18 21:15:00+00:00,0,0,0,0.0
6,2021-11-18 21:20:00+00:00,2021-11-25 21:15:00+00:00,1,0,1,-0.030279999999999883
7,2021-11-25 21:20:00+00:00,2021-12-02 21:15:00+00:00,0,0,0,0.0
8,2021-12-02 21:20:00+00:00,2021-12-09 21:15:00+00:00,1,1,0,0.004040000000000023
9,2021-12-09 21:20:00+00:00,2021-12-16 21:15:00+00:00,0,0,0,0.0
10,2021-12-16 21:20:00+00:00,2021-12-23 21:15:00+00:00,0,0,0,0.0
11,2021-12-23 21:20:00+00:00,2021-12-30 21:15:00+00:00,0,0,0,0.0
12,2021-12-30 21:20:00+00:00,2022-01-06 21:15:00+00:00,0,0,0,0.0
13,2022-01-06 21:20:00+00:00,2022-01-13 21:15:00+00:00,0,0,0,0.0
14,2022-01-13 21:20:00+00:00,2022-01-20 21:15:00+00:00,0,0,0,0.0
15,2022-01-20 21:20:00+00:00,2022-01-27 21:15:00+00:00,1,1,0,0.0030099999999999363
16,2022-01-27 21:20:00+00:00,2022-02-03 21:15:00+00:00,0,0,0,0.0
17,2022-02-03 21:20:00+00:00,2022-02-10 21:15:00+00:00,0,0,0,0.0
18,2022-02-10 21:20:00+00:00,2022-02-17 21:15:00+00:00,0,0,0,0.0
19,2022-02-17 21:20:00+00:00,2022-02-24 21:15:00+00:00,0,0,0,0.0
20,2022-02-24 21:20:00+00:00,2022-03-03 21:15:00+00:00,0,0,0,0.0
21,2022-03-03 21:20:00+00:00,2022-03-10 21:15:00+00:00,0,0,0,0.0
22,2022-03-10 21:20:00+00:00,2022-03-17 21:15:00+00:00,0,0,0,0.0
23,2022-03-17 21:20:00+00:00,2022-03-24 21:15:00+00:00,0,0,0,0.0
24,2022-03-24 21:20:00+00:00,2022-03-31 21:15:00+00:00,1,1,0,0.039980000000000106
25,2022-03-31 21:20:00+00:00,2022-04-07 21:15:00+00:00,0,0,0,0.0
26,2022-04-07 21:20:00+00:00,2022-04-14 21:15:00+00:00,1,0,1,-0.03223
27,2022-04-14 21:20:00+00:00,2022-04-21 21:15:00+00:00,0,0,0,0.0
28,2022-04-21 21:20:00+00:00,2022-04-28 21:15:00+00:00,0,0,0,0.0
29,2022-04-28 21:20:00+00:00,2022-05-05 21:15:00+00:00,0,0,0,0.0
30,2022-05-05 21:20:00+00:00,2022-05-12 21:15:00+00:00,1,0,1,-0.018279999999999873
31,2022-05-12 21:20:00+00:00,2022-05-19 21:15:00+00:00,1,0,1,-0.009849999999999935
32,2022-05-19 21:20:00+00:00,2022-05-26 21:15:00+00:00,0,0,0,0.0
33,2022-05-26 21:20:00+00:00,2022-06-02 21:15:00+00:00,0,0,0,0.0
34,2022-06-02 21:20:00+00:00,2022-06-09 21:15:00+00:00,1,0,1,-0.014240000000000051
35,2022-06-09 21:20:00+00:00,2022-06-16 21:15:00+00:00,0,0,0,0.0
36,2022-06-16 21:20:00+00:00,2022-06-23 21:15:00+00:00,0,0,0,0.0
37,2022-06-23 21:20:00+00:00,2022-06-30 21:15:00+00:00,0,0,0,0.0
38,2022-06-30 21:20:00+00:00,2022-07-07 21:15:00+00:00,0,0,0,0.0
39,2022-07-07 21:20:00+00:00,2022-07-14 21:15:00+00:00,1,1,0,0.06283999999999998
40,2022-07-14 21:20:00+00:00,2022-07-21 21:15:00+00:00,0,0,0,0.0
41,2022-07-21 21:20:00+00:00,2022-07-28 21:15:00+00:00,1,0,1,-0.004289999999999927
42,2022-07-28 21:20:00+00:00,2022-08-04 21:15:00+00:00,1,1,0,0.003960000000000164
43,2022-08-04 21:20:00+00:00,2022-08-11 21:15:00+00:00,1,1,0,0.007840000000000047
44,2022-08-11 21:20:00+00:00,2022-08-18 21:15:00+00:00,0,0,0,0.0
45,2022-08-18 21:20:00+00:00,2022-08-25 21:15:00+00:00,0,0,0,0.0
46,2022-08-25 21:20:00+00:00,2022-08-26 23:50:00+00:00,0,0,0,0.0
