Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 19:40:00+00:00,2021-10-21 19:35:00+00:00,45,16,29,-0.0008299999999995472
2,2021-10-21 19:40:00+00:00,2021-10-28 19:35:00+00:00,43,18,25,0.0024700000000001335
3,2021-10-28 19:40:00+00:00,2021-11-04 19:35:00+00:00,38,15,23,0.019610000000000172
4,2021-11-04 19:40:00+00:00,2021-11-11 19:35:00+00:00,43,18,25,-0.00038999999999945675
5,2021-11-11 19:40:00+00:00,2021-11-18 19:35:00+00:00,39,22,17,0.005149999999999842
6,2021-11-18 19:40:00+00:00,2021-11-25 19:35:00+00:00,36,18,18,0.014620000000000216
7,2021-11-25 19:40:00+00:00,2021-12-02 19:35:00+00:00,37,19,18,0.010349999999999977
8,2021-12-02 19:40:00+00:00,2021-12-09 19:35:00+00:00,32,15,17,0.012379999999999829
9,2021-12-09 19:40:00+00:00,2021-12-16 19:35:00+00:00,45,18,27,0.011870000000000575
10,2021-12-16 19:40:00+00:00,2021-12-23 19:35:00+00:00,32,23,9,0.01873999999999998
11,2021-12-23 19:40:00+00:00,2021-12-30 19:35:00+00:00,37,15,22,0.011049999999999421
12,2021-12-30 19:40:00+00:00,2022-01-06 19:35:00+00:00,42,19,23,0.006279999999999564
13,2022-01-06 19:40:00+00:00,2022-01-13 19:35:00+00:00,46,13,33,0.005009999999999792
14,2022-01-13 19:40:00+00:00,2022-01-20 19:35:00+00:00,41,12,29,0.00310999999999903
15,2022-01-20 19:40:00+00:00,2022-01-27 19:35:00+00:00,31,13,18,0.002129999999999771
16,2022-01-27 19:40:00+00:00,2022-02-03 19:35:00+00:00,37,18,19,0.02034999999999973
17,2022-02-03 19:40:00+00:00,2022-02-10 19:35:00+00:00,41,17,24,0.00531000000000012
18,2022-02-10 19:40:00+00:00,2022-02-17 19:35:00+00:00,36,17,19,0.014010000000000189
19,2022-02-17 19:40:00+00:00,2022-02-24 19:35:00+00:00,39,14,25,0.013699999999998963
20,2022-02-24 19:40:00+00:00,2022-03-03 19:35:00+00:00,27,15,12,0.010010000000000213
21,2022-03-03 19:40:00+00:00,2022-03-10 19:35:00+00:00,35,21,14,0.040510000000000185
22,2022-03-10 19:40:00+00:00,2022-03-17 19:35:00+00:00,35,17,18,0.02215999999999943
23,2022-03-17 19:40:00+00:00,2022-03-24 19:35:00+00:00,38,17,21,0.017260000000001136
24,2022-03-24 19:40:00+00:00,2022-03-31 19:35:00+00:00,43,19,23,0.00908999999999982
25,2022-03-31 19:40:00+00:00,2022-04-07 19:35:00+00:00,36,18,18,0.007800000000000695
26,2022-04-07 19:40:00+00:00,2022-04-14 19:35:00+00:00,48,16,32,0.0026600000000003288
27,2022-04-14 19:40:00+00:00,2022-04-21 19:35:00+00:00,42,16,26,0.004000000000001336
28,2022-04-21 19:40:00+00:00,2022-04-28 19:35:00+00:00,38,19,19,0.02437000000000067
29,2022-04-28 19:40:00+00:00,2022-05-05 19:35:00+00:00,38,17,21,0.009460000000000912
30,2022-05-05 19:40:00+00:00,2022-05-12 19:35:00+00:00,38,17,21,0.0207500000000016
31,2022-05-12 19:40:00+00:00,2022-05-19 19:35:00+00:00,39,13,24,0.008420000000001648
32,2022-05-19 19:40:00+00:00,2022-05-26 19:35:00+00:00,36,18,18,0.031240000000001045
33,2022-05-26 19:40:00+00:00,2022-06-02 19:35:00+00:00,31,12,18,0.01561000000000079
34,2022-06-02 19:40:00+00:00,2022-06-09 19:35:00+00:00,39,17,22,0.010300000000000198
35,2022-06-09 19:40:00+00:00,2022-06-16 19:35:00+00:00,37,17,19,0.03382000000000085
36,2022-06-16 19:40:00+00:00,2022-06-23 19:35:00+00:00,35,19,16,0.03271999999999986
37,2022-06-23 19:40:00+00:00,2022-06-30 19:35:00+00:00,42,19,23,0.008840000000001291
38,2022-06-30 19:40:00+00:00,2022-07-07 19:35:00+00:00,38,13,25,0.023810000000001164
39,2022-07-07 19:40:00+00:00,2022-07-14 19:35:00+00:00,34,19,15,0.024260000000000725
40,2022-07-14 19:40:00+00:00,2022-07-15 23:55:00+00:00,10,1,9,-0.006029999999999425
