Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 19:40:00+00:00,2021-10-21 19:35:00+00:00,0,0,0,0
2,2021-10-21 19:40:00+00:00,2021-10-28 19:35:00+00:00,0,0,0,0
3,2021-10-28 19:40:00+00:00,2021-11-04 19:35:00+00:00,0,0,0,0
4,2021-11-04 19:40:00+00:00,2021-11-11 19:35:00+00:00,0,0,0,0
5,2021-11-11 19:40:00+00:00,2021-11-18 19:35:00+00:00,0,0,0,0
6,2021-11-18 19:40:00+00:00,2021-11-25 19:35:00+00:00,0,0,0,0
7,2021-11-25 19:40:00+00:00,2021-12-02 19:35:00+00:00,0,0,0,0
8,2021-12-02 19:40:00+00:00,2021-12-09 19:35:00+00:00,0,0,0,0
9,2021-12-09 19:40:00+00:00,2021-12-16 19:35:00+00:00,0,0,0,0
10,2021-12-16 19:40:00+00:00,2021-12-23 19:35:00+00:00,0,0,0,0
11,2021-12-23 19:40:00+00:00,2021-12-30 19:35:00+00:00,0,0,0,0
12,2021-12-30 19:40:00+00:00,2022-01-06 19:35:00+00:00,0,0,0,0
13,2022-01-06 19:40:00+00:00,2022-01-13 19:35:00+00:00,0,0,0,0
14,2022-01-13 19:40:00+00:00,2022-01-20 19:35:00+00:00,0,0,0,0
15,2022-01-20 19:40:00+00:00,2022-01-27 19:35:00+00:00,0,0,0,0
16,2022-01-27 19:40:00+00:00,2022-02-03 19:35:00+00:00,0,0,0,0
17,2022-02-03 19:40:00+00:00,2022-02-10 19:35:00+00:00,0,0,0,0
18,2022-02-10 19:40:00+00:00,2022-02-17 19:35:00+00:00,0,0,0,0
19,2022-02-17 19:40:00+00:00,2022-02-24 19:35:00+00:00,0,0,0,0
20,2022-02-24 19:40:00+00:00,2022-03-03 19:35:00+00:00,0,0,0,0
21,2022-03-03 19:40:00+00:00,2022-03-10 19:35:00+00:00,0,0,0,0
22,2022-03-10 19:40:00+00:00,2022-03-17 19:35:00+00:00,0,0,0,0
23,2022-03-17 19:40:00+00:00,2022-03-24 19:35:00+00:00,0,0,0,0
24,2022-03-24 19:40:00+00:00,2022-03-31 19:35:00+00:00,0,0,0,0
25,2022-03-31 19:40:00+00:00,2022-04-07 19:35:00+00:00,0,0,0,0
26,2022-04-07 19:40:00+00:00,2022-04-14 19:35:00+00:00,0,0,0,0
27,2022-04-14 19:40:00+00:00,2022-04-21 19:35:00+00:00,0,0,0,0
28,2022-04-21 19:40:00+00:00,2022-04-28 19:35:00+00:00,0,0,0,0
29,2022-04-28 19:40:00+00:00,2022-05-05 19:35:00+00:00,0,0,0,0
30,2022-05-05 19:40:00+00:00,2022-05-12 19:35:00+00:00,0,0,0,0
31,2022-05-12 19:40:00+00:00,2022-05-19 19:35:00+00:00,0,0,0,0
32,2022-05-19 19:40:00+00:00,2022-05-26 19:35:00+00:00,0,0,0,0
33,2022-05-26 19:40:00+00:00,2022-06-02 19:35:00+00:00,0,0,0,0
34,2022-06-02 19:40:00+00:00,2022-06-09 19:35:00+00:00,0,0,0,0
35,2022-06-09 19:40:00+00:00,2022-06-16 19:35:00+00:00,0,0,0,0
36,2022-06-16 19:40:00+00:00,2022-06-23 19:35:00+00:00,0,0,0,0
37,2022-06-23 19:40:00+00:00,2022-06-30 19:35:00+00:00,0,0,0,0
38,2022-06-30 19:40:00+00:00,2022-07-07 19:35:00+00:00,0,0,0,0
39,2022-07-07 19:40:00+00:00,2022-07-14 19:35:00+00:00,0,0,0,0
40,2022-07-14 19:40:00+00:00,2022-07-15 23:55:00+00:00,0,0,0,0
