Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
short,2021-10-15 07:25:00+00:00,1.16088,2021-10-15 15:35:00+00:00,1.15947,0.0012099999999999112
buy,2021-10-15 16:00:00+00:00,1.15924,2021-10-19 03:40:00+00:00,1.16192,0.0024800000000000156
short,2021-10-19 05:00:00+00:00,1.16343,2021-10-19 16:05:00+00:00,1.1646,-0.0013700000000001155
buy,2021-10-20 09:40:00+00:00,1.16399,2021-10-27 16:25:00+00:00,1.16171,-0.00248000000000006
short,2021-10-27 20:50:00+00:00,1.16121,2021-10-28 03:00:00+00:00,1.15987,0.0011400000000001188
buy,2021-10-29 05:40:00+00:00,1.16736,2021-11-01 19:50:00+00:00,1.15912,-0.008440000000000026
buy,2021-11-03 16:00:00+00:00,1.15836,2021-11-15 04:55:00+00:00,1.14589,-0.012669999999999982
short,2021-11-15 05:30:00+00:00,1.14591,2021-11-15 20:15:00+00:00,1.13849,0.007219999999999983
buy,2021-11-17 07:20:00+00:00,1.12926,2021-11-23 02:10:00+00:00,1.1241,-0.00535999999999983
buy,2021-11-23 14:00:00+00:00,1.12434,2021-11-25 03:00:00+00:00,1.12105,-0.003489999999999792
short,2021-11-26 11:10:00+00:00,1.12689,2021-12-01 19:15:00+00:00,1.13189,-0.005200000000000114
buy,2021-12-02 02:30:00+00:00,1.13169,2021-12-02 04:40:00+00:00,1.13356,0.0016699999999998175
buy,2021-12-02 07:50:00+00:00,1.13183,2021-12-08 05:25:00+00:00,1.12931,-0.0027199999999998545
buy,2021-12-09 03:35:00+00:00,1.13348,2021-12-10 19:45:00+00:00,1.1319,-0.0017800000000001356
buy,2021-12-10 22:00:00+00:00,1.13114,2021-12-15 23:25:00+00:00,1.12947,-0.0018700000000000626
short,2021-12-15 23:30:00+00:00,1.12927,2021-12-17 04:10:00+00:00,1.13208,-0.003009999999999978
buy,2021-12-17 04:15:00+00:00,1.13226,2021-12-21 22:25:00+00:00,1.12807,-0.004390000000000137
short,2021-12-22 00:05:00+00:00,1.12845,2021-12-22 05:45:00+00:00,1.12769,0.0005599999999998731
buy,2021-12-22 05:50:00+00:00,1.12755,2021-12-22 14:30:00+00:00,1.13064,0.0028900000000000384
short,2021-12-23 20:10:00+00:00,1.13358,2021-12-24 16:05:00+00:00,1.1321,0.001279999999999927
buy,2021-12-24 16:10:00+00:00,1.13206,2021-12-28 23:15:00+00:00,1.13105,-0.0012099999999999542
buy,2021-12-29 03:55:00+00:00,1.13012,2021-12-29 17:50:00+00:00,1.1367,0.0063800000000000315
buy,2021-12-29 19:45:00+00:00,1.13382,2021-12-30 23:05:00+00:00,1.13239,-0.0016300000000000411
buy,2021-12-31 05:25:00+00:00,1.13188,2021-12-31 16:40:00+00:00,1.13459,0.0025099999999999914
buy,2022-01-03 05:30:00+00:00,1.13442,2022-01-05 05:20:00+00:00,1.12929,-0.005330000000000078
