Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 19:40:00+00:00,2021-10-21 19:35:00+00:00,3,2,1,0.0023199999999998114
2,2021-10-21 19:40:00+00:00,2021-10-28 19:35:00+00:00,2,1,1,-0.001339999999999941
3,2021-10-28 19:40:00+00:00,2021-11-04 19:35:00+00:00,1,0,1,-0.008440000000000026
4,2021-11-04 19:40:00+00:00,2021-11-11 19:35:00+00:00,0,0,0,0.0
5,2021-11-11 19:40:00+00:00,2021-11-18 19:35:00+00:00,2,1,1,-0.005449999999999998
6,2021-11-18 19:40:00+00:00,2021-11-25 19:35:00+00:00,2,0,2,-0.008849999999999622
7,2021-11-25 19:40:00+00:00,2021-12-02 19:35:00+00:00,2,1,1,-0.003530000000000297
8,2021-12-02 19:40:00+00:00,2021-12-09 19:35:00+00:00,1,0,1,-0.0027199999999998545
9,2021-12-09 19:40:00+00:00,2021-12-16 19:35:00+00:00,2,0,2,-0.0036500000000001982
10,2021-12-16 19:40:00+00:00,2021-12-23 19:35:00+00:00,4,2,2,-0.003950000000000203
11,2021-12-23 19:40:00+00:00,2021-12-30 19:35:00+00:00,3,2,1,0.006450000000000004
12,2021-12-30 19:40:00+00:00,2022-01-06 19:35:00+00:00,3,1,2,-0.0044500000000001275
13,2022-01-06 19:40:00+00:00,2022-01-13 19:35:00+00:00,1,1,0,0.0034700000000000633
14,2022-01-13 19:40:00+00:00,2022-01-20 19:35:00+00:00,2,0,2,-0.004050000000000151
15,2022-01-20 19:40:00+00:00,2022-01-27 19:35:00+00:00,0,0,0,0.0
16,2022-01-27 19:40:00+00:00,2022-02-03 19:35:00+00:00,4,2,2,-0.005089999999999456
17,2022-02-03 19:40:00+00:00,2022-02-10 19:35:00+00:00,4,4,0,0.009070000000000272
18,2022-02-10 19:40:00+00:00,2022-02-17 19:35:00+00:00,1,0,1,-0.009780000000000143
19,2022-02-17 19:40:00+00:00,2022-02-24 19:35:00+00:00,1,1,0,0.0037299999999999903
20,2022-02-24 19:40:00+00:00,2022-03-03 19:35:00+00:00,2,0,2,-0.015160000000000104
21,2022-03-03 19:40:00+00:00,2022-03-10 19:35:00+00:00,2,1,1,-0.02214000000000009
22,2022-03-10 19:40:00+00:00,2022-03-17 19:35:00+00:00,3,3,0,0.023949999999999846
23,2022-03-17 19:40:00+00:00,2022-03-24 19:35:00+00:00,2,1,1,-0.006189999999999737
24,2022-03-24 19:40:00+00:00,2022-03-31 19:35:00+00:00,2,0,2,-0.014230000000000229
25,2022-03-31 19:40:00+00:00,2022-04-07 19:35:00+00:00,1,0,1,-0.016999999999999918
26,2022-04-07 19:40:00+00:00,2022-04-14 19:35:00+00:00,1,1,0,0.0026099999999999735
27,2022-04-14 19:40:00+00:00,2022-04-21 19:35:00+00:00,3,2,1,0.003830000000000139
28,2022-04-21 19:40:00+00:00,2022-04-28 19:35:00+00:00,2,1,1,-0.025020000000000098
29,2022-04-28 19:40:00+00:00,2022-05-05 19:35:00+00:00,1,0,1,-0.00029000000000015125
30,2022-05-05 19:40:00+00:00,2022-05-12 19:35:00+00:00,1,1,0,0.001899999999999985
31,2022-05-12 19:40:00+00:00,2022-05-19 19:35:00+00:00,4,1,3,-0.02078000000000013
32,2022-05-19 19:40:00+00:00,2022-05-26 19:35:00+00:00,4,2,2,-0.010760000000000214
33,2022-05-26 19:40:00+00:00,2022-06-02 19:35:00+00:00,4,1,3,-0.0011199999999998989
34,2022-06-02 19:40:00+00:00,2022-06-09 19:35:00+00:00,3,2,1,0.005599999999999966
35,2022-06-09 19:40:00+00:00,2022-06-16 19:35:00+00:00,2,1,1,-0.02288999999999991
36,2022-06-16 19:40:00+00:00,2022-06-23 19:35:00+00:00,2,2,0,0.018510000000000193
37,2022-06-23 19:40:00+00:00,2022-06-30 19:35:00+00:00,3,1,2,-0.0068799999999998585
38,2022-06-30 19:40:00+00:00,2022-07-07 19:35:00+00:00,3,2,1,0.017680000000000057
39,2022-07-07 19:40:00+00:00,2022-07-14 19:35:00+00:00,1,0,1,-0.0020400000000000695
40,2022-07-14 19:40:00+00:00,2022-07-15 23:55:00+00:00,0,0,0,0.0
