Trade Type,Trade Open Time,Trade Open Price,Trade Close Time,Trade Close Price,Trade P/L
buy,2021-10-14 20:25:00+00:00,1.15891,2021-10-14 22:20:00+00:00,1.15971,0.0005999999999999119
buy,2021-10-14 22:40:00+00:00,1.15978,2021-10-14 23:00:00+00:00,1.15973,-0.0002500000000001055
buy,2021-10-15 00:40:00+00:00,1.15987,2021-10-15 01:30:00+00:00,1.1599,-0.00017000000000002552
buy,2021-10-15 02:05:00+00:00,1.15989,2021-10-15 02:15:00+00:00,1.15976,-0.0003300000000001855
buy,2021-10-15 03:40:00+00:00,1.15902,2021-10-15 04:50:00+00:00,1.15976,0.0005399999999999629
buy,2021-10-15 05:15:00+00:00,1.15988,2021-10-15 06:30:00+00:00,1.16094,0.0008600000000000609
buy,2021-10-15 07:30:00+00:00,1.16096,2021-10-15 08:00:00+00:00,1.16079,-0.00037000000000000346
buy,2021-10-15 09:10:00+00:00,1.16059,2021-10-15 10:20:00+00:00,1.16128,0.0004900000000000795
buy,2021-10-15 11:00:00+00:00,1.16118,2021-10-15 11:30:00+00:00,1.1613,-8.000000000010212e-05
buy,2021-10-15 12:55:00+00:00,1.16032,2021-10-15 14:20:00+00:00,1.16096,0.00043999999999997383
buy,2021-10-15 15:35:00+00:00,1.15947,2021-10-15 16:55:00+00:00,1.15973,5.9999999999926865e-05
buy,2021-10-15 17:35:00+00:00,1.1596,2021-10-15 18:25:00+00:00,1.16019,0.00039000000000009036
buy,2021-10-15 19:40:00+00:00,1.15933,2021-10-15 21:00:00+00:00,1.15966,0.00012999999999994136
buy,2021-10-15 21:40:00+00:00,1.15984,2021-10-15 23:20:00+00:00,1.16031,0.00026999999999997035
buy,2021-10-18 00:25:00+00:00,1.1603,2021-10-18 01:25:00+00:00,1.16007,-0.0004300000000001746
short,2021-10-18 02:55:00+00:00,1.15998,2021-10-18 04:05:00+00:00,1.1588,0.0009799999999999588
short,2021-10-18 05:35:00+00:00,1.15923,2021-10-18 07:15:00+00:00,1.15819,0.0008399999999999302
short,2021-10-18 07:20:00+00:00,1.15815,2021-10-18 08:15:00+00:00,1.15807,-0.00011999999999992008
buy,2021-10-18 08:30:00+00:00,1.15794,2021-10-18 08:55:00+00:00,1.15796,-0.00017999999999986907
buy,2021-10-18 10:00:00+00:00,1.1576,2021-10-18 11:20:00+00:00,1.15925,0.0014499999999999296
buy,2021-10-18 13:30:00+00:00,1.15838,2021-10-18 15:45:00+00:00,1.16081,0.0022299999999999317
buy,2021-10-18 16:20:00+00:00,1.16041,2021-10-18 16:50:00+00:00,1.16043,-0.00017999999999986863
