Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 19:40:00+00:00,2021-10-21 19:35:00+00:00,62,33,29,0.012959999999999588
2,2021-10-21 19:40:00+00:00,2021-10-28 19:35:00+00:00,65,27,38,0.015160000000000664
3,2021-10-28 19:40:00+00:00,2021-11-04 19:35:00+00:00,61,25,36,0.0005899999999990427
4,2021-11-04 19:40:00+00:00,2021-11-11 19:35:00+00:00,65,30,35,0.015220000000001097
5,2021-11-11 19:40:00+00:00,2021-11-18 19:35:00+00:00,76,32,44,0.012739999999999724
6,2021-11-18 19:40:00+00:00,2021-11-25 19:35:00+00:00,69,33,36,0.013710000000000923
7,2021-11-25 19:40:00+00:00,2021-12-02 19:35:00+00:00,60,35,25,0.026719999999999078
8,2021-12-02 19:40:00+00:00,2021-12-09 19:35:00+00:00,64,29,35,0.015330000000000066
9,2021-12-09 19:40:00+00:00,2021-12-16 19:35:00+00:00,60,26,34,0.015950000000000034
10,2021-12-16 19:40:00+00:00,2021-12-23 19:35:00+00:00,61,26,35,0.00877000000000025
11,2021-12-23 19:40:00+00:00,2021-12-30 19:35:00+00:00,52,25,27,0.01254000000000055
12,2021-12-30 19:40:00+00:00,2022-01-06 19:35:00+00:00,63,32,31,0.01385999999999979
13,2022-01-06 19:40:00+00:00,2022-01-13 19:35:00+00:00,61,26,35,0.0025399999999989598
14,2022-01-13 19:40:00+00:00,2022-01-20 19:35:00+00:00,66,23,43,-0.0039499999999995095
15,2022-01-20 19:40:00+00:00,2022-01-27 19:35:00+00:00,63,38,25,0.020570000000000005
16,2022-01-27 19:40:00+00:00,2022-02-03 19:35:00+00:00,67,35,32,0.024809999999999693
17,2022-02-03 19:40:00+00:00,2022-02-10 19:35:00+00:00,64,32,32,0.017199999999999882
18,2022-02-10 19:40:00+00:00,2022-02-17 19:35:00+00:00,56,32,24,0.030709999999999266
19,2022-02-17 19:40:00+00:00,2022-02-24 19:35:00+00:00,69,29,40,0.023960000000002202
20,2022-02-24 19:40:00+00:00,2022-03-03 19:35:00+00:00,61,33,28,0.019530000000000713
21,2022-03-03 19:40:00+00:00,2022-03-10 19:35:00+00:00,58,30,28,0.035900000000002485
22,2022-03-10 19:40:00+00:00,2022-03-17 19:35:00+00:00,65,33,31,0.031360000000001165
23,2022-03-17 19:40:00+00:00,2022-03-24 19:35:00+00:00,63,27,36,0.010560000000001901
24,2022-03-24 19:40:00+00:00,2022-03-31 19:35:00+00:00,57,38,19,0.032490000000000796
25,2022-03-31 19:40:00+00:00,2022-04-07 19:35:00+00:00,64,31,33,0.013330000000001396
26,2022-04-07 19:40:00+00:00,2022-04-14 19:35:00+00:00,61,31,30,0.033290000000001596
27,2022-04-14 19:40:00+00:00,2022-04-21 19:35:00+00:00,63,25,37,0.01579000000000219
28,2022-04-21 19:40:00+00:00,2022-04-28 19:35:00+00:00,64,34,29,0.03313000000000116
29,2022-04-28 19:40:00+00:00,2022-05-05 19:35:00+00:00,70,34,36,0.027340000000001252
30,2022-05-05 19:40:00+00:00,2022-05-12 19:35:00+00:00,66,34,32,0.027050000000002017
31,2022-05-12 19:40:00+00:00,2022-05-19 19:35:00+00:00,62,29,33,0.002320000000001876
32,2022-05-19 19:40:00+00:00,2022-05-26 19:35:00+00:00,64,24,40,0.015630000000001143
33,2022-05-26 19:40:00+00:00,2022-06-02 19:35:00+00:00,68,34,34,0.014570000000002636
34,2022-06-02 19:40:00+00:00,2022-06-09 19:35:00+00:00,68,39,29,0.019470000000000987
35,2022-06-09 19:40:00+00:00,2022-06-16 19:35:00+00:00,54,30,24,0.01956000000000202
36,2022-06-16 19:40:00+00:00,2022-06-23 19:35:00+00:00,68,28,40,0.020020000000001703
37,2022-06-23 19:40:00+00:00,2022-06-30 19:35:00+00:00,66,34,32,0.020090000000002384
38,2022-06-30 19:40:00+00:00,2022-07-07 19:35:00+00:00,59,34,25,0.03479000000000165
39,2022-07-07 19:40:00+00:00,2022-07-14 19:35:00+00:00,58,30,26,0.02022000000000057
40,2022-07-14 19:40:00+00:00,2022-07-15 23:55:00+00:00,15,9,6,0.005530000000000701
