Week,Start Date,End Date,Total Trades,Trades Won,Trades Lost,Realised PnL
1,2021-10-14 21:20:00+00:00,2021-10-21 21:15:00+00:00,64,33,31,0.009170000000000702
2,2021-10-21 21:20:00+00:00,2021-10-28 21:15:00+00:00,62,27,35,0.009980000000000731
3,2021-10-28 21:20:00+00:00,2021-11-04 21:15:00+00:00,64,25,39,0.0013899999999988921
4,2021-11-04 21:20:00+00:00,2021-11-11 21:15:00+00:00,70,31,39,0.013320000000000536
5,2021-11-11 21:20:00+00:00,2021-11-18 21:15:00+00:00,72,28,44,-0.000570000000000348
6,2021-11-18 21:20:00+00:00,2021-11-25 21:15:00+00:00,66,23,43,-0.003499999999998324
7,2021-11-25 21:20:00+00:00,2021-12-02 21:15:00+00:00,62,33,29,0.020119999999999513
8,2021-12-02 21:20:00+00:00,2021-12-09 21:15:00+00:00,65,30,35,0.016190000000000454
9,2021-12-09 21:20:00+00:00,2021-12-16 21:15:00+00:00,65,27,38,0.008359999999999673
10,2021-12-16 21:20:00+00:00,2021-12-23 21:15:00+00:00,63,24,39,0.013110000000000649
11,2021-12-23 21:20:00+00:00,2021-12-30 21:15:00+00:00,56,28,28,0.012689999999999868
12,2021-12-30 21:20:00+00:00,2022-01-06 21:15:00+00:00,67,33,34,0.012599999999999195
13,2022-01-06 21:20:00+00:00,2022-01-13 21:15:00+00:00,66,24,42,0.0018699999999986505
14,2022-01-13 21:20:00+00:00,2022-01-20 21:15:00+00:00,74,30,44,0.007210000000000549
15,2022-01-20 21:20:00+00:00,2022-01-27 21:15:00+00:00,65,32,33,0.012080000000000063
16,2022-01-27 21:20:00+00:00,2022-02-03 21:15:00+00:00,72,30,42,0.02039999999999842
17,2022-02-03 21:20:00+00:00,2022-02-10 21:15:00+00:00,66,32,34,0.017370000000000274
18,2022-02-10 21:20:00+00:00,2022-02-17 21:15:00+00:00,58,29,29,0.021849999999999425
19,2022-02-17 21:20:00+00:00,2022-02-24 21:15:00+00:00,67,32,35,0.020759999999999806
20,2022-02-24 21:20:00+00:00,2022-03-03 21:15:00+00:00,63,35,28,0.009359999999997842
21,2022-03-03 21:20:00+00:00,2022-03-10 21:15:00+00:00,61,33,28,0.0672500000000017
22,2022-03-10 21:20:00+00:00,2022-03-17 21:15:00+00:00,63,32,30,0.030700000000001504
23,2022-03-17 21:20:00+00:00,2022-03-24 21:15:00+00:00,65,25,40,0.013340000000002572
24,2022-03-24 21:20:00+00:00,2022-03-31 21:15:00+00:00,62,38,24,0.034390000000000365
25,2022-03-31 21:20:00+00:00,2022-04-07 21:15:00+00:00,64,31,33,0.007410000000001471
26,2022-04-07 21:20:00+00:00,2022-04-14 21:15:00+00:00,64,34,30,0.024490000000002343
27,2022-04-14 21:20:00+00:00,2022-04-21 21:15:00+00:00,62,26,36,0.012210000000002053
28,2022-04-21 21:20:00+00:00,2022-04-28 21:15:00+00:00,61,36,24,0.027520000000001543
29,2022-04-28 21:20:00+00:00,2022-05-05 21:15:00+00:00,74,33,41,0.024970000000001713
30,2022-05-05 21:20:00+00:00,2022-05-12 21:15:00+00:00,66,38,28,0.03360000000000185
31,2022-05-12 21:20:00+00:00,2022-05-19 21:15:00+00:00,63,35,27,0.02615000000000095
32,2022-05-19 21:20:00+00:00,2022-05-26 21:15:00+00:00,71,31,39,0.01745000000000041
33,2022-05-26 21:20:00+00:00,2022-06-02 21:15:00+00:00,68,29,39,0.007410000000001915
34,2022-06-02 21:20:00+00:00,2022-06-09 21:15:00+00:00,73,36,37,0.007180000000001074
35,2022-06-09 21:20:00+00:00,2022-06-16 21:15:00+00:00,63,31,32,0.03779000000000221
36,2022-06-16 21:20:00+00:00,2022-06-23 21:15:00+00:00,68,31,37,0.016890000000001626
37,2022-06-23 21:20:00+00:00,2022-06-30 21:15:00+00:00,65,26,38,0.025190000000002266
38,2022-06-30 21:20:00+00:00,2022-07-07 21:15:00+00:00,60,33,27,0.017930000000001556
39,2022-07-07 21:20:00+00:00,2022-07-14 21:15:00+00:00,60,32,27,0.02290000000000081
40,2022-07-14 21:20:00+00:00,2022-07-21 21:15:00+00:00,66,40,26,0.05468000000000217
41,2022-07-21 21:20:00+00:00,2022-07-28 21:15:00+00:00,64,31,32,0.03896000000000277
42,2022-07-28 21:20:00+00:00,2022-08-04 21:15:00+00:00,64,36,26,0.029560000000001363
43,2022-08-04 21:20:00+00:00,2022-08-11 21:15:00+00:00,65,35,30,0.02416000000000218
44,2022-08-11 21:20:00+00:00,2022-08-18 21:15:00+00:00,62,29,33,0.025740000000001206
45,2022-08-18 21:20:00+00:00,2022-08-25 21:15:00+00:00,70,40,30,0.023590000000000222
46,2022-08-25 21:20:00+00:00,2022-08-26 23:50:00+00:00,14,9,5,0.011160000000000614
